GS_minus_C0,RCS_minus_C0,RCS_minus_GS,replicate
-0.0028150636246392358,-0.0031839579938673923,-0.00036889436922815655,146
-0.002183640009457477,-0.001953019233433162,0.00023062077602431508,147
-0.0032266851917777117,-0.0032736572615086335,-4.697206973092172e-05,148
-0.0018964156205141247,-0.003147745022819781,-0.0012513294023056565,149
-0.0032284813993856964,-0.003264631662569517,-3.615026318382064e-05,150
-0.0029014974895221757,-0.0032803637272562636,-0.0003788662377340879,151
-0.002716926179079704,-0.0018999362213220072,0.0008169899577576967,152
-0.0024147555913291985,-0.002724678380408685,-0.00030992278907948645,153
-0.0012408035447813992,-0.0017488108730288054,-0.0005080073282474062,154
-0.0025626158173838176,-0.0025201697036366655,4.2446113747152125e-05,155
-0.0016732799386324215,-0.002332502608036413,-0.0006592226694039915,156
-0.0018680934178887387,-0.0021602188126679245,-0.00029212539477918575,157
-0.0034889009497802714,-0.0037556394488006406,-0.00026673849902036917,158
-0.002636516410791989,-0.0019893377873640983,0.0006471786234278909,159
-0.001521392244095865,-0.0023288493007098676,-0.0008074570566140027,160
-0.0028234118203348535,-0.002993171638920211,-0.0001697598185853577,161
-0.005132975036842402,-0.005152735185754764,-1.976014891236222e-05,162
-0.0040543642203920705,-0.0033008368477925876,0.0007535273725994829,163
-0.003001469083546815,-0.003359214299435309,-0.00035774521588849417,164
-0.0033589535412145155,-0.003002360458612463,0.00035659308260205247,165
-0.0024975342587116867,-0.0027419625444503604,-0.0002444282857386737,166
-0.002169421583096298,-0.002375380289826423,-0.00020595870673012495,167
-0.003813143513538342,-0.0036468983433473046,0.00016624517019103724,168
-0.0035229640858651656,-0.003666219638463808,-0.0001432555525986423,169
-0.0034418102907818326,-0.003200294412303961,0.00024151587847787148,170
-0.0027881746864042434,-0.0031871442904842784,-0.000398969604080035,171
-0.002081087349544264,-0.002202944162864151,-0.00012185681331988718,172
-0.003707888100648593,-0.0038019886218397803,-9.410052119118717e-05,173
-0.0034663359117463877,-0.0030303593893595826,0.00043597652238680507,174
-0.0023711647183636275,-0.002050558297636229,0.0003206064207273984,175
-0.0012513005800002253,-0.001887090340979114,-0.0006357897609788887,176
-0.0033532098122038834,-0.0034166290258980103,-6.341921369412695e-05,177
-0.003354703271437609,-0.0030591698003876733,0.00029553347104993577,178
-0.0020534797431503993,-0.0018059797484144546,0.00024749999473594464,179
-0.002243525868630303,-0.002678892050383297,-0.00043536618175299413,180
-0.0004758023418753865,-0.000879828012970707,-0.0004040256710953205,181
-0.0032420892733888707,-0.0026693614791892806,0.0005727277941995901,182
-0.0020853541340615234,-0.002260529600038752,-0.00017517546597722866,183
-0.0033237513368776783,-0.0027426638583180063,0.000581087478559672,184
-0.002146687872276898,-0.00258335141049737,-0.000436663538220472,185
-0.0018393496311178703,-0.002127772744270784,-0.0002884231131529136,186
-0.0024917405123074943,-0.00317924236071665,-0.0006875018484091555,187
-0.0033686367879697254,-0.003744703033494723,-0.00037606624552499746,188
-0.0033595165961440854,-0.002616575896140838,0.0007429407000032473,189
-0.003344327383067891,-0.003566914644527186,-0.00022258726145929497,190
-0.0003741722512173862,-0.0010709606693389828,-0.0006967884181215966,191
-0.0026822595746576194,-0.002709757075062824,-2.749750040520471e-05,192
