metric,observed,ci95_low,ci95_high,resamples,finite_resamples,seed,resampling_images,aggregation
Q2__mean_B_D,0.028758193902263876,0.026576493819581343,0.030938483123871076,10000,10000,42,3418,pooled_target_mean
Q2__mean_B_family,0.03809550124885903,0.037763457537503216,0.03842441518857615,10000,10000,42,3418,pooled_target_mean
Q3__mean_B_S,0.11019028437919487,0.10874284997370903,0.11164988703014934,10000,10000,42,3418,pooled_target_mean
Q3__mean_B_D,0.03172662085693719,0.02951358808381905,0.03396656794478236,10000,10000,42,3418,pooled_target_mean
Q3__mean_B_family,0.07095845261808857,0.0703154047026496,0.07159778484481918,10000,10000,42,3418,pooled_target_mean
Q4__mean_B_S,0.17623041673364867,0.17489584305776265,0.1775482459718509,10000,10000,42,3418,pooled_target_mean
Q4__mean_B_D,0.05492524703233114,0.05237663913683554,0.05743593085607696,10000,10000,42,3418,pooled_target_mean
Q4__mean_B_family,0.11557783188114164,0.1143531398706186,0.1167872105704104,10000,10000,42,3418,pooled_target_mean
Q5__mean_B_S,0.29185370306076586,0.28685971322597603,0.2968554421328788,10000,10000,42,3418,pooled_target_mean
Q5__mean_B_D,0.1640757843845131,0.15593412785983565,0.17241662917865977,10000,10000,42,3418,pooled_target_mean
Q5__mean_B_family,0.2279647437299349,0.22147631962963799,0.2345972094795533,10000,10000,42,3418,pooled_target_mean
Corrected_by_CH__mean_B_S,0.2846314465682261,0.2776272897401072,0.2914721235389305,10000,10000,42,3418,pooled_target_mean
Corrected_by_CH__mean_B_D,0.12861837433409662,0.11792699261822633,0.13930319722585238,10000,10000,42,3418,pooled_target_mean
Corrected_by_CH__mean_B_family,0.20662491046276482,0.19788787991454415,0.21523803992736157,10000,10000,42,3418,pooled_target_mean
Still_Wrong__mean_B_S,0.2024448696254653,0.19791160891257897,0.2070986478717491,10000,10000,42,3418,pooled_target_mean
Still_Wrong__mean_B_D,0.024194988626034558,0.020260786461965972,0.028245478110150504,10000,10000,42,3418,pooled_target_mean
