group,gt_class,targets,deep_win_count,shallow_win_count,hard_pair_fraction,class_evidence_status,T_SS_mean,T_SD_mean,T_DS_mean,T_DD_mean,B_S_mean,B_D_mean,B_family_mean,old_mean,dsrc_mean,sym_mean,wD_sym_mean,old_pooled_auroc,old_image_auroc,sym_pooled_auroc,sym_image_auroc,M_s_S,M_d_S,margin_S,M_s_D,M_d_D,margin_D,GT_same_fraction,GT_shallow_candidate_fraction,GT_deep_candidate_fraction,GT_other_fraction,GT_background_fraction,GT_ignore_fraction,mass_gt_targets,pair_support
class2_pair3_0,2,31,0,0,0.00026592322539137895,PASS,0.7247061556385409,0.4883947708914357,0.7004720155269869,0.5766856410811024,0.23631138474710525,-0.12378637444588446,0.056262505150610403,-0.024234140111554052,0.08829087018966675,0.03202836551973896,0.5102216034166275,nan,nan,nan,nan,0.07224091418808506,0.32995300139150313,0.25771208756393,0.04495992574600443,0.2972871198529197,0.2523271956991765,0.9718640562026731,0.0,0.006177120601698276,0.9936261830791351,0.00019669550801477124,0.0,31,LOW_SUPPORT
class2_pair3_1,2,199,0,0,0.0017070555436414325,PASS,0.7146889061184983,0.47334117872930653,0.7119372833014732,0.6817182985382464,0.24134772738919186,-0.030218984763226917,0.10556437131298248,-0.002751622817025113,0.20837711980893983,0.10281274516378815,0.5384834058320702,nan,nan,nan,nan,0.06655424408352555,0.41866661383578524,0.3521123695463391,0.032759769128348284,0.5436769771628344,0.5109172077035186,0.776638791564122,0.0,0.16381163647557473,0.7890728682129826,0.04711549490896152,0.0,199,LOW_SUPPORT
class2_pair3_2,2,374,374,0,0.003208235041818572,PASS,0.695614106833616,0.4000671464491655,0.6266552071998464,0.7621270989511102,0.2955469604242932,0.13547189175126387,0.21550942614754254,-0.06895889979314039,0.3620599522628886,0.1465505271512557,0.5564918008080141,nan,nan,nan,nan,0.06512927189768157,0.3852636251339619,0.32013435257389583,0.031171516142494932,0.6800888637329805,0.6489173479298538,0.8434475138783455,0.0003435604764835879,0.8434475138783455,0.13489371275200562,0.02131521305378108,0.0,374,LOW_SUPPORT
class3,3,145803,74336,418,1.0,UNDERPOWERED,0.8657083726515565,0.5165318165161932,0.5080334841998091,0.7666701112307271,0.3491765561731999,0.2586366270179832,0.3039065916190977,-0.35767488845312706,0.2501382947117905,-0.053768296773986486,0.4772640930692251,0.05169245113870655,0.0716724133958045,0.5847058944309763,0.3408509823356585,0.3759909688260162,0.23494903604032083,-0.14104193277736132,0.10948404374003165,0.7522791227012953,0.6427950789065313,0.9008456503414514,0.03934328768402422,0.7819003353315618,0.1606009144408441,0.01815546282199893,0.0,88729,NOT_LOW_SUPPORT
class3_pair0_1,3,6777,0,0,0.07637863607163385,UNDERPOWERED,0.8739083397743782,0.5229170262721219,0.6934373089305697,0.55974090485881,0.350991313453883,-0.13369640406956096,0.1086474547097513,-0.1804710308394109,0.03682387857349534,-0.07182357646607361,0.47106780804406756,nan,nan,nan,nan,0.42990435787634773,0.3500129506717535,-0.07989140733542195,0.21729666649857193,0.37138826288401744,0.15409159625615743,0.8018859280292557,0.11473494478404771,0.06181275310661048,0.8046366922514477,0.018815609994149957,0.0,6777,LOW_SUPPORT
class3_pair0_2,3,1817,0,0,0.02047808495531337,UNDERPOWERED,0.8069991306840029,0.47710839283268697,0.5452156403790349,0.6052695070780367,0.3298907377313767,0.06005386667029833,0.1949723021557322,-0.26178349071501633,0.12816111412131007,-0.06681118853878175,0.4675699093706607,nan,nan,nan,nan,0.33650170401124163,0.2871298026672811,-0.049371901368563426,0.15743633331263934,0.496013042115287,0.3385767086430047,0.9100678297796122,0.04094202409769538,0.0016689809089466053,0.9541067966538337,0.003282198858748246,0.0,1817,LOW_SUPPORT
class3_pair0_3,3,32874,32874,0,0.37049893495925795,UNDERPOWERED,0.9029028207995621,0.43937488664137664,0.42648295542480097,0.8443946906972795,0.4635279342145056,0.4179117352583134,0.44071983476032006,-0.4764198654776559,0.4050198039985627,-0.03570003051834544,0.48412976808523717,nan,nan,nan,nan,0.3709436305442481,0.21005133803661438,-0.16089229249703832,0.08551335378662675,0.8091495692941388,0.7236362154287153,0.927345806026222,0.024153380070614634,0.927345806026222,0.028536275102613962,0.01996453895293688,0.0,32874,LOW_SUPPORT
class3_pair1_0,3,2642,0,0,0.029776059687362643,UNDERPOWERED,0.8367994157407069,0.5304673127801828,0.7345823306846944,0.6191194802409857,0.30633210308460646,-0.11546285054523055,0.09543462626968795,-0.10221708498833128,0.08865216739876175,-0.006782458473298696,0.49510754537708734,nan,nan,nan,nan,0.32864704181318205,0.4793061037786886,0.15065906196832657,0.1952346855013964,0.4983376873270055,0.3031030019162185,0.7334244718770218,0.056581294462282175,0.1920825091684498,0.7348643629124316,0.01647183394752567,0.0,2642,LOW_SUPPORT
class3_pair1_2,3,1699,0,0,0.01914819281182026,UNDERPOWERED,0.8089338529102938,0.5190996000868844,0.5352590007421337,0.5566327694853906,0.2898342528541064,0.021373768754220136,0.15560401090502457,-0.27367485216816007,0.03753316954102777,-0.11807084104606444,0.44341986744350514,nan,nan,nan,nan,0.3276976761948087,0.27714156805416496,-0.05055610808802044,0.253604150497218,0.4398929471903211,0.18628879644392193,0.849791145867604,0.05798251325951965,0.004231139057408525,0.9332390195169892,0.004547328868548683,0.0,1699,LOW_SUPPORT
class3_pair1_3,3,39959,39959,0,0.4503488149308569,UNDERPOWERED,0.8897107498333253,0.4089435196977314,0.4084388956749397,0.8548111107634173,0.48076723023073287,0.44637221513164216,0.4635697227461673,-0.4812718541307902,0.44586759110069296,-0.017702131352925456,0.49099994679961545,nan,nan,nan,nan,0.3931712811246073,0.21161362617675042,-0.18155765491522716,0.09371793408875483,0.8271210351111808,0.7334031010109856,0.9136530898086803,0.03146523867027739,0.9136530898086803,0.03686203301269793,0.018019638889541202,0.0,39959,LOW_SUPPORT
class3_pair2_0,3,356,0,0,0.0040122169752842924,UNDERPOWERED,0.7600576340147619,0.5469179281106825,0.7442707719092958,0.6417093140941658,0.2131397058203649,-0.1025614578569873,0.0552891239816888,-0.015786862105466006,0.09479138594162598,0.0395022610600075,0.5166396389014265,nan,nan,nan,nan,0.23393513924661982,0.4154991488275903,0.18156400929843441,0.23875769336726674,0.426643701246678,0.18788600667233296,0.8347353419561064,0.0006708032713177499,0.14661461924427724,0.8487613989730899,0.003953178538783883,0.0,356,LOW_SUPPORT
class3_pair2_1,3,684,0,0,0.007708866323299034,UNDERPOWERED,0.7004346075026613,0.4714600598352433,0.6510875821984999,0.5502042692176431,0.22897454782536156,-0.10088331291550084,0.06404561745493036,-0.04934702526059067,0.07874420936606084,0.01469859254290486,0.5067380023194336,nan,nan,nan,nan,0.16645057434597385,0.3807190713194901,0.2142684967611094,0.14784393482460034,0.4300894655140215,0.2822455310083011,0.756870992950093,0.005086070955976059,0.06642743794871113,0.9188255033515699,0.009660987766209052,0.0,684,LOW_SUPPORT
class3_pair2_3,3,1503,1503,0,0.016939219420933405,UNDERPOWERED,0.7400760577764816,0.3487204419029474,0.3933467984457295,0.7108031940446325,0.391355615830469,0.3174563955146316,0.35440600583365733,-0.3467292591324665,0.36208275214819136,0.0076767467730694105,0.5009533422178057,nan,nan,nan,nan,0.1626862487876546,0.1911315289044075,0.02844528025927063,0.0941706905774524,0.6638693261646225,0.5696986356349841,0.876277302828675,0.00024485079719079625,0.876277302828675,0.10098256196526789,0.022495284573691175,0.0,1503,LOW_SUPPORT
class3_pair3_0,3,194,0,194,0.0021864328460818898,UNDERPOWERED,0.8093377251907722,0.5919563681194463,0.7160228346426463,0.5750881542557293,0.21738135707132594,-0.14093468031010678,0.03822333838060959,-0.0933148907017462,-0.016868213710096693,-0.055091553588503414,0.4761088433646664,nan,nan,nan,nan,0.17531506770972125,0.43450940930351767,0.2591943415553914,0.3674919244889698,0.42552072032517996,0.05802879545876046,0.8177542520552566,0.8177542520552566,0.10580846836031943,0.05736007064235272,0.019077207468277246,0.0,194,LOW_SUPPORT
class3_pair3_1,3,151,0,151,0.0017018111327750792,UNDERPOWERED,0.7831216176219334,0.5729590525098195,0.6513282808641724,0.5375751730622045,0.21016256511211395,-0.1137531078019679,0.048204728655073026,-0.13179333675776098,-0.03538387925024854,-0.08358860785597998,0.46414925819201186,nan,nan,nan,nan,0.14944619275876228,0.33610839885196936,0.18666220579715753,0.2813702290199253,0.3664072644310874,0.08503703363486473,0.7279423167867376,0.7279423167867376,0.07392676353195546,0.1696105405151696,0.02852037985691961,0.0,151,LOW_SUPPORT
class3_pair3_2,3,73,0,73,0.0008227298853813297,UNDERPOWERED,0.7548244685342868,0.5068422017032153,0.5934126330156849,0.5729634512777197,0.2479822668310714,-0.0204491817379651,0.11376654234242765,-0.16141183531447634,0.06612124957450449,-0.047645289195727,0.4730586160535682,nan,nan,nan,nan,0.10977043229321094,0.3302212604512907,0.22045082823462683,0.15838497214032057,0.468235437592415,0.3098504657614721,0.91716619019639,0.91716619019639,0.00042476372359550164,0.08240904628413998,0.0,0.0,73,LOW_SUPPORT
