group,score,targets,winner_targets,mean_score,auroc,auprc,positive,negative,prevalence,image_auroc,image_auprc,auc_images,accuracy,balanced_accuracy,macro_f1,deep_win_recall,shallow_win_recall,zero_ties
Deep_Wrong,ctx_S,576576,182899,-0.16934977626665376,nan,nan,0,182899,0.0,nan,nan,0,0.9354671157305398,nan,0.4833288605771268,nan,0.9354671157305398,0
Deep_Wrong,ctx_D,576576,182899,-0.044866804118174695,nan,nan,0,182899,0.0,nan,nan,0,0.6342790283161746,nan,0.38810938482743856,nan,0.6342790283161746,0
Deep_Wrong,ctx_sym,576576,182899,-0.11560473719400789,nan,nan,0,182899,0.0,nan,nan,0,0.8417377897090744,nan,0.4570345433602888,nan,0.8417377897090744,0
Top20_Deep_Wrong,ctx_S,196453,103341,-0.26080097025993476,nan,nan,0,103341,0.0,nan,nan,0,0.9485973621311967,nan,0.48681034910860604,nan,0.9485973621311967,0
Top20_Deep_Wrong,ctx_D,196453,103341,-0.03819599975611317,nan,nan,0,103341,0.0,nan,nan,0,0.6310273753882777,nan,0.3868895059091556,nan,0.6310273753882777,0
Top20_Deep_Wrong,ctx_sym,196453,103341,-0.15964434922327123,nan,nan,0,103341,0.0,nan,nan,0,0.8537463349493425,nan,0.4605518667000752,nan,0.8537463349493425,0
Shallow_Correct,ctx_S,1770736,182899,-0.08673974108746345,nan,nan,0,182899,0.0,nan,nan,0,0.9354671157305398,nan,0.4833288605771268,nan,0.9354671157305398,0
Shallow_Correct,ctx_D,1770736,182899,-0.001458012151385754,nan,nan,0,182899,0.0,nan,nan,0,0.6342790283161746,nan,0.38810938482743856,nan,0.6342790283161746,0
Shallow_Correct,ctx_sym,1770736,182899,-0.05393690995210168,nan,nan,0,182899,0.0,nan,nan,0,0.8417377897090744,nan,0.4570345433602888,nan,0.8417377897090744,0
Top20_Shallow_Correct,ctx_S,171778,103341,-0.2379779249438616,nan,nan,0,103341,0.0,nan,nan,0,0.9485973621311967,nan,0.48681034910860604,nan,0.9485973621311967,0
Top20_Shallow_Correct,ctx_D,171778,103341,-0.014720081533721676,nan,nan,0,103341,0.0,nan,nan,0,0.6310273753882777,nan,0.3868895059091556,nan,0.6310273753882777,0
Top20_Shallow_Correct,ctx_sym,171778,103341,-0.1401419693592745,nan,nan,0,103341,0.0,nan,nan,0,0.8537463349493425,nan,0.4605518667000752,nan,0.8537463349493425,0
Shallow_Wrong,ctx_S,708407,314730,-0.14390128203571378,nan,1.0,314730,0,1.0,nan,1.0,0,0.21496838560035586,nan,0.17693331624767578,0.21496838560035586,nan,0
Shallow_Wrong,ctx_D,708407,314730,0.0536960759498796,nan,1.0,314730,0,1.0,nan,1.0,0,0.8157627172497061,nan,0.4492672470361783,0.8157627172497061,nan,0
Shallow_Wrong,ctx_sym,708407,314730,-0.05885143967328495,nan,1.0,314730,0,1.0,nan,1.0,0,0.489222508181616,nan,0.3285086718028261,0.489222508181616,nan,0
