group,context,targets,different_from_both,correct_third_class,wrong_third_class,rescue_rate,rescue_precision,intrusion_rate,harm_rate,equals_shallow,equals_deep,accuracy,miou
Q1,ctx_sym,495830,26542,13005,13537,0.026228747756287436,0.4899781478411574,0.05353044390214388,0.027301696145856442,0.9456850130084908,0.9456507270637113,0.9230099025875804,0.649701602793762
Q2,ctx_S,495828,47766,22962,24804,0.04631041409521044,0.48071850270066574,0.09633582613325589,0.050025412038045454,0.8955968602015215,0.8928116201586034,0.8605585001250433,0.5438729719295947
Q2,ctx_D,495828,52554,26468,26086,0.05338141452277806,0.5036343570422803,0.10599240059052736,0.0526109860677493,0.8843348903248707,0.885452213267504,0.8661491484950427,0.6260671545549926
Q2,ctx_sym,495828,46085,24852,21233,0.05012221980202812,0.5392644027340784,0.09294553756544609,0.04282331776341796,0.8979121792234404,0.8975370491380076,0.8711892027073904,0.6126281680633492
Q3,ctx_S,495829,62319,30214,32105,0.060936330872135354,0.4848280620677482,0.12568647658769455,0.06475014571555919,0.8461687396259597,0.8330876169001813,0.8106161600067765,0.498445328164184
Q3,ctx_D,495829,60271,32043,28228,0.06462510260593875,0.5316487199482338,0.12155602032152214,0.056930917715583396,0.8411851666602801,0.848205732218164,0.8208313753330281,0.5953331709882841
Q3,ctx_sym,495829,55261,31005,24256,0.0625316389319705,0.561064765386077,0.11145173033444998,0.048920091402479486,0.8546131831740378,0.8536551916083972,0.826383692765046,0.582745500500244
Q4,ctx_S,495828,84632,38916,45716,0.07848689464895084,0.4598260705170621,0.17068822252878013,0.09220132787982929,0.7503005074340295,0.7260037755027954,0.7373907887412571,0.45114462465766314
Q4,ctx_D,495828,62191,35150,27041,0.07089151883314375,0.5651943207216479,0.12542857603846494,0.0545370572053212,0.7608505368797244,0.8086150842630913,0.7614253329783716,0.5688905621544871
Q4,ctx_sym,495828,62401,36168,26233,0.07294465016094291,0.579606096056153,0.12585211000588914,0.05290745984494623,0.7729535242059746,0.7934828206555499,0.768270448623313,0.5655359779157945
Q5,ctx_S,495828,86984,28712,58272,0.05790717748896795,0.3300836935528373,0.17543180296393104,0.11752462547496309,0.4441197350694192,0.45924393136329533,0.5818287793347693,0.36179179857583765
Q5,ctx_D,495828,44427,24691,19736,0.049797510427002915,0.5557656380129201,0.08960163605121131,0.039804125624208396,0.2478319094524714,0.7669070726138904,0.7044095936494107,0.5552204216902181
Q5,ctx_sym,495828,50952,27268,23684,0.05499487725582258,0.5351703564138798,0.1027614414676057,0.047766564211783116,0.2996361641536985,0.6987604572553385,0.7171680502109603,0.573780916479171
Corrected_by_CH,ctx_S,305318,92195,57485,34710,0.18827910571928286,0.6235153750203374,0.30196385408000836,0.11368474836072553,0.2920790782069842,0.5256977970509437,0.6931134096253742,0.48566617232365394
Corrected_by_CH,ctx_D,305318,65043,59539,5504,0.19500651779456174,0.9153790569315684,0.2130336239592818,0.01802710616472006,0.17223354011227637,0.7573120484216457,0.9150492273629461,0.8506998164310224
Corrected_by_CH,ctx_sym,305318,69685,62779,6906,0.2056184044176891,0.9008968931620865,0.22823744423846612,0.022619039820777027,0.1729770272306251,0.7333927249621706,0.9184882646945153,0.8548803756973967
Still_Wrong,ctx_S,378130,97990,55235,42755,0.1460741014994843,0.5636799673436065,0.25914368074471744,0.11306957924523311,0.6299605955623727,0.5405495464522783,0.2018432814111549,0.07849746906222277
Still_Wrong,ctx_D,378130,91356,57327,34029,0.15160659032607834,0.6275121502692762,0.2415994499246291,0.08999285959855076,0.5126570227170549,0.6842012006452807,0.29073070108163857,0.17977367117726295
Still_Wrong,ctx_sym,378130,86351,51948,34403,0.13738132388332056,0.6015911801832058,0.2283632613122471,0.09098193742892656,0.5668341575648587,0.6576415518472483,0.25078941104911007,0.1430405530525705
Harmed_by_CH,ctx_S,69617,25744,3091,22653,0.044400074694399355,0.12006681168427595,0.36979473404484536,0.32539465935044604,0.32703219041326115,0.4586810692790554,0.2691440309119899,0.08493666007780426
Harmed_by_CH,ctx_D,69617,19760,1321,18439,0.018975250298059382,0.06685222672064778,0.28383871755462026,0.2648634672565609,0.2806785698895385,0.6480601002628669,0.20328368071017136,0.06745161777402235
