group,score,targets,winner_targets,mean_score,auroc,auprc,positive,negative,prevalence,image_auroc,image_auprc,auc_images,accuracy,balanced_accuracy,macro_f1,deep_win_recall,shallow_win_recall,zero_ties
Q3,old,495829,31591,-0.11058884103990815,0.7541399254055956,0.7298733809600101,14695,16896,0.46516412902408916,0.7355757423206786,0.8272032784917948,2293,0.6704124592447216,0.6531673663416231,0.6394543802487822,0.4056481796529432,0.900686553030303,0
Q3,dsrc,495829,31591,0.03132806419874837,0.7932318349527514,0.7622776285108062,14695,16896,0.46516412902408916,0.7542931818759764,0.8229540947236237,2293,0.6909879396030515,0.7007388655341695,0.6884000006304924,0.8406941136440966,0.5607836174242424,0
Q4,old,495828,83990,-0.1570192869172531,0.7297372470893084,0.725988872646328,43330,40660,0.5158947493749256,0.733233109102806,0.8087593267235784,2879,0.6064888677223479,0.615808542274261,0.5746503240826039,0.3226402030925456,0.9089768814559764,0
Q4,dsrc,495828,83990,0.07413637683826076,0.7960835990940618,0.7901287682557412,43330,40660,0.5158947493749256,0.7740111618612456,0.8163027327880122,2879,0.7132992022859864,0.7093727412986893,0.7070490987671816,0.8328871451650127,0.5858583374323659,0
Q5,old,495828,372795,-0.26236726385588854,0.6739647181584913,0.8121685720056439,252252,120543,0.6766507061521748,0.7600184541442949,0.8521582927609026,3033,0.4647916415187972,0.5880892818242383,0.4539016263086977,0.23910216767359624,0.9370763959748803,0
Q5,dsrc,495828,372795,0.19356222356452898,0.8279470467018242,0.8919483085231781,252252,120543,0.6766507061521748,0.7891929664121253,0.8378350276015918,3033,0.7856274896390778,0.7278779253091028,0.7395487537332042,0.8913348556205699,0.5644209949976356,0
Corrected_by_CH,old,305318,194430,-0.18117935559690845,0.6750528684286644,0.9808253653303489,186024,8406,0.9567659311834593,0.8283100480721328,0.9857295820271031,2229,0.3237463354420614,0.6388700721937961,0.2828951784101679,0.293919064206769,0.9838210801808233,0
Corrected_by_CH,dsrc,305318,194430,0.23207046528913766,0.9627881177896258,0.9980294344280857,186024,8406,0.9567659311834593,0.9250513416233496,0.9873062816731407,2229,0.9487476212518644,0.8559372489924243,0.7663874650059251,0.9575323614157313,0.7543421365691173,0
Still_Wrong,old,378130,82721,-0.18968209683104204,0.4436232889225938,0.8362131523106016,69480,13241,0.8399318190060565,0.5573477582350755,0.8675846585362814,1921,0.24705939241546887,0.5116526011063576,0.2457709354611205,0.12246689694876223,0.9008383052639529,0
Still_Wrong,dsrc,378130,82721,0.03695776140790654,0.5615266348783112,0.885065671967414,69480,13241,0.8399318190060565,0.5386733604799903,0.838454049527393,1921,0.6210152198353501,0.5161808444462358,0.4911876590693299,0.6703799654576856,0.3619817234347859,0
Harmed_by_CH,old,69617,37080,-0.20425991594264006,0.4113214455741592,0.07269452232149476,3493,33587,0.0942017259978425,0.39765556942399105,0.35508463222828235,1138,0.7521035598705501,0.4331165680871971,0.4437316792119847,0.04008016032064128,0.8261529758537529,0
Harmed_by_CH,dsrc,69617,37080,0.06027784451421924,0.22338148260588908,0.05652209883114982,3493,33587,0.0942017259978425,0.2827385410312707,0.3175021309105212,1138,0.2441747572815534,0.3152414931986819,0.2221461137997564,0.4028056112224449,0.22767737517491887,0
Stable_Correct,old,1726078,183398,-0.09667000589679688,0.7983815226770559,0.6256117552740345,55733,127665,0.30389099117765733,0.773586282910251,0.7438466945376304,3055,0.7660770564564499,0.6464249627296689,0.6599762969314165,0.3413596971273752,0.9514902283319625,0
