group,field,targets,mean,std,median,p05,p25,p50,p75,p95,ci95_low,ci95_high
Top20_Shallow_Correct,B_S,171778,0.2282240161259906,0.10111025036161715,0.22172948718070984,0.07483927607536316,0.1656941920518875,0.22172948718070984,0.28436827659606934,0.40135307312011714,0.2253888357168912,0.23111805633298196
Top20_Shallow_Correct,B_D,171778,0.12667135062866883,0.1748454601775122,0.1141059547662735,-0.13445294201374053,0.007945626974105835,0.1141059547662735,0.22262683510780334,0.4680683687329292,0.12140943569534673,0.13208972386400414
Top20_Shallow_Correct,B_family,171778,0.17744768338069114,0.11115316488782163,0.16162554174661636,0.023796173185110094,0.10252469033002853,0.16162554174661636,0.23384860903024673,0.39374760687351223,0.17391401090631278,0.1810921459482761
Shallow_Wrong,B_S,708407,0.24064579083943322,0.14762404402399873,0.23126327991485596,0.006013703346252454,0.15715506672859192,0.23126327991485596,0.31678515672683716,0.5137969374656676,0.2355922399966337,0.24580874263198932
Shallow_Wrong,B_D,708407,0.06977520050891478,0.2107856721850967,0.051687419414520264,-0.23835942745208738,-0.07400602102279663,0.051687419414520264,0.18264243006706238,0.506665313243866,0.06389715911611761,0.07587393832102714
Shallow_Wrong,B_family,708407,0.15521049567741335,0.14485904725746046,0.11599463224411011,0.004462995380163196,0.0492129772901535,0.11599463224411011,0.212263286113739,0.49221517145633686,0.1499954305952812,0.16060491777492095
Top20_Shallow_Wrong,B_S,313673,0.3207036591838381,0.13469806354711777,0.2986795902252197,0.1359668493270874,0.22729837894439697,0.2986795902252197,0.39557790756225586,0.585592973232269,0.314115499471988,0.32730416333359286
Top20_Shallow_Wrong,B_D,313673,0.1878760430238827,0.2112614653669133,0.15932536125183105,-0.12284976840019225,0.043111324310302734,0.15932536125183105,0.31190261244773865,0.5855207800865173,0.1776685181253379,0.1981396755840682
Top20_Shallow_Wrong,B_family,313673,0.25428985111288643,0.15560370514515462,0.21724605560302734,0.053493726253509524,0.14296045899391174,0.21724605560302734,0.3378542959690094,0.5682226181030272,0.24596647780006198,0.26260870790109136
class0,B_S,965133,0.09407914156022691,0.11413136280741326,0.08754992485046387,-0.07032911777496338,0.0037671923637390137,0.08754992485046387,0.17525863647460938,0.28414753675460813,0.09110371478204303,0.09704082404735483
class0,B_D,965133,0.02430500390794323,0.11007959482077079,0.04235571622848511,-0.17284682989120484,-0.04107767343521118,0.04235571622848511,0.09046977758407593,0.17831131219863885,0.022137336327066586,0.026456048006115982
class0,B_family,965133,0.05919207273307572,0.06263951051043312,0.04123568534851074,0.0012808382511138921,0.015802979469299316,0.04123568534851074,0.08324676752090454,0.1799895286560056,0.05796395559505717,0.06045471579171957
class1,B_S,1044692,0.10958293376699386,0.13768431662054997,0.11108130216598511,-0.10769536197185517,0.007686451077461243,0.11108130216598511,0.20508632063865662,0.332177734375,0.10635948829286415,0.11281564137588358
class1,B_D,1044692,0.0642713936019264,0.13100405512271632,0.07758906483650208,-0.17048589885234833,-0.008725956082344055,0.07758906483650208,0.14657573401927948,0.250727692246437,0.06170622246778852,0.06685700371170342
class1,B_family,1044692,0.08692716368416416,0.08221120442638258,0.06726843118667603,0.0012635618448257448,0.025198373943567276,0.06726843118667603,0.1271534040570259,0.2398266837000846,0.08514401994699908,0.08876162885895761
class2,B_S,323515,0.1284669629372178,0.17428167548289927,0.1521626114845276,-0.18051151633262635,0.004704594612121582,0.1521626114845276,0.2570306360721588,0.3841251879930496,0.12344966854184697,0.133682749202197
class2,B_D,323515,0.10325808246465079,0.1565119600479762,0.11686933040618896,-0.17554215788841246,0.0005085170269012451,0.11686933040618896,0.21583467721939087,0.33759737908840165,0.09747113502749577,0.1089085152116109
class2,B_family,323515,0.11586252270267881,0.09716334974629365,0.09529858827590942,0.003420838713645935,0.03936078026890755,0.09529858827590942,0.171488955616951,0.30628139972686763,0.11315049174874578,0.1185647380619788
