group,targets,M_s_S,M_d_S,margin_S,M_s_D,M_d_D,margin_D
class3,88729,0.3759909688260162,0.23494903604032083,-0.14104193277736132,0.10948404374003165,0.7522791227012953,0.6427950789065313
boundary,65527,0.3808098640460594,0.3506014969821621,-0.030208367073761004,0.27964288543623517,0.5400819580995756,0.260439072695158
interior,522174,0.3764826754987639,0.36118439845646766,-0.015298277040551915,0.23560590626502861,0.6147769140863802,0.37917100779830276
Q1,854,0.41523975563787396,0.3757010542938106,-0.03953870130262274,0.40051304017012584,0.4159291629883705,0.015416122096169748
Q2,10101,0.42222601806959026,0.3658097451013373,-0.0564162728541081,0.3912160579364003,0.42964678790942085,0.03843072998493175
Q3,37652,0.4272897847632573,0.3478540702211496,-0.07943571453565183,0.37865053927925807,0.4449366557692119,0.06628611644111201
Q4,101872,0.4095353600188576,0.34344440508969715,-0.06609095494457856,0.3260771517171268,0.4883914064687289,0.16231425475263914
Q5,437222,0.36392215310678505,0.36474446288031664,0.0008223097744549988,0.20489052382959827,0.6523213396669485,0.4474308158196912
Corrected_by_CH,217673,0.29564729688367,0.41886408730663316,0.12321679042722032,0.11280275871382625,0.7445317332811706,0.631728974531667
Still_Wrong,142192,0.39684387773045454,0.3049504491573259,-0.09189342858740712,0.24995826148984499,0.5314829090761041,0.28152464754421797
Harmed_by_CH,39168,0.34804256539192624,0.39572264331018586,0.047680077915834305,0.23237883901809556,0.6136724944929787,0.38129365553567623
Stable_Correct,188668,0.4618069976846037,0.3261728811261532,-0.13563411655069554,0.38243604357959854,0.5021364129283705,0.11970036935625653
pair0_1,201473,0.4085865766854898,0.4304284206608488,0.02184184394921378,0.24304613095798638,0.6169639663818811,0.37391783539195134
pair0_2,44977,0.27759654095489705,0.36336909094774655,0.08577255003090832,0.08344746712614401,0.6337220676010387,0.550274600474623
pair0_3,63094,0.4242130407774395,0.15734809416630074,-0.26686494661157417,0.20118042084338178,0.5936828868048993,0.39250246593565113
pair1_0,66979,0.3296896808764503,0.5456795503509075,0.21598986946653154,0.2807812086406582,0.6272988561390966,0.34651764748388664
pair1_2,76360,0.3970982285014477,0.33482447548122024,-0.062273753002957254,0.34380662306461224,0.570361878271198,0.22655525525861467
pair1_3,86266,0.45420455805510107,0.14607514639212224,-0.30812941162863156,0.2707560524322844,0.561676621936856,0.29092056951383877
pair2_0,5604,0.1256325047361471,0.601813078309535,0.4761805734081961,0.08855011058691059,0.7003968286733186,0.6118467179401914
pair2_1,35079,0.19231015996717413,0.5167621186460746,0.3244519587058745,0.17724883828340482,0.6861220479822271,0.5088732095966699
pair2_3,3995,0.14946425807696112,0.13405641982371502,-0.015407838235528807,0.10523729923610986,0.450842874970107,0.3456055755821408
pair3_0,1273,0.0996375876696135,0.5420968965550436,0.4424593090946667,0.1431991532389848,0.6158160293066562,0.4726168757205052
pair3_1,1888,0.08319588910721211,0.48439058845752253,0.4011946992763176,0.08800138600662297,0.6124744916243984,0.5244731052760903
pair3_2,713,0.07663513265215749,0.3176293996584616,0.24099426683649777,0.05377505026288137,0.5483358386083705,0.49456078894593103
class2_Deep_Win,74850,0.3057207478579624,0.4119885623419213,0.10626781451150666,0.17146976442826067,0.7049197680670419,0.5334500036566034
class2_Shallow_Win,11749,0.26184946061650616,0.4532377623896407,0.19138830175617114,0.3048804033638573,0.587657406663143,0.2827770031754938
class2_Both_Wrong,29976,0.33453299376796924,0.33465609169799526,0.0001230979318901288,0.15452540575042764,0.47227415538453926,0.3177487495882113
class2_pair0_1,21986,0.3227002497340199,0.38638768667763695,0.06368743696920239,0.10967508754141624,0.528953681171186,0.4192785935888456
class2_pair0_2,30821,0.2520098020457238,0.42079311044485607,0.16878330847129078,0.049549147142312414,0.72957874354582,0.6800295963916201
class2_pair0_3,2368,0.38144525896279596,0.08800547242454076,-0.2934397865288161,0.18502255441349252,0.2737622862602399,0.08873973185207532
class2_pair1_0,2367,0.34466962001031093,0.4083461412364388,0.06367652121983251,0.3205855060930442,0.38093849564625093,0.0603529894240531
class2_pair1_2,43655,0.3457025660434658,0.406001393619787,0.060298827578283885,0.25874927170644385,0.6877229400974971,0.42897366842709617
class2_pair1_3,3025,0.3961964310200746,0.08860689297195308,-0.30758953820821666,0.3358230858053512,0.28428307945371395,-0.051540006406697605
class2_pair2_0,644,0.25126561517277674,0.4067739725390576,0.1555083571291118,0.31600170217562906,0.38069868593054434,0.06469698396065961
class2_pair2_1,10522,0.26505398479883513,0.4761828619436582,0.2111288771476555,0.30631452507282714,0.616327216144353,0.3100126909008513
class2_pair2_3,583,0.2157053663099814,0.09044932869564914,-0.12525603774532446,0.2667124015515739,0.2988369620499388,0.03212456085669647
class2_pair3_0,31,0.07224091418808506,0.32995300139150313,0.25771208756393,0.04495992574600443,0.2972871198529197,0.2523271956991765
class2_pair3_1,199,0.06655424408352555,0.41866661383578524,0.3521123695463391,0.032759769128348284,0.5436769771628344,0.5109172077035186
class2_pair3_2,374,0.06512927189768157,0.3852636251339619,0.32013435257389583,0.031171516142494932,0.6800888637329805,0.6489173479298538
