group,score,targets,winner_targets,mean_score,auroc,auprc,positive,negative,prevalence,image_auroc,image_auprc,auc_images,accuracy,balanced_accuracy,macro_f1,deep_win_recall,shallow_win_recall,zero_ties
Shallow_Wrong,sym,708407,314730,-0.02409609443070733,nan,1.0,314730,0,1.0,nan,1.0,0,0.6403139198678233,nan,0.3903605962933118,0.6403139198678233,nan,0
Top20_Shallow_Wrong,old,313673,220561,-0.24642565459169657,nan,1.0,220561,0,1.0,nan,1.0,0,0.22299499911589085,nan,0.18233516839978497,0.22299499911589085,nan,0
Top20_Shallow_Wrong,sym,313673,220561,0.00786419650399882,nan,1.0,220561,0,1.0,nan,1.0,0,0.6257044536432098,nan,0.3848820443599104,0.6257044536432098,nan,0
class0,old,965133,132225,-0.09226692655946181,0.8667098402958917,0.7736885563482216,43802,88423,0.3312686708262432,0.8259125212928503,0.7909462370763976,1654,0.8079410096426546,0.7368613581592712,0.7565946691525005,0.5262316789187709,0.9474910373997716,0
class0,sym,965133,132225,-0.033074853781306646,0.8387099641985727,0.7204379144018306,43802,88423,0.3312686708262432,0.7902943396694886,0.7654913088164591,1654,0.7776063528077142,0.7689559328478761,0.7579263031060106,0.7433222227295557,0.7945896429661966,0
class1,old,1044692,204051,-0.11755251957996896,0.8278215950387913,0.8631794370542314,121742,82309,0.5966253534655552,0.7816740523146933,0.8387213049575234,2204,0.5949395004190129,0.6521464398750566,0.5828853527712112,0.35612196283944736,0.9481709169106659,0
class1,sym,1044692,204051,-0.030625355898520237,0.8635758825217744,0.8903216708951563,121742,82309,0.5966253534655552,0.7969253775500648,0.8310692989179093,2204,0.7700819893065949,0.7813787501790543,0.7680958069037231,0.7229222454042155,0.8398352549538932,0
class2,old,323515,86599,-0.13636350276212136,0.31992072379218106,0.801854901060016,74850,11749,0.8643286873982379,0.27545820587409536,0.7469853616365524,723,0.2626358272035474,0.4122524914782611,0.2559121136406147,0.20692050768203074,0.6175844752744915,0
class2,sym,323515,86599,-0.020500980067094297,0.5371673713131145,0.8795468395104122,74850,11749,0.8643286873982379,0.45143658967003714,0.7827485548376766,723,0.6029284402822204,0.5278452771858582,0.4790360438739076,0.6308884435537743,0.42480211081794195,0
class3,old,145803,74754,-0.35767488845312706,0.05169245113870655,0.9796444550396655,74336,418,0.9944083259758675,0.07167241339580452,0.9618835297861983,107,0.010648259624903015,0.40857627310213857,0.010645794454491648,0.006147761515281963,0.8110047846889952,0
