group,field,targets,mean,std,median,p05,p25,p50,p75,p95
Both_Correct,T_SS,1587837,0.8846008340705015,0.08357729066653759,0.9065065383911133,0.7163439750671386,0.8536800742149353,0.9065065383911133,0.9420479536056519,0.9710903882980346
Both_Correct,T_SD,1587837,0.8303123270269932,0.12990822929735807,0.8494974970817566,0.6034608960151673,0.7418913841247559,0.8494974970817566,0.9414969682693481,0.9933743715286255
Both_Correct,T_DS,1587837,0.8037882569742997,0.12624642878697787,0.8346084952354431,0.5496785044670105,0.7404270172119141,0.8346084952354431,0.8973615169525146,0.9503662467002869
Both_Correct,T_DD,1587837,0.8705138479809935,0.15016959047198275,0.9283528327941895,0.5594032526016235,0.7957544326782227,0.9283528327941895,0.9896262884140015,0.9998419284820557
Top20,T_SS,485451,0.8280799437857099,0.10793462603482158,0.8552315831184387,0.607626736164093,0.7842784225940704,0.8552315831184387,0.9027919769287109,0.9483345746994019
Top20,T_SD,485451,0.5401004279853361,0.1556669530153434,0.5668315887451172,0.24075261503458023,0.4469592273235321,0.5668315887451172,0.6528168320655823,0.7518741190433502
Top20,T_DS,485451,0.559615300092259,0.1922669707792194,0.5765394568443298,0.2260862961411476,0.40957939624786377,0.5765394568443298,0.7144269347190857,0.8469548523426056
Top20,T_DD,485451,0.7258339160046583,0.22157765303322655,0.7624262571334839,0.3050113022327423,0.5730951726436615,0.7624262571334839,0.9220722913742065,0.9981541335582733
Bottom80,T_SS,1993692,0.8697651070168562,0.09608682780590744,0.8956805467605591,0.6738480210304261,0.8342090547084808,0.8956805467605591,0.9362170547246933,0.9689856439828872
Bottom80,T_SD,1993692,0.7905395629625289,0.15551414067337888,0.8079517185688019,0.5118336081504822,0.6908577680587769,0.8079517185688019,0.9214020520448685,0.9912386745214462
Bottom80,T_DS,1993692,0.7805861801636886,0.1392717031980845,0.8136564493179321,0.504084387421608,0.704678937792778,0.8136564493179321,0.8861990123987198,0.9461681514978408
Bottom80,T_DD,1993692,0.8212273190309164,0.1863034420234768,0.8792703449726105,0.4422410443425179,0.7154037207365036,0.8792703449726105,0.9808945655822754,0.9997209310531616
Top20_Both_Wrong,T_SS,93112,0.8154799418802529,0.1067620676758258,0.8415447771549225,0.5988019853830338,0.7697353810071945,0.8415447771549225,0.8898895084857941,0.9373540341854095
