group,estimator,targets,accuracy,miou,dice,nll,brier,iou_class0,iou_class1,iou_class2,iou_class3
class2,ctx_D,323515,0.661459283186251,0.16536482079656276,0.19905973317556794,0.8659978506544189,0.4587539621913328,0.0,0.0,0.661459283186251,0.0
class2,ctx_sym,323515,0.6201752623525957,0.15504381558814892,0.19139141201676615,0.9026651414393364,0.5030994169116173,0.0,0.0,0.6201752623525957,0.0
class3,shallow,145803,0.16992791643518995,0.04248197910879749,0.07262324201689539,2.248204801183609,1.0590083119080427,0.0,0.0,0.0,0.16992791643518995
class3,deep,145803,0.6768996522705294,0.16922491306763235,0.20183069730916944,3.007329175695926,0.5744661831458369,0.0,0.0,0.0,0.6768996522705294
class3,fixed_average,145803,0.6544035445086864,0.1636008861271716,0.19777627613310836,1.5640340247062108,0.6524578014231547,0.0,0.0,0.0,0.6544035445086864
class3,anchor_old,145803,0.4946811793996008,0.1236702948499002,0.16548050052998914,1.7227561144323777,0.7760487743940778,0.0,0.0,0.0,0.4946811793996008
class3,anchor_sym,145803,0.6446369416267155,0.16115923540667887,0.1959815340731381,1.5612839601659647,0.6548171753908302,0.0,0.0,0.0,0.6446369416267155
class3,ctx_S,145803,0.09895543987435101,0.024738859968587754,0.04502249876740456,1.8197841378965398,0.9569587741793115,0.0,0.0,0.0,0.09895543987435101
class3,ctx_D,145803,0.7324883575783763,0.18312208939459407,0.21139777198913706,0.9072585686139255,0.376003308791543,0.0,0.0,0.0,0.7324883575783763
class3,ctx_sym,145803,0.641461423976187,0.16036535599404675,0.1953933898800819,1.1208348796864933,0.5606262756608343,0.0,0.0,0.0,0.641461423976187
boundary,shallow,201144,0.5014467247345186,0.26198740425988953,0.40088609522307805,1.288497352244482,0.6834667450128025,0.3557907965970611,0.37973925865366365,0.22467285126251765,0.08774671052631579
boundary,deep,201144,0.49653482082488165,0.29635887387275106,0.45373320866931666,4.403630536313562,0.9102140083026983,0.336376731050596,0.36363376640073136,0.28093781855249744,0.20448717948717948
boundary,fixed_average,201144,0.5023018335123096,0.2990309764111648,0.4565436555483794,1.3665363597195663,0.7106408984883764,0.345861063503016,0.36858762738624945,0.2773809299432686,0.20429428481212503
boundary,anchor_old,201144,0.5100624428270294,0.2956484525482613,0.4506593015071965,1.331897094217649,0.6922068095514003,0.35517278852423384,0.3785438441098317,0.2668643295932407,0.18201284796573874
boundary,anchor_sym,201144,0.5087201209084039,0.303558029717926,0.4619417124788109,1.34463222500221,0.6988890532160957,0.35250611720678926,0.3742745165228193,0.2750419591089411,0.21240952603315433
boundary,ctx_S,201144,0.48893827307799387,0.23875970192102672,0.3662095010167032,1.0389898220737532,0.6088578987570822,0.38535170413343,0.3456830245910519,0.16482579022988506,0.05917828872973992
boundary,ctx_D,201144,0.49784234180487613,0.29992323058355663,0.4586210051292611,1.1993256297132937,0.6558773511737841,0.3514692378328742,0.3567172456946202,0.2626346469467449,0.22887179185998707
boundary,ctx_sym,201144,0.502495724456111,0.29284140173894735,0.447996092656441,1.0192978798063452,0.6090511952894184,0.37288395329117413,0.3573900360350054,0.23692190292587906,0.2041697147037308
interior,shallow,2277999,0.7330437809674192,0.45491176524487736,0.5984411363110252,0.7403647236106953,0.381771575270601,0.6496939427572058,0.610311998715387,0.3970736659101914,0.1625674535967252
interior,deep,2277999,0.7913488987484191,0.596283976749892,0.7412730696431146,1.5537061241127945,0.36538523089043434,0.7254075877828251,0.662296419087416,0.5541403264529143,0.4432915736764127
interior,fixed_average,2277999,0.7980850737862484,0.6041148803822768,0.7478160914547956,0.620786407210381,0.30890316874646123,0.7303189459831961,0.6734855813929574,0.5506778174365388,0.4619771767164149
interior,anchor_old,2277999,0.8030644438386496,0.5995718273221403,0.7427129488145373,0.6114225690986069,0.3032760522069745,0.7317606425503341,0.6837860256464514,0.551435839356763,0.43130480173501284
interior,anchor_sym,2277999,0.8098124713838768,0.6256143775788428,0.765763180406701,0.5991811322977446,0.2941518554216871,0.7402355617181049,0.6878795921337637,0.5600463962178273,0.5142959602456754
interior,ctx_S,2277999,0.8072180892089944,0.5196634690573525,0.6379076857958454,0.6090931728576147,0.3123031659120207,0.7592539493616101,0.7081909167195399,0.5100070535770996,0.10120195657116038
interior,ctx_D,2277999,0.8424033548741681,0.683879217039796,0.8099001755438318,0.45746709432441474,0.23618498196630885,0.7846575276099503,0.7285602462445191,0.6133034145982582,0.6089956797064567
interior,ctx_sym,2277999,0.8493458513370726,0.6881421011357002,0.8124812411607363,0.4908351635005227,0.24965001487686744,0.7935347499088979,0.7423163955149809,0.6008648421615327,0.6158524169573893
Q1,shallow,495830,0.9193372728556158,0.6184273779591921,0.6847728547500037,0.40563865279814176,0.1513218839705062,0.8979133047687942,0.8454078371019297,0.704874280095519,0.025514089870525513
Q1,deep,495830,0.9192767682471815,0.6183702855045948,0.6846791718534501,1.0180217453762164,0.15414093933877418,0.8978164480641152,0.8452264874331424,0.7051289772156981,0.025309229305423408
Q1,fixed_average,495830,0.9193453401367404,0.6184324293143267,0.684724920202784,0.43842623768622163,0.15245510258148892,0.8978922490715285,0.8454149050502564,0.705079575330644,0.02534298780487805
Q1,anchor_old,495830,0.9193473569570215,0.6184344457688115,0.6847260777407816,0.4366127018806485,0.1523565804445667,0.8978955804220712,0.8454196395176524,0.705079575330644,0.02534298780487805
Q1,anchor_sym,495830,0.9193473569570215,0.6184344457688115,0.6847260777407816,0.43688861074746616,0.15235991042148245,0.8978955804220712,0.8454196395176524,0.705079575330644,0.02534298780487805
Q1,ctx_S,495830,0.9165782627110098,0.602528060422696,0.671992289960574,0.39017581322069844,0.17884112561753474,0.8999778131124505,0.8403587443946189,0.649415009372778,0.02036067481093659
Q1,ctx_D,495830,0.9194219793074239,0.6633999995830077,0.7570123188537661,0.2854420849842743,0.13632259725724027,0.9035059455894227,0.8390436625061298,0.7084809250437686,0.20256946519270988
Q1,ctx_sym,495830,0.9230099025875804,0.649701602793762,0.7358624071367588,0.31568288717050175,0.14520681077731262,0.9075515493975088,0.8475085190771465,0.7005214851898206,0.1432248575105718
Q2,shallow,495828,0.8501254467274942,0.5557961388278252,0.6672164618496219,0.5210332338002793,0.2511114383413539,0.8055206978780837,0.7364481847988331,0.5674205039380372,0.11379516869634658
Q2,deep,495828,0.8494861121195253,0.5571823764640829,0.6692343778479732,1.274864124946033,0.2643944646101633,0.805246728893598,0.7345976773386207,0.5710107034888471,0.1178743961352657
Q2,fixed_average,495828,0.8504925094992618,0.5570761233015896,0.6685765869695727,0.5358541926638709,0.2529869055423184,0.8063559531458508,0.7365288260425019,0.5697950236385348,0.11562469037947092
Q2,anchor_old,495828,0.8506397379736521,0.5571908628757073,0.6686331993002994,0.5295116863086587,0.25173931395894944,0.8065613784293448,0.7367891741881277,0.5698718892652039,0.11554100962015273
Q2,anchor_sym,495828,0.8506921755124761,0.557278894655523,0.6687124834624734,0.5299885770532966,0.2517356348956334,0.806660253314727,0.7368539421200034,0.5699841298408076,0.11561725334655429
Q2,ctx_S,495828,0.8605585001250433,0.5438729719295947,0.6472595766393874,0.5161709619008927,0.25578991547753926,0.8273329043280611,0.757044964418942,0.5144434693579055,0.07667054961347029
Q2,ctx_D,495828,0.8661491484950427,0.6260671545549926,0.750152777335647,0.40642136159430703,0.20759514637290044,0.8317007978934344,0.7555414156721073,0.5991511236620052,0.3178752809924236
Q2,ctx_sym,495828,0.8711892027073904,0.6126281680633492,0.7327885936955509,0.4339522901830516,0.21637236070477334,0.8384342802343667,0.7656268527772602,0.586976320582878,0.2594752186588921
Q3,shallow,495829,0.7867188082988288,0.5092735320981052,0.649133011202023,0.6731477046322095,0.3423121481172251,0.701629426034784,0.676655477570949,0.45340414545991004,0.20540507932677807
Q3,deep,495829,0.7822797779073027,0.5100238087866876,0.6506956748430188,1.5153847767657622,0.3642877422026269,0.6961218705104255,0.6702354256149256,0.46685034292748695,0.20688759609391233
Q3,fixed_average,495829,0.7892660574512584,0.5144566742828823,0.6538633021727966,0.6447408158863068,0.3300977497560219,0.7056211313929331,0.679068195963368,0.4654280931004341,0.2077092766747939
Q3,anchor_old,495829,0.7901393423942529,0.5152057756168787,0.6544536088559785,0.6342150106976093,0.3256046020723008,0.706896257633132,0.6801556447938026,0.46577963688145246,0.2079915631591282
Q3,anchor_sym,495829,0.7904216978030733,0.5159677028947847,0.6552801653865361,0.6334006414416739,0.32523211508309136,0.7072644009782038,0.6804050686979426,0.46680513315035976,0.20939620875263282
Q3,ctx_S,495829,0.8106161600067765,0.498445328164184,0.6207353242285285,0.6163113212807974,0.3187675254149835,0.7445807310330705,0.7131759464820677,0.42433770404067434,0.11168693110092352
Q3,ctx_D,495829,0.8208313753330281,0.5953331709882841,0.7356756624833742,0.5014392556148562,0.2636263621512949,0.7493827270539367,0.7137835665829236,0.5248492251316894,0.39331716518458637
Q3,ctx_sym,495829,0.826383692765046,0.582745500500244,0.7210633169710094,0.5241145397777244,0.27241617216170116,0.7595057158126621,0.7240533485632279,0.5061376099987247,0.34128532762636116
Q4,shallow,495828,0.6854735916487169,0.454545838081258,0.618294894893575,0.9035859968839705,0.49073227723056195,0.5372689509659553,0.5722563589129481,0.36710038242015686,0.34155766002597154
Q4,deep,495828,0.690858523520253,0.4659874010107603,0.6289648666169314,2.027777051711039,0.5200774141039621,0.5443065250835618,0.5752490324218007,0.42538999814416556,0.3190040483935132
Q4,fixed_average,495828,0.707327944367805,0.480795488188081,0.6427880537797193,0.802492012581289,0.43061056720727975,0.5635690966316736,0.5950519753173079,0.41929571333654087,0.3452651674668014
Q4,anchor_old,495828,0.7114947118758924,0.4854552515070234,0.6471616562620319,0.7837475188315041,0.4181862864213422,0.5691750056025957,0.5991349569395109,0.4203280507681104,0.35318299271787645
Q4,anchor_sym,495828,0.7124103519768952,0.48784618909220956,0.6495635524544772,0.7786729411666391,0.41564782685188684,0.5701506568285195,0.5996906982614558,0.42397168680254543,0.3575717144763175
Q4,ctx_S,495828,0.7373907887412571,0.45114462465766314,0.5923249974209773,0.7399715723751358,0.39756274276222237,0.6323789692868298,0.6381650798215612,0.38495969008480785,0.14907475943745374
