group,targets,deep_win_count,shallow_win_count,both_wrong_count,T_SS_mean,T_SD_mean,T_DS_mean,T_DD_mean,B_S_mean,B_D_mean,B_family_mean,old_mean,old_median,dsrc_mean,sym_mean,sym_median,wD_sym_mean,bias_shrink,old_auroc,old_image_auroc,old_balanced_accuracy,old_deep_win_recall,old_shallow_win_recall,dsrc_auroc,dsrc_image_auroc,dsrc_balanced_accuracy,dsrc_deep_win_recall,dsrc_shallow_win_recall,sym_auroc,sym_image_auroc,sym_balanced_accuracy,sym_deep_win_recall,sym_shallow_win_recall,ctx_S_auroc,ctx_S_image_auroc,ctx_S_balanced_accuracy,ctx_S_deep_win_recall,ctx_S_shallow_win_recall,ctx_D_auroc,ctx_D_image_auroc,ctx_D_balanced_accuracy,ctx_D_deep_win_recall,ctx_D_shallow_win_recall,ctx_sym_auroc,ctx_sym_image_auroc,ctx_sym_balanced_accuracy,ctx_sym_deep_win_recall,ctx_sym_shallow_win_recall,shallow_accuracy,shallow_miou,deep_accuracy,deep_miou,fixed_average_accuracy,fixed_average_miou,anchor_old_accuracy,anchor_old_miou,anchor_sym_accuracy,anchor_sym_miou,ctx_S_accuracy,ctx_S_miou,ctx_D_accuracy,ctx_D_miou,ctx_sym_accuracy,ctx_sym_miou,anchor_sym_minus_fixed_average_accuracy,anchor_sym_minus_fixed_average_miou,anchor_sym_minus_anchor_old_accuracy,anchor_sym_minus_anchor_old_miou,pair_support,hard_pair_prevalence
Deep_Correct,1902567,314730,0,0,0.8730290838184822,0.7773451241427298,0.7774616359736894,0.8608151078730901,0.09568395967884866,0.08335347189883292,0.0895187157905805,-0.09556744784485154,-0.06292098760604858,0.08346998372791735,-0.006048732032570135,-0.010622143745422363,0.4972672505234784,0.9367071996161087,nan,nan,nan,0.261652845295968,nan,nan,nan,nan,0.8800495662949195,nan,nan,nan,nan,0.6403139198678233,nan,nan,nan,nan,0.21496838560035586,nan,nan,nan,nan,0.8157627172497061,nan,nan,nan,nan,0.489222508181616,nan,0.8345761279366246,0.5838905845930338,1.0,1.0,0.9862627702467246,0.9667524983940832,0.9703321880385816,0.8922804556250742,0.9867957343946363,0.9651750317278094,0.8788352788627155,0.6217458094681126,0.9444639794551256,0.8801020732045621,0.9424545889842513,0.8694714203201556,0.0005329641479117075,-0.0015774666662737857,0.016463546356054737,0.0728945761027352,DEFINED,
Top20_Deep_Correct,288998,220561,0,0,0.8228915022221722,0.5192010272382815,0.6056662468390521,0.8230487531873922,0.3036904750011872,0.21738250634934556,0.2605364906894651,-0.21722525538536308,-0.21100296080112457,0.3038477259367722,0.04331123528795038,0.031197816133499146,0.5140067615430254,0.800616032342669,nan,nan,nan,0.22299499911589085,nan,nan,nan,nan,0.8993113016353752,nan,nan,nan,nan,0.6257044536432098,nan,nan,nan,nan,0.1802811920511786,nan,nan,nan,nan,0.8359229419525664,nan,nan,nan,nan,0.45741540888915083,nan,0.23680786718247185,0.13828954868200607,1.0,1.0,0.9693873314002173,0.9341426838819461,0.8695873327843099,0.7653314405747922,0.9687160464778303,0.9352293987191265,0.579197779915432,0.3964080921577159,0.9211067204617333,0.848515389207499,0.8836566343019675,0.7854962915244676,-0.0006712849223869943,0.0010867148371803692,0.09912871369352039,0.16989795814433428,DEFINED,
Deep_Wrong,576576,0,182899,393677,0.8238977127318661,0.6232196872969716,0.6048489312396591,0.6102798575573414,0.20067802543706617,0.005430926311494584,0.1030544758732369,-0.2190487814781283,-0.18706122040748596,-0.012939829740674131,-0.1159943055950706,-0.09412276744842529,0.449489662789374,0.4704636130957497,nan,nan,nan,nan,0.9262926533223255,nan,nan,nan,nan,0.5697242740528926,nan,nan,nan,nan,0.7909392615596587,nan,nan,nan,nan,0.9354671157305398,nan,nan,nan,nan,0.6342790283161746,nan,nan,nan,nan,0.8417377897090744,0.31721577034077036,0.13375575766630318,0.0,0.0,0.07395555833055834,0.02910612930066407,0.14890318015318016,0.055483873820877355,0.12076985514485515,0.045556364926904215,0.45986305361305363,0.20511211897165954,0.38542360417360416,0.2198648767556992,0.4211066711066711,0.22342490166349674,0.046814296814296816,0.016450235626240144,-0.028133325008325008,-0.00992750889397314,DEFINED,
Top20_Deep_Wrong,196453,0,103341,93112,0.8357125543082229,0.5708451100064672,0.49187069192679594,0.5828231525338246,0.26486744429898945,0.09095246059756616,0.17790995244474125,-0.34384186234414615,-0.3452373147010803,0.011978042524685876,-0.16593190995677676,-0.17339885234832764,0.42410539381829265,0.5174179665043878,nan,nan,nan,nan,0.9384174722520587,nan,nan,nan,nan,0.5422436399880008,nan,nan,nan,nan,0.7940991474826061,nan,nan,nan,nan,0.9485973621311967,nan,nan,nan,nan,0.6310273753882777,nan,nan,nan,nan,0.8537463349493425,0.5260342168355789,0.24455937717800985,0.0,0.0,0.05611011285141993,0.023762813858821896,0.2354049060080528,0.09043364218645109,0.16370836790479149,0.06437180156823494,0.5515619512046138,0.24720438109188644,0.3686785134357836,0.18952524120934014,0.4553608242174973,0.22624636103889403,0.10759825505337156,0.04060898770941304,-0.07169653810326132,-0.026061840618216148,DEFINED,
Shallow_Correct,1770736,0,182899,0,0.882363966969405,0.8104864456699515,0.7800902801015487,0.8435032712395688,0.07187752130047594,0.06341299113600467,0.06764525621847382,-0.10227368686356043,-0.06555083394050598,0.033016825570406125,-0.03462843062569474,-0.014843463897705078,0.4861338589770307,0.6614141104932263,nan,nan,nan,nan,0.9262926533223255,nan,nan,nan,nan,0.5697242740528926,nan,nan,nan,nan,0.7909392615596587,nan,nan,nan,nan,0.9354671157305398,nan,nan,nan,nan,0.6342790283161746,nan,nan,nan,nan,0.8417377897090744,1.0,1.0,0.8967101815290365,0.6952232297699352,0.920049064343866,0.7415768991237591,0.9443242809769496,0.83971723637107,0.9352229807266583,0.7953310530534322,0.9151341589034164,0.6850280771752444,0.9061785607792466,0.7393128431811087,0.9226909036694346,0.804463219441957,0.015173916382792307,0.05375415392967309,-0.009101300250291322,-0.04438618331763777,DEFINED,
Top20_Shallow_Correct,171778,0,103341,0,0.8587082864622073,0.6304842703442733,0.5499996311487797,0.6766709817875545,0.2282240161259906,0.12667135062866883,0.17744768338069114,-0.3087086552772326,-0.2976132929325104,0.046186711446588376,-0.1312609719579364,-0.1111544817686081,0.441568454719051,0.5748063247915025,nan,nan,nan,nan,0.9384174722520587,nan,nan,nan,nan,0.5422436399880008,nan,nan,nan,nan,0.7940991474826061,nan,nan,nan,nan,0.9485973621311967,nan,nan,nan,nan,0.6310273753882777,nan,nan,nan,nan,0.8537463349493425,1.0,1.0,0.39840375368207803,0.26838129714870784,0.4600181629777969,0.31451047812916255,0.6643924134638894,0.5158995917998168,0.5826939421811873,0.41904382301583254,0.7074072349194891,0.4493636612410568,0.609251475741946,0.4403408650887181,0.6835799694955117,0.5330028014635456,0.1226757792033904,0.10453334488666999,-0.08169847128270213,-0.09685576878398428,DEFINED,
Shallow_Wrong,708407,314730,0,393677,0.8097073167174099,0.5690615258855042,0.6304007265909233,0.7001759271013615,0.24064579083943322,0.06977520050891478,0.15521049567741335,-0.17930659012592395,-0.15596938133239746,0.13111440120647444,-0.02409609443070733,-0.03529006242752075,0.48620988771934426,0.8656151284236885,nan,nan,nan,0.261652845295968,nan,nan,nan,nan,0.8800495662949195,nan,nan,nan,nan,0.6403139198678233,nan,nan,nan,nan,0.21496838560035586,nan,nan,nan,nan,0.8157627172497061,nan,nan,nan,nan,0.489222508181616,nan,0.0,0.0,0.44427850091825744,0.30589081744351143,0.409239321463509,0.2828323671875657,0.36677644348517163,0.24272525027124342,0.410844331013104,0.2872944681619772,0.4470989134777042,0.24735218966817552,0.5851565554829357,0.43486009954302096,0.5675282711774446,0.4168101875560334,0.0016050095495950267,0.004462100974411465,0.04406788752793239,0.04456921789073376,DEFINED,
Top20_Shallow_Wrong,313673,220561,0,93112,0.8113068219413581,0.49060316276731125,0.5648811673482006,0.7527572103715489,0.3207036591838381,0.1878760430238827,0.25428985111288643,-0.24642565459169657,-0.25509148836135864,0.26215404758938554,0.00786419650399882,0.007336914539337158,0.4973713293444675,0.9680869420925412,nan,nan,nan,0.22299499911589085,nan,nan,nan,nan,0.8993113016353752,nan,nan,nan,nan,0.6257044536432098,nan,nan,nan,nan,0.1802811920511786,nan,nan,nan,nan,0.8359229419525664,nan,nan,nan,nan,0.45741540888915083,nan,0.0,0.0,0.7031558342605198,0.529251524034172,0.6763508494514988,0.4991217351595167,0.5847714020652081,0.41320664947128233,0.6759395931431778,0.5026738340783692,0.49167763881494425,0.305032553655601,0.7459041740921278,0.5922002003896136,0.7249842989355156,0.5713531739119291,-0.00041125630832106186,0.0035520989188524976,0.0911681910779697,0.08946718460708686,DEFINED,
class0,965133,43802,88423,111834,0.885069517942691,0.7909903763824645,0.7928025913767098,0.8171075952853324,0.09407914156022691,0.02430500390794323,0.05919207273307572,-0.09226692655946181,-0.05505555868148804,0.026117218903655762,-0.033074853781306646,-0.013213157653808594,0.48586019324534463,0.6415308125030095,0.8667098402958917,0.8259125212928503,0.7368613581592712,0.5262316789187709,0.9474910373997716,0.7746308274812183,0.7400464928889574,0.6958812983883729,0.8337290534678782,0.5580335433088676,0.8387099641985727,0.7902943396694886,0.7689559328478761,0.7433222227295557,0.7945896429661966,0.841996393814596,0.8071503123539497,0.6928621143547707,0.43454636774576505,0.9511778609637764,0.7524745218282979,0.7229197092106939,0.6882201835266584,0.74357335281494,0.6328670142383769,0.8065669767929092,0.7686069293503407,0.7356512040548882,0.6238984521254737,0.8474039559843027,0.8387413962635202,0.20968534906588004,0.792508390035363,0.19812709750884075,0.8096241657885493,0.20240604144713734,0.827660021986607,0.20691500549665176,0.8206682395068866,0.20516705987672165,0.9165109886409438,0.22912774716023596,0.8388097806209093,0.20970244515522732,0.8748928904099228,0.2187232226024807,0.011044073718337266,0.0027610184295843165,-0.006991782479720432,-0.001747945619930108,DEFINED,
class1,1044692,121742,82309,133582,0.8615121761375142,0.7519292423728957,0.7439596565548637,0.8082310501583285,0.10958293376699386,0.0642713936019264,0.08692716368416416,-0.11755251957996896,-0.08445674180984497,0.05630180778176063,-0.030625355898520237,-0.016700387001037598,0.4863671884235955,0.7394751435128724,0.8278215950387913,0.7816740523146933,0.6521464398750566,0.35612196283944736,0.9481709169106659,0.8339393570041839,0.7717865860375901,0.7515746512548271,0.8818320711011812,0.621317231408473,0.8635758825217744,0.7969253775500648,0.7813787501790543,0.7229222454042155,0.8398352549538932,0.8115806896808319,0.7677721938861826,0.6225027745671037,0.2894235350166746,0.9555820141175327,0.8167558797630154,0.7700243087611679,0.740705661633548,0.8093098519820604,0.6721014712850356,0.8371034826323609,0.7853702458758068,0.7339177092304603,0.5902400157710568,0.8775954026898638,0.755598779353149,0.18889969483828725,0.7933448327353899,0.19833620818384748,0.8014955604139785,0.20037389010349463,0.82443533596505,0.2061088339912625,0.8192768777783308,0.2048192194445827,0.8407272191229568,0.2101818047807392,0.8507560122983616,0.2126890030745904,0.858944071554104,0.214736017888526,0.01778131736435229,0.004445329341088072,-0.005158458186719228,-0.001289614546679807,DEFINED,
