draw,teacher-fixed_miou,teacher-fixed_accuracy,teacher-vs-rect_NetRepair,fixed-vs-rect_NetRepair,CCA:all:mean_dm,CCA:Top20:mean_dm,CCA:class0:mean_dm,CCA:class1:mean_dm,CCA:class2:mean_dm,CCA:class3:mean_dm,CCA:all:benefit_rate,CCA-U:all:benefit_rate,CCA-U:all:mean_dm,CCA-U:Top20:mean_dm,CCA-FA:all:benefit_rate,CCA-FA:all:mean_dm,CCA-FA:Top20:mean_dm
30,0.01931174446511874,0.011333406084415505,-0.0314555470679293,-0.04278895315234481,-0.0002881622666194141,-0.0006766497002118504,-0.0003612724997027238,-0.0002606569981053581,-0.00026164019956788413,-4.6926372119195535e-05,0.17627991383038488,0.0,-9.520318963248708e-05,-0.0004068655298382936,0.0010750993254357991,4.412486654761331e-05,0.00018176438916391957
31,0.019742255301972822,0.01131413246739609,-0.03178845928600566,-0.04310259175340175,-0.000286280863271228,-0.0006737414216469561,-0.00035507672791478364,-0.0002507061114155092,-0.00027554062125263664,-0.00011208008338608396,0.1796734964235661,0.0,-9.312483196799764e-05,-0.00040035274360304847,0.001208030921714265,4.375839757543625e-05,0.00017805050293340466
32,0.018375972737506796,0.010841572488609732,-0.03155202916938534,-0.04239360165799507,-0.00028381070779951963,-0.0006612574977812806,-0.00035107883298519146,-0.00025811693527301677,-0.00024273977568324423,-0.00011386142999107112,0.18288269733142282,0.0,-9.320712116743163e-05,-0.00039293445242734125,0.0011569278496991425,4.282740747778067e-05,0.00017055928043381558
33,0.01924746332592986,0.011097245725823294,-0.03161038527681912,-0.04270763100264241,-0.0002861161937512812,-0.0006555708732391196,-0.0003599313563916577,-0.00024056718360636453,-0.000273495560271484,-0.00016362922113464327,0.18386281913670943,0.0,-9.13617621665762e-05,-0.00038094957278198146,0.001172744970588461,4.266554330095907e-05,0.00016696570512203448
34,0.018637621251906267,0.010851723766529606,-0.03047728463658767,-0.041329008403117276,-0.0002819417298937833,-0.0006616273663029271,-0.0003586787464776857,-0.00025021031130632957,-0.00024540084619218983,-8.376277683422248e-05,0.1816232687807513,0.0,-9.187222455947304e-05,-0.00039409283727039437,0.0010593147693731366,4.315160069113164e-05,0.0001773849477911207
35,0.021217820039478696,0.011576766318344308,-0.03272738143378677,-0.04430414775213108,-0.00029336564135595497,-0.0007035584227460432,-0.0003596515634766657,-0.0002653920093996347,-0.0002576410583499977,-0.00012816235513958915,0.1743713816293116,0.0,-9.747746215009474e-05,-0.000420502375648859,0.0010216576061378637,4.3473775070229096e-05,0.00017860919354249628
36,0.01783972790948951,0.010660838822161952,-0.030514254810796847,-0.0411750936329588,-0.0002831547821522621,-0.0006615243161998096,-0.00035516559259691707,-0.000252623369639041,-0.00027853027530386903,-3.0048508003818174e-05,0.18154946403202893,0.0,-9.288016806150401e-05,-0.0003973377644620183,0.0009803209350380988,4.1916685130683364e-05,0.00016943515775610704
37,0.018841842917603602,0.011249056558081715,-0.03269535806395628,-0.043944414622038,-0.0002945429396069959,-0.0006976037606864427,-0.0003572263905931887,-0.00027136964692921336,-0.0002763554209891279,-0.0001078406990604984,0.17650294838212324,0.0,-9.785874747223115e-05,-0.0004141018365692521,0.0011099316685703677,4.388352760197311e-05,0.00017709798770802832
38,0.020284238027556523,0.011812743621150807,-0.03553288814745178,-0.047345631768602583,-0.0003015612390993004,-0.0007341936748519208,-0.0003623186735887657,-0.0002791803137409267,-0.0002805777639724458,-8.314413849724734e-05,0.17566490674234936,0.0,-0.00010202421128792764,-0.0004434785116797332,0.001130224151684657,4.443945458641779e-05,0.000182284371680215
39,0.02150636839479636,0.011762135435967944,-0.03315142099649011,-0.044913556432458056,-0.00029215449494178903,-0.0006832536804543949,-0.0003481398051015936,-0.0002657969415466804,-0.00027723029965510623,-0.00014360815258194416,0.17803226459332472,0.0,-9.366294863493189e-05,-0.00040137298052935063,0.001332253367148668,4.402610959916978e-05,0.000175783678275356
40,0.02056539953586123,0.011827499717234582,-0.033419021051936,-0.04524652076917058,-0.00029232558338273656,-0.0007001467982469704,-0.0003636237536737339,-0.00026361098416693166,-0.00024981966084178296,-0.00010774962436945349,0.17856220575673903,0.0,-9.650404397639746e-05,-0.000417410098476614,0.000993226197334181,4.406984468740263e-05,0.00018006410534322754
41,0.018583594250377033,0.010848146144092777,-0.032613084806538364,-0.04346123095063114,-0.0002874998584986286,-0.0006758677310283484,-0.0003617377533646344,-0.00024380349388515183,-0.00028300908295751816,-0.00011301248988281225,0.18343482228665112,0.0,-9.727661112894433e-05,-0.00040357219286831116,0.0011217625158492365,4.2561100279003506e-05,0.0001693812762856534
