stratum,teacher,targets,mean,median,positive_fraction,negative_fraction
Q5,teacher-minus-fixed,495828,0.024661943543116224,0.01744385063648224,0.683567688795308,0.3164302943762756
boundary,fixed,201144,-0.04037400834578775,-0.007041215862178651,0.4606848824722587,0.5393151175277413
boundary,teacher,201144,-0.040067418381784674,-0.006977854407078824,0.46181342719643637,0.5381865728035636
boundary,teacher-minus-fixed,201144,0.0003065899640030727,-3.5762786865234375e-06,0.4891172493338106,0.5093564809290856
interior,fixed,2277999,-0.13044172775150903,-0.07790868008042406,0.13777354599365496,0.8622251370610786
interior,teacher,2277999,-0.12460384741158463,-0.07902912653930771,0.13897328313137977,0.8610253999233538
interior,teacher-minus-fixed,2277999,0.005837880339924421,-1.2040138244628906e-05,0.4309268792479716,0.5633356292079145
class0,fixed,965133,-0.11931419624470271,-0.058187353504071226,0.10809494649960161,0.8919050535003984
class0,teacher,965133,-0.11402479035408096,-0.05895878755708106,0.10916112079889508,0.8908388792011049
class0,teacher-minus-fixed,965133,0.005289405890621773,-1.4007091522216797e-05,0.4070485622188859,0.588047450455015
class1,fixed,1044692,-0.11243914570739905,-0.08208225569021327,0.16377937229346065,0.8362177560467583
class1,teacher,1044692,-0.10439998929087484,-0.08284687727119938,0.16601160916327493,0.833985519176944
class1,teacher-minus-fixed,1044692,0.008039156416524201,-7.510185241699219e-06,0.4438781956787264,0.5481060446523952
class2,fixed,323515,-0.1537453394750399,-0.0837648041912209,0.25035624314173993,0.74964375685826
class2,teacher,323515,-0.15131430697703707,-0.08820809285004749,0.2500316832295257,0.7499683167704744
class2,teacher-minus-fixed,323515,0.002431032498002816,-2.6226043701171875e-05,0.4649583481445992,0.5342070692239927
class3,fixed,145803,-0.15712877813937104,-0.20128407874665266,0.3435663189371961,0.656433681062804
class3,teacher,145803,-0.16350411843366822,-0.21539826685063923,0.34153618238307853,0.6584638176169214
class3,teacher-minus-fixed,145803,-0.006375340294297206,2.0385414245538414e-08,0.5009567704368223,0.4990432295631777
Deep-Wrong,fixed,576576,-0.2036930768769806,-0.03136952147627493,0.460118006993007,0.539881993006993
Deep-Wrong,teacher,576576,-0.18594034351295155,-0.023079513325262924,0.46914196914196915,0.5308580308580308
Deep-Wrong,teacher-minus-fixed,576576,0.017752733364028984,0.00462745688855648,0.8378080253080253,0.16218503718503718
Shallow-Wrong,fixed,708407,-0.14194368243098596,-0.060792050634218886,0.4459724423954026,0.5540275576045973
Shallow-Wrong,teacher,708407,-0.12927225546691623,-0.051306823046518235,0.45321827706389123,0.5467817229361087
Shallow-Wrong,teacher-minus-fixed,708407,0.012671426964069699,0.004113338887691498,0.7625404604979905,0.23745530464831657
Both-Wrong,fixed,393677,-0.12836239838384061,0.006683346040990426,0.5873190458167482,0.41268095418325174
Both-Wrong,teacher,393677,-0.11943607598490136,0.008306900957483307,0.5983306111355248,0.4016693888644752
Both-Wrong,teacher-minus-fixed,393677,0.008926322398939238,0.0026871860027313232,0.8601569306817518,0.13983544885781998
Rect_Correct,fixed,2027414,-0.1759911216972959,-0.10920239466168613,0.020577444961907138,0.9794210753205808
Rect_Correct,teacher,2027414,-0.1695852224887315,-0.11146471169234079,0.019374927863771287,0.9806235924187167
Rect_Correct,teacher-minus-fixed,2027414,0.006405899208564341,-3.6835670471191406e-05,0.37803329758993476,0.6153701217412921
Rect_Wrong,fixed,451729,0.1140943997261325,0.05637234509772422,0.8075483309683461,0.19245166903165392
Rect_Wrong,teacher,451729,0.11491999332352097,0.06243754763679997,0.8194979733424244,0.18050202665757567
Rect_Wrong,teacher-minus-fixed,451729,0.0008255935973884016,0.001125682145357132,0.6942303903446535,0.3057629685054535
