draw,winner:all:image_auroc,gradient:all:image_auroc,winner:class0:image_auroc,winner:class1:image_auroc,winner:class2:image_auroc,winner:class3:image_auroc,delta-minus-q:image_auroc,HA:all:mean_dm,HA:Top20:mean_dm,HA:class0:mean_dm,HA:class1:mean_dm,HA:class2:mean_dm,HA:class3:mean_dm,HA:Rect_Correct:harm_rate,HA:Rect_Wrong:benefit_rate,HA:all:active_fraction,HA-CCA:all:mean_dm,HA-CCA:all:harm_rate,HA-CCA:Top20:mean_dm,HA-CCA:Top20:harm_rate,HA-CCA:Rect_Correct:mean_dm,HA-CCA:Rect_Correct:harm_rate,HA-CCA:Rect_Wrong:mean_dm,HA-CCA:Rect_Wrong:harm_rate,Accepted:teacher-rect_accuracy_delta,Accepted:NetRepair_rate,Accepted:NetRepair_count,winner:Teacher-Win_recall,winner:Rect-Win_recall,winner:zero-sign_BA
10,0.6257765941776675,0.5225903055733964,0.5534761001517565,0.7188767790481482,0.40067497375057615,0.6900434301421968,0.0013507852639657672,-0.00024142205954286614,-0.0004936271876818297,-0.00028361573763027183,-0.00018563782763844226,-0.0003315506975428406,-0.00015037219900672545,0.8439607892580218,0.7296407922253659,0.8383526009700333,5.333711453123149e-05,-0.12401315048389018,0.0001957487612354378,-0.19127875869448904,5.873242003244731e-05,-0.12980875307318918,2.927209689327588e-05,-0.09816266277700648,-0.014118355013213313,-0.014118355013213313,-29421.000000000022,0.6948160721863623,0.4685560852268114,0.5816860787065868
11,0.6201495495671062,0.5247007718614647,0.5393260945251237,0.7089500832524607,0.421886658261406,0.6821284882573342,0.007195631053266181,-0.00022955961134356114,-0.00046397151371291236,-0.00027855567573136105,-0.00016673563615323143,-0.0003194413229200951,-0.00016004027564437423,0.8436569488191605,0.7343524006692946,0.8386107878315698,5.459878438901849e-05,-0.12375826379126653,0.0002002798540945341,-0.18807977078664434,6.11139762470367e-05,-0.13028092892009058,2.5868382011604648e-05,-0.09499490611767632,-0.012264483920326296,-0.012264483920326296,-25505.00000000002,0.7042209495741094,0.47335473515248794,0.5887878423632986
12,0.6149992843221941,0.5251118844393371,0.5563201290563515,0.7072635527019104,0.37800851366929344,0.6535955665587921,-0.0005031722953320355,-0.00022862738343832237,-0.00046764712045837306,-0.0002778053564210993,-0.0001671817125869337,-0.00031127204587391136,-0.0001555255519646529,0.8430234325894977,0.7339710259455211,0.8377703152451595,5.3701190313229355e-05,-0.12382227965958095,0.00019912430827935234,-0.18977476683023997,6.063256199186681e-05,-0.13032798447630198,2.351164693088712e-05,-0.09548672547159366,-0.012921897159989103,-0.012921897159989103,-26705.000000000015,0.6978514026966746,0.4725321633959803,0.5851917830463275
13,0.6183343335651641,0.5248260308983685,0.5410534166963268,0.7195424617261245,0.4151395359234884,0.621857986459612,-0.0018960564525889014,-0.00022781822634592642,-0.0004487258554212714,-0.0002770031982140026,-0.00016958255138812642,-0.00030990186911865054,-0.00013723854044085207,0.8437439832905615,0.7364476500514875,0.8389701704086838,5.488854206956311e-05,-0.12349302286537132,0.00020175287810767365,-0.18907133048780733,6.10219578593994e-05,-0.13000101464303127,2.779576788407692e-05,-0.09474565636115988,-0.011412795896877392,-0.011412795896877392,-23725.00000000001,0.7047977026023129,0.4730105832563587,0.5889041429293358
14,0.6174803403693572,0.5203090561620936,0.557613614403207,0.7130340462530583,0.39073961706612487,0.6519938380786522,0.0019453336055831735,-0.00023437231182698388,-0.0004796468420637668,-0.0002749738754403476,-0.00018768584006449642,-0.00029368576239902837,-0.00016413421012483563,0.8426090806140176,0.7333284675084544,0.8377770391458328,5.509535567054712e-05,-0.12496844771650319,0.000204249860542536,-0.1935793024365338,6.218920679225114e-05,-0.13170161212224224,2.3340631315468625e-05,-0.09482829167523715,-0.01259896344782072,-0.01259896344782072,-26135.000000000015,0.6966756910635232,0.4767782477635161,0.5867269694135197
15,0.6125499706100395,0.5230216184780695,0.5526464960709051,0.7021423311875203,0.40007633034241713,0.662723618641902,0.001992389455029746,-0.00023626420621878627,-0.00048309047757676404,-0.0002876843134371477,-0.000185224870156955,-0.0002951187824992415,-0.00014223167602642894,0.8437500459636557,0.7330068662095223,0.8387060902526465,5.634004438688738e-05,-0.12433409643806563,0.0002090833768845864,-0.19520073449628578,6.245010666275719e-05,-0.13079613954320707,2.816435110480931e-05,-0.09453529304041726,-0.01252666167060587,-0.01252666167060587,-26076.000000000007,0.6959075101909215,0.4790186206730422,0.5874630654319818
16,0.6203062343470036,0.5251871225990794,0.5679605973169536,0.7100636768222918,0.3993872478856577,0.6817124812176794,-0.0009709563062137008,-0.0002272408390358078,-0.00045527804199573305,-0.00026481444717795524,-0.00017888563261881686,-0.000311606578062056,-0.00015976974077348154,0.8429040603378101,0.7384812867651163,0.8386693568905621,5.650909651224949e-05,-0.1243301027492139,0.00020818055204315696,-0.19265163740012883,6.276478461771273e-05,-0.13123039807591136,2.8184932256757078e-05,-0.09308732098806773,-0.011229137683703231,-0.011229137683703231,-23319.00000000001,0.7107048473269343,0.47596032948363315,0.5933325884052837
17,0.6175208303678487,0.5222718346293076,0.5475619224338731,0.702705981611353,0.41476797637957447,0.6895739856647765,0.00430725349105013,-0.00023799104271555625,-0.0004830889527358768,-0.0002917196098859998,-0.00017891445019830137,-0.0003192205193601735,-0.00014350826812157657,0.8451884930671287,0.7354265514321429,0.8398640382892766,5.206002808905246e-05,-0.12300733392511591,0.00019418299445460454,-0.18940989481821058,5.888610145046248e-05,-0.129103353252456,2.1073749503990433e-05,-0.09533506274725914,-0.013022576317738344,-0.013022576317738344,-27045.00000000001,0.7003520770295047,0.46882806366426377,0.5845900703468843
18,0.613702145896467,0.5167192390017552,0.5572156371054198,0.7044817102122457,0.38161792513991155,0.6544830233271055,-0.004579503633985944,-0.00022754061423447004,-0.0004475749006062631,-0.0002784892329744423,-0.00016824130280331955,-0.0002784982357478541,-0.00017825294694520235,0.8435298915793924,0.7360543687470636,0.8382100835281975,5.340006123851804e-05,-0.12335879181405096,0.00019551446501699156,-0.18874173531875443,6.161749597412279e-05,-0.130490740685612,1.7542261253120004e-05,-0.09223764459830737,-0.01161298959718842,-0.01161298959718842,-24115.000000000015,0.6947845654907671,0.4781931464174455,0.5864888559541063
19,0.6073200987979888,0.5219358829987334,0.5429358211439391,0.7098818690408997,0.38035360882558933,0.6450294751899195,-0.00734556412311356,-0.00023521366569499336,-0.00047920240536829364,-0.0002862494063634184,-0.00018290599637383736,-0.0002969915466553392,-0.00012156225159644119,0.8428527645238907,0.73474751555659,0.8378459519060386,5.4557155782981675e-05,-0.12430295184695907,0.0002053153054649555,-0.1946178203668459,6.141423586744616e-05,-0.13106122434923947,2.3951973913261593e-05,-0.09413877751770838,-0.013842252904968762,-0.013842252904968762,-28857.00000000002,0.6957637705848949,0.4704800517069158,0.5831219111459054
