stratum,loss,targets,active_fraction,zero_rate,mean_gradient_norm
class0,CCA,965133,1.0,0.0,0.0004121041337974087
class0,HA,965133,0.8340581039089949,0.16594189609100507,0.0003522705714689784
class0,SA,965133,0.8340581039089949,0.16594189609100507,0.00044108019804806856
class1,U,1044692,1.0,0.0,0.00029602642738526185
class1,CCA,1044692,1.0,0.0,0.00045943867050513774
class1,HA,1044692,0.8365039648049377,0.16349603519506228,0.00040961630745185875
class1,SA,1044692,0.8365039648049377,0.16349603519506228,0.0005076282270307375
class2,U,323515,1.0,0.0,0.00038112498975326247
class2,CCA,323515,1.0,0.0,0.0005570011019116919
class2,HA,323515,0.8330772916248087,0.16692270837519127,0.0005355671974678885
class2,SA,323515,0.8330772916248087,0.16692270837519127,0.0006825223107090295
class3,U,145803,1.0,0.0,0.0004976055205023263
class3,CCA,145803,1.0,0.0,0.0006529906923012359
class3,HA,145803,0.8898925262168816,0.11010747378311832,0.0006367340199221824
class3,SA,145803,0.8898925262168816,0.11010747378311832,0.0007495719710143901
boundary,U,201144,1.0,0.0,0.00039587630604314057
boundary,CCA,201144,1.0,0.0,0.0006120726077470184
boundary,HA,201144,0.8077347571888797,0.1922652428111204,0.0005819706921100939
boundary,SA,201144,0.8077347571888797,0.1922652428111204,0.0007830054778004698
interior,U,2277999,1.0,0.0,0.00029313285286617854
interior,CCA,2277999,1.0,0.0,0.0004521506301423044
interior,HA,2277999,0.8409384727561338,0.1590615272438662,0.0004025254937424519
interior,SA,2277999,0.8409384727561338,0.1590615272438662,0.0004954415678619992
Corrected_by_CH,U,305318,1.0,0.0,0.0006182343837398701
Corrected_by_CH,CCA,305318,1.0,0.0,0.001042267064644908
Corrected_by_CH,HA,305318,0.631521888653797,0.36847811134620295,0.0007115642063230117
Corrected_by_CH,SA,305318,0.631521888653797,0.36847811134620295,0.0006959715332393638
Still_Wrong,U,378130,1.0,0.0,0.00039875825425815
Still_Wrong,CCA,378130,1.0,0.0,0.0006388873405725364
Still_Wrong,HA,378130,0.7986406791315156,0.20135932086848438,0.0006362082181901635
Still_Wrong,SA,378130,0.7986406791315156,0.20135932086848438,0.0010640619707493217
Harmed_by_CH,U,69617,1.0,0.0,0.0006097547368884465
Harmed_by_CH,CCA,69617,1.0,0.0,0.0008817561608907494
Harmed_by_CH,HA,69617,0.6273754973641495,0.37262450263585045,0.0006966160756627583
Harmed_by_CH,SA,69617,0.6273754973641495,0.37262450263585045,0.0007329528548644175
Stable_Correct,U,1726078,1.0,0.0,0.00021169069394532343
Stable_Correct,CCA,1726078,1.0,0.0,0.00030816847879384793
Stable_Correct,HA,1726078,0.8919915554221768,0.10800844457782326,0.000305718217765254
Stable_Correct,SA,1726078,0.8919915554221768,0.10800844457782326,0.00035933479338283165
