stratum,quantity,count,mean,std,median,min,max
Rect_Correct,S_T,2027414,0.8492343415611339,0.10190629419018264,0.8686622977256775,0.09940437972545624,0.9987704753875732
Rect_Correct,delta,2027414,0.02866398682994167,0.06320280569915171,0.020283520221710205,-0.7873077988624573,0.7027570605278015
Rect_Wrong,R_S,451729,0.7285261072416983,0.11714116748042014,0.749885618686676,0.16534702479839325,0.9862398505210876
Rect_Wrong,R_D,451729,0.6594961640843947,0.1748848813855874,0.6721295118331909,0.0027755380142480135,1.0
Rect_Wrong,T_S,451729,0.8006348180284818,0.10903384222102469,0.8271215558052063,0.13681328296661377,0.9937545657157898
Rect_Wrong,T_D,451729,0.6764964315100158,0.14444366772699205,0.6926469802856445,0.02540389634668827,0.9999944567680359
Rect_Wrong,S_R,451729,0.6940111356440355,0.11940562305250453,0.7112441062927246,0.11223627626895905,0.9927805662155151
Rect_Wrong,S_T,451729,0.738565624793721,0.11296752934202557,0.7596147060394287,0.10570432245731354,0.9934810400009155
Rect_Wrong,delta,451729,0.044554489148629924,0.09721105387991892,0.03736865520477295,-0.8131639957427979,0.7804721593856812
Teacher-Win,R_S,88290,0.7657336723714685,0.09895442921798522,0.7845059633255005,0.1691502034664154,0.9690578579902649
Teacher-Win,R_D,88290,0.60183203566264,0.15922310379673063,0.6312128305435181,0.0027755380142480135,0.9962353110313416
Teacher-Win,T_S,88290,0.8162734877288186,0.07863625601004233,0.8314930200576782,0.1988900601863861,0.9746399521827698
Teacher-Win,T_D,88290,0.67570202596197,0.10420681673696042,0.690665602684021,0.06222587451338768,0.9501158595085144
Teacher-Win,S_R,88290,0.6837828539797959,0.10842237129400716,0.7062239050865173,0.11324432492256165,0.9566923975944519
Teacher-Win,S_T,88290,0.7459877570721649,0.08108833181787937,0.7612817883491516,0.13055796921253204,0.9286628365516663
Teacher-Win,delta,88290,0.06220490308840287,0.1408981930073094,0.053641676902770996,-0.8131639957427979,0.7804721593856812
Rect-Win,R_S,168626,0.770170087414582,0.09967354253690033,0.7913610339164734,0.2549361288547516,0.969831645488739
Rect-Win,R_D,168626,0.6785408449777275,0.1391075592343062,0.6901443004608154,0.009465067647397518,0.9985846281051636
Rect-Win,T_S,168626,0.8024177965257344,0.09467551589319596,0.8232311010360718,0.16665373742580414,0.9758448004722595
Rect-Win,T_D,168626,0.6390959132218976,0.12006339884222184,0.6580994129180908,0.03215501829981804,0.928433358669281
Rect-Win,S_R,168626,0.7243554661877101,0.09373490705639968,0.7357429265975952,0.15930253267288208,0.974268913269043
