image_id,class,radius,boundary_pixels,interior_pixels,gcqm_interior_correctness,gcqm_interior_recall,gcqm_interior_precision,gcqm_interior_fn_density,gcqm_interior_fp_leakage,gcqm_interior_fn_islands,gcqm_interior_fp_islands,gcqm_boundary_precision,gcqm_boundary_recall,gcqm_boundary_f1,gcqm_boundary_accuracy,gcqm_boundary_fp_density,gcqm_boundary_fn_density,sshr_interior_correctness,sshr_interior_recall,sshr_interior_precision,sshr_interior_fn_density,sshr_interior_fp_leakage,sshr_interior_fn_islands,sshr_interior_fp_islands,sshr_boundary_precision,sshr_boundary_recall,sshr_boundary_f1,sshr_boundary_accuracy,sshr_boundary_fp_density,sshr_boundary_fn_density,pixel_interior_correctness,pixel_interior_recall,pixel_interior_precision,pixel_interior_fn_density,pixel_interior_fp_leakage,pixel_interior_fn_islands,pixel_interior_fp_islands,pixel_boundary_precision,pixel_boundary_recall,pixel_boundary_f1,pixel_boundary_accuracy,pixel_boundary_fp_density,pixel_boundary_fn_density
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+84,0,1,930,24673,0.9517286102216999,0.9517286102216999,0.7993600217864923,0.048271389778300165,0.12091000471823907,2,3,0.6972375690607735,0.961890243902439,0.8084561178731582,0.678494623655914,0.2946236559139785,0.026881720430107527,1.0,1.0,0.8413927158641386,0.0,0.09541099965126058,0,1,0.7053763440860215,1.0,0.8272383354350568,0.7053763440860215,0.2946236559139785,0.0,0.9783569083613667,0.9783569083613667,0.8068926327049071,0.021643091638633323,0.11850985701684207,3,3,0.6965669988925803,0.9588414634146342,0.8069275176395125,0.6763440860215054,0.2946236559139785,0.02903225806451613
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+84,0,3,2727,23426,0.951293434645266,0.951293434645266,0.8118692848555503,0.048706565354734055,0.11229504631844474,2,4,0.6892911010558069,0.9605885444035733,0.8026344676180022,0.6703337000366704,0.30216354968830217,0.027502750275027504,1.0,1.0,0.8556192702436174,0.0,0.08596094463532379,0,1,0.6978364503116978,1.0,0.8220302375809935,0.6978364503116978,0.30216354968830217,0.0,0.9795099462136088,0.9795099462136088,0.8197342097742212,0.02049005378639119,0.10972904797112165,3,5,0.6885865457294029,0.9574356279558591,0.8010551769619697,0.6681334800146681,0.30216354968830217,0.0297029702970297
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+84,0,5,4494,22220,0.9509000900090009,0.9509000900090009,0.825222621465396,0.0490999099909991,0.10334395639924253,2,4,0.6853468075333027,0.9597941460276617,0.7996784135066327,0.6673342234089897,0.30485091232754785,0.027814864263462396,1.0,1.0,0.8713042114343973,0.0,0.07579326589995843,0,1,0.6918113039608367,1.0,0.8178350651058792,0.6918113039608367,0.3081886960391633,0.0,0.9808280828082808,0.9808280828082808,0.8332632383865418,0.019171917191719172,0.10071128354348528,3,4,0.6852534562211982,0.9565776777098746,0.7984964424755001,0.6659991099243435,0.30396083667111706,0.030040053404539385
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+84,1,1,1044,24074,0.7551715543740135,0.7551715543740135,0.9385163388570543,0.24482844562598655,0.024432272755246478,3,2,1.0,0.5109961190168176,0.6763698630136986,0.6379310344827587,0.0,0.3620689655172414,0.806804020935449,0.806804020935449,1.0,0.19319597906455097,0.0,1,0,1.0,0.5316946959896507,0.6942567567567568,0.6532567049808429,0.0,0.34674329501915707,0.7600315693279056,0.7600315693279056,0.9716425043810738,0.23996843067209436,0.010954520278170964,3,3,1.0,0.5109961190168176,0.6763698630136986,0.6379310344827587,0.0,0.3620689655172414
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+84,1,3,3079,22560,0.7710992907801418,0.7710992907801418,0.9384474294653935,0.22890070921985817,0.024811899273691995,4,2,1.0,0.5155225185832969,0.6803231390652048,0.6401429035401104,0.0,0.35985709645988956,0.8247783687943262,0.8247783687943262,1.0,0.17522163120567377,0.0,1,0,1.0,0.5365107127240927,0.6983494593056346,0.6557323806430659,0.0,0.34426761935693406,0.7763297872340426,0.7763297872340426,0.9733244414804935,0.22367021276595744,0.010437959378941417,5,3,1.0,0.515085264538697,0.67994227994228,0.6398181227671322,0.0,0.3601818772328678
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+84,1,5,5061,21082,0.7877336116118016,0.7877336116118016,0.9383546163408295,0.21226638838819847,0.02519514110202762,4,2,1.0,0.5227091633466135,0.6865515436944009,0.6449318316538234,0.0,0.35506816834617666,0.8443221705720519,0.8443221705720519,1.0,0.155677829427948,0.0,1,0,1.0,0.5402390438247012,0.7015002586652871,0.6579727326615293,0.0,0.34202726733847066,0.7931410682098473,0.7931410682098473,0.9751560039657083,0.20685893179015274,0.009837882776777053,4,3,1.0,0.5235059760956176,0.6872384937238494,0.6455245998814464,0.0,0.35447540011855366
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+85,0,1,1736,38781,1.0,1.0,0.8059896915786848,0.0,0.19401030842131514,0,4,0.6595622119815668,1.0,0.7948628948281846,0.6595622119815668,0.34043778801843316,0.0,1.0,1.0,0.8059896915786848,0.0,0.19401030842131514,0,4,0.6595622119815668,1.0,0.7948628948281846,0.6595622119815668,0.34043778801843316,0.0,1.0,1.0,0.8059896915786848,0.0,0.19401030842131514,0,4,0.6595622119815668,1.0,0.7948628948281846,0.6595622119815668,0.34043778801843316,0.0
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+85,0,3,5086,36570,1.0,1.0,0.8275627970128988,0.0,0.17243720298710116,0,4,0.6598505701926858,1.0,0.795072257758825,0.6598505701926858,0.3401494298073142,0.0,1.0,1.0,0.8275627970128988,0.0,0.17243720298710116,0,4,0.6598505701926858,1.0,0.795072257758825,0.6598505701926858,0.3401494298073142,0.0,1.0,1.0,0.8275627970128988,0.0,0.17243720298710116,0,4,0.6598505701926858,1.0,0.795072257758825,0.6598505701926858,0.3401494298073142,0.0
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+85,0,5,8282,34449,1.0,1.0,0.8503406398104265,0.0,0.14965936018957346,0,4,0.6613136923448443,1.0,0.7961334399302274,0.6613136923448443,0.3386863076551558,0.0,1.0,1.0,0.8503406398104265,0.0,0.14965936018957346,0,4,0.6613136923448443,1.0,0.7961334399302274,0.6613136923448443,0.3386863076551558,0.0,1.0,1.0,0.8503406398104265,0.0,0.14965936018957346,0,4,0.6613136923448443,1.0,0.7961334399302274,0.6613136923448443,0.3386863076551558,0.0
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+85,1,1,168,340,0.0,0.0,,1.0,0.0,1,0,,0.0,0.0,0.30952380952380953,0.0,0.6904761904761905,0.0,0.0,,1.0,0.0,1,0,,0.0,0.0,0.30952380952380953,0.0,0.6904761904761905,0.0,0.0,,1.0,0.0,1,0,,0.0,0.0,0.30952380952380953,0.0,0.6904761904761905
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+85,1,3,455,160,0.0,0.0,,1.0,0.0,1,0,,0.0,0.0,0.34945054945054943,0.0,0.6505494505494506,0.0,0.0,,1.0,0.0,1,0,,0.0,0.0,0.34945054945054943,0.0,0.6505494505494506,0.0,0.0,,1.0,0.0,1,0,,0.0,0.0,0.34945054945054943,0.0,0.6505494505494506
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+85,1,5,679,47,0.0,0.0,,1.0,0.0,1,0,,0.0,0.0,0.39764359351988215,0.0,0.6023564064801178,0.0,0.0,,1.0,0.0,1,0,,0.0,0.0,0.39764359351988215,0.0,0.6023564064801178,0.0,0.0,,1.0,0.0,1,0,,0.0,0.0,0.39764359351988215,0.0,0.6023564064801178
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+85,3,1,1344,8995,0.0,0.0,,1.0,0.0,3,0,,0.0,0.0,0.4055059523809524,0.0,0.5944940476190477,0.0,0.0,,1.0,0.0,3,0,,0.0,0.0,0.4055059523809524,0.0,0.5944940476190477,0.0,0.0,,1.0,0.0,3,0,,0.0,0.0,0.4055059523809524,0.0,0.5944940476190477
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+85,3,3,3966,7460,0.0,0.0,,1.0,0.0,3,0,,0.0,0.0,0.4114977307110439,0.0,0.5885022692889561,0.0,0.0,,1.0,0.0,3,0,,0.0,0.0,0.4114977307110439,0.0,0.5885022692889561,0.0,0.0,,1.0,0.0,3,0,,0.0,0.0,0.4114977307110439,0.0,0.5885022692889561
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+85,3,5,6503,6016,0.0,0.0,,1.0,0.0,3,0,,0.0,0.0,0.4190373673689067,0.0,0.5809626326310934,0.0,0.0,,1.0,0.0,3,0,,0.0,0.0,0.4190373673689067,0.0,0.5809626326310934,0.0,0.0,,1.0,0.0,3,0,,0.0,0.0,0.4190373673689067,0.0,0.5809626326310934
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+86,0,1,1772,34450,1.0,1.0,0.7166781085522894,0.0,0.2833218914477106,0,3,0.6551918735891648,1.0,0.7916808728264576,0.6551918735891648,0.3448081264108352,0.0,0.9604934687953556,0.9604934687953556,0.842623952736255,0.03950653120464441,0.12856518754290708,1,3,0.657104736490994,0.8484065460809647,0.7406015037593985,0.6106094808126411,0.29006772009029347,0.09932279909706546,1.0,1.0,0.7166781085522894,0.0,0.2833218914477106,0,3,0.6551918735891648,1.0,0.7916808728264576,0.6551918735891648,0.3448081264108352,0.0
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+86,0,3,5232,32176,1.0,1.0,0.7313724598808928,0.0,0.26862754011910717,0,3,0.6565366972477065,1.0,0.7926618206992039,0.6565366972477065,0.3434633027522936,0.0,0.9682682744903033,0.9682682744903033,0.8652724545909015,0.03173172550969667,0.11026503614129199,1,4,0.6593629997741134,0.8497816593886462,0.7425591452556601,0.6131498470948012,0.2882262996941896,0.09862385321100918,1.0,1.0,0.7313724598808928,0.0,0.26862754011910717,0,3,0.6565366972477065,1.0,0.7926618206992039,0.6565366972477065,0.3434633027522936,0.0
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+86,0,5,8605,29956,1.0,1.0,0.7474238379201078,0.0,0.2525761620798922,0,3,0.6571760604299826,1.0,0.7931276297335204,0.6571760604299826,0.34282393957001744,0.0,0.9767325410602217,0.9767325410602217,0.8897369621407937,0.023267458939778343,0.09047131914468924,2,4,0.6618556701030928,0.8514588859416445,0.7447795823665894,0.6165020337013364,0.28588030214991283,0.09761766414875073,1.0,1.0,0.7474238379201078,0.0,0.2525761620798922,0,3,0.6571760604299826,1.0,0.7931276297335204,0.6571760604299826,0.34282393957001744,0.0
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+86,3,1,1562,13619,0.0,0.0,,1.0,0.0,3,0,,0.0,0.0,0.39436619718309857,0.0,0.6056338028169014,0.5462221895880754,0.5462221895880754,0.8453409090909091,0.4537778104119245,0.02831346605920656,3,1,0.7151335311572701,0.2547568710359408,0.37568199532346064,0.4871959026888604,0.06145966709346991,0.4513444302176697,0.0,0.0,,1.0,0.0,3,0,,0.0,0.0,0.39436619718309857,0.0,0.6056338028169014
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+86,3,3,4592,11818,0.0,0.0,,1.0,0.0,3,0,,0.0,0.0,0.4017857142857143,0.0,0.5982142857142857,0.5895244542223727,0.5895244542223727,0.8721832749123686,0.41047554577762735,0.023207710142292132,4,1,0.7137137137137137,0.25955587914088096,0.3806727175654031,0.49477351916376305,0.062282229965156796,0.44294425087108014,0.0,0.0,,1.0,0.0,3,0,,0.0,0.0,0.4017857142857143,0.0,0.5982142857142857
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+86,3,5,7522,10123,0.0,0.0,,1.0,0.0,3,0,,0.0,0.0,0.4094655676681734,0.0,0.5905344323318267,0.6418057887977873,0.6418057887977873,0.9031137058659995,0.3581942112022128,0.01739065345941765,4,2,0.7135102533172497,0.2663214768122467,0.38786885245901637,0.5035894708854028,0.06314809890986439,0.43326243020473276,0.0,0.0,,1.0,0.0,3,0,,0.0,0.0,0.4094655676681734,0.0,0.5905344323318267
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+87,0,1,1083,44813,1.0,1.0,0.91544778558588,0.0,0.08455221441411996,0,1,0.8457987072945522,1.0,0.9164582291145573,0.8457987072945522,0.15420129270544783,0.0,1.0,1.0,0.91544778558588,0.0,0.08455221441411996,0,1,0.8457987072945522,1.0,0.9164582291145573,0.8457987072945522,0.15420129270544783,0.0,1.0,1.0,0.91544778558588,0.0,0.08455221441411996,0,1,0.8457987072945522,1.0,0.9164582291145573,0.8457987072945522,0.15420129270544783,0.0
