index,official_local_q,exact_local_q,local_q_gain,class0_choice_index,class0_choice,class1_choice_index,class1_choice,class2_choice_index,class2_choice,class3_choice_index,class3_choice
2272,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2273,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2274,0.8314931392669678,0.8315097093582153,1.6570091247558594e-05,0,official_fusion,4,camdeep,0,official_fusion,0,official_fusion
2275,0.5259462594985962,0.6415159702301025,0.11556971073150635,0,official_fusion,3,cam28_2,1,cam56,0,official_fusion
2276,0.8077350854873657,0.8646748065948486,0.05693972110748291,3,cam28_2,4,camdeep,0,official_fusion,0,official_fusion
2277,0.647930383682251,0.8554863333702087,0.20755594968795776,1,cam56,3,cam28_2,0,official_fusion,0,official_fusion
2278,0.5902025103569031,0.8338050246238708,0.24360251426696777,1,cam56,4,camdeep,0,official_fusion,0,official_fusion
2279,0.31595781445503235,0.31595781445503235,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2280,0.9851124286651611,0.9851124286651611,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2281,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2282,0.26555192470550537,0.28316327929496765,0.01761135458946228,0,official_fusion,2,cam28_1,0,official_fusion,2,cam28_1
2283,0.42749521136283875,0.4286474585533142,0.0011522471904754639,0,official_fusion,0,official_fusion,0,official_fusion,1,cam56
2284,0.5868127346038818,0.6073331236839294,0.020520389080047607,2,cam28_1,4,camdeep,0,official_fusion,0,official_fusion
2285,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2286,0.8277666568756104,0.8769441246986389,0.049177467823028564,1,cam56,4,camdeep,0,official_fusion,0,official_fusion
2287,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2288,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2289,0.4857501685619354,0.4857501685619354,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2290,0.6392150521278381,0.6903641223907471,0.051149070262908936,0,official_fusion,2,cam28_1,1,cam56,0,official_fusion
2291,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2292,0.1436842381954193,0.15342117846012115,0.009736940264701843,0,official_fusion,4,camdeep,0,official_fusion,0,official_fusion
2293,0.34287309646606445,0.34287309646606445,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2294,0.19721972942352295,0.2209528684616089,0.023733139038085938,0,official_fusion,4,camdeep,0,official_fusion,0,official_fusion
2295,0.2991175949573517,0.3252573013305664,0.02613970637321472,1,cam56,3,cam28_2,0,official_fusion,0,official_fusion
2296,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2297,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2298,0.18820418417453766,0.18820418417453766,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2299,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2300,0.38709956407546997,0.38709956407546997,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2301,0.823262095451355,0.8235247135162354,0.0002626180648803711,0,official_fusion,2,cam28_1,0,official_fusion,0,official_fusion
2302,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2303,0.9958346486091614,0.9958346486091614,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2304,0.4860808551311493,0.6794424653053284,0.19336161017417908,1,cam56,0,official_fusion,0,official_fusion,0,official_fusion
2305,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2306,0.3924403488636017,0.5992929935455322,0.20685264468193054,1,cam56,1,cam56,0,official_fusion,0,official_fusion
2307,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2308,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2309,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2310,0.4311004877090454,0.5109717845916748,0.0798712968826294,1,cam56,4,camdeep,0,official_fusion,0,official_fusion
2311,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2312,0.20119179785251617,0.31357941031455994,0.11238761246204376,0,official_fusion,0,official_fusion,1,cam56,0,official_fusion
2313,0.3724988102912903,0.3724988102912903,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2314,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2315,0.23762288689613342,0.3606277406215668,0.12300485372543335,0,official_fusion,3,cam28_2,4,camdeep,0,official_fusion
2316,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2317,0.46850088238716125,0.47278451919555664,0.004283636808395386,0,official_fusion,2,cam28_1,0,official_fusion,0,official_fusion
2318,0.39592790603637695,0.5036399364471436,0.1077120304107666,0,official_fusion,1,cam56,1,cam56,0,official_fusion
2319,0.4166513681411743,0.42065930366516113,0.004007935523986816,2,cam28_1,0,official_fusion,0,official_fusion,3,cam28_2
2320,0.9250268936157227,0.9250268936157227,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2321,0.3049381971359253,0.3137301802635193,0.008791983127593994,0,official_fusion,4,camdeep,3,cam28_2,0,official_fusion
2322,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2323,0.4974190890789032,0.4974190890789032,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2324,0.9659199714660645,0.9659199714660645,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2325,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2326,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2327,0.9879424571990967,0.9879424571990967,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2328,0.23389826714992523,0.3041146695613861,0.07021640241146088,0,official_fusion,3,cam28_2,3,cam28_2,0,official_fusion
2329,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2330,0.19042304158210754,0.19042304158210754,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2331,0.43963250517845154,0.4615539610385895,0.02192145586013794,0,official_fusion,1,cam56,0,official_fusion,0,official_fusion
2332,0.4442861080169678,0.4442861080169678,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2333,0.49605390429496765,0.5027903914451599,0.006736487150192261,0,official_fusion,1,cam56,0,official_fusion,0,official_fusion
2334,0.49286511540412903,0.49286511540412903,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2335,0.9884606003761292,0.9884606003761292,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2336,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2337,0.6505687832832336,0.7034063935279846,0.05283761024475098,2,cam28_1,2,cam28_1,0,official_fusion,0,official_fusion
2338,0.48732462525367737,0.4874800741672516,0.00015544891357421875,0,official_fusion,3,cam28_2,0,official_fusion,0,official_fusion
2339,0.5511022210121155,0.6137783527374268,0.06267613172531128,0,official_fusion,0,official_fusion,1,cam56,0,official_fusion
2340,0.6993647813796997,0.731865644454956,0.03250086307525635,0,official_fusion,0,official_fusion,3,cam28_2,0,official_fusion
2341,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2342,0.2639409303665161,0.26394617557525635,5.245208740234375e-06,0,official_fusion,2,cam28_1,0,official_fusion,0,official_fusion
2343,0.276428759098053,0.30707797408103943,0.03064921498298645,0,official_fusion,1,cam56,2,cam28_1,0,official_fusion
