signal_set,signal,scope,scope_id,branch,samples,spearman_relative_utility,spearman_absolute_utility
A,pred_class0_mean_component_size,fold,4,all,2764,0.04444937902491143,0.15100779998625327
A,pred_class0_mean_component_size,branch,0,cam56,3418,0.1787545750423953,0.03937719935196815
A,pred_class0_mean_component_size,branch,1,cam28_1,3418,0.1610256544913567,0.1078677970606029
A,pred_class0_mean_component_size,branch,2,cam28_2,3418,0.10662010784896732,0.07786348115708079
A,pred_class0_mean_component_size,branch,3,camdeep,3418,0.18287731642939614,0.06250346969519346
A,pred_class0_boundary_density,all,-1,all,13672,-0.24153120307829043,-0.22053737789500727
A,pred_class0_boundary_density,fold,0,all,2748,-0.31633468905616124,-0.0742815425688595
A,pred_class0_boundary_density,fold,1,all,2744,-0.3423567842903375,-0.07642383509790802
A,pred_class0_boundary_density,fold,2,all,2692,-0.18478652479592217,-0.3799052847344241
A,pred_class0_boundary_density,fold,3,all,2724,-0.30940249001820436,-0.3415641242092022
A,pred_class0_boundary_density,fold,4,all,2764,-0.09591294954313856,-0.18671713246889127
A,pred_class0_boundary_density,branch,0,cam56,3418,-0.3027796246835826,-0.299232922980335
A,pred_class0_boundary_density,branch,1,cam28_1,3418,-0.04577496606038596,-0.15154765348871468
A,pred_class0_boundary_density,branch,2,cam28_2,3418,-0.2650892530488988,-0.1952783121468097
A,pred_class0_boundary_density,branch,3,camdeep,3418,-0.30418360331068894,-0.23059010905709693
A,pred_class0_argmax_presence,all,-1,all,13672,0.03946510069924047,0.11245354591262026
A,pred_class0_argmax_presence,fold,0,all,2748,-0.03198722430346492,0.08365771064325081
A,pred_class0_argmax_presence,fold,1,all,2744,0.0836269016785913,0.12583081013803427
A,pred_class0_argmax_presence,fold,2,all,2692,0.03933357563367894,0.026658636885101682
A,pred_class0_argmax_presence,fold,3,all,2724,0.05460195959326015,0.17333135468928496
A,pred_class0_argmax_presence,fold,4,all,2764,0.07828784887630037,0.088071572321175
A,pred_class0_argmax_presence,branch,0,cam56,3418,0.062494710243141696,0.0899341949009925
A,pred_class0_argmax_presence,branch,1,cam28_1,3418,0.09233742971231945,0.14591436239520517
A,pred_class0_argmax_presence,branch,2,cam28_2,3418,0.0014958706392292004,0.12061692265064722
A,pred_class0_argmax_presence,branch,3,camdeep,3418,0.06077321932762079,0.10139326272484601
A,cam_class1_mean,all,-1,all,13672,-0.1055869433946365,-0.1031431748346537
A,cam_class1_mean,fold,0,all,2748,-0.0730191236424396,-0.15026751740778277
A,cam_class1_mean,fold,1,all,2744,-0.07374494252249043,0.26111759541475954
A,cam_class1_mean,fold,2,all,2692,-0.1053688141294383,-0.34505020414066445
A,cam_class1_mean,fold,3,all,2724,-0.17106085079383263,-0.17676426443780524
A,cam_class1_mean,fold,4,all,2764,-0.01939636226348349,-0.11381424811830251
A,cam_class1_mean,branch,0,cam56,3418,-0.11042578403478207,-0.0027279221461423116
A,cam_class1_mean,branch,1,cam28_1,3418,-0.09809079614568827,-0.08909882454989711
A,cam_class1_mean,branch,2,cam28_2,3418,-0.16207160135795515,-0.12707189575757435
A,cam_class1_mean,branch,3,camdeep,3418,-0.15752154234258736,-0.1278001023470305
A,cam_class1_std,all,-1,all,13672,-0.07547076835136472,-0.2050641160556217
A,cam_class1_std,fold,0,all,2748,-0.08063781770409978,-0.20502273291716175
A,cam_class1_std,fold,1,all,2744,-0.08896990928130982,-0.01394933266251979
A,cam_class1_std,fold,2,all,2692,-0.0700251381822552,-0.356051199721463
A,cam_class1_std,fold,3,all,2724,-0.09398187403906477,-0.3134813620260886
A,cam_class1_std,fold,4,all,2764,-0.009804988902043711,-0.11600724596173699
A,cam_class1_std,branch,0,cam56,3418,-0.11039563712651015,-0.1426705941701112
A,cam_class1_std,branch,1,cam28_1,3418,0.028724185386691515,-0.2533020617706149
A,cam_class1_std,branch,2,cam28_2,3418,-0.0881687392617743,-0.27799402459729305
A,cam_class1_std,branch,3,camdeep,3418,-0.13554113639142698,-0.15913533108574482
A,cam_class1_max,all,-1,all,13672,-0.031489288128997026,-0.09870510552655531
A,cam_class1_max,fold,0,all,2748,-0.029712827875579294,-0.09976395778968651
A,cam_class1_max,fold,1,all,2744,-0.013441164010888032,-0.03197398971914374
A,cam_class1_max,fold,2,all,2692,-0.0358826818934403,-0.16055109763874217
A,cam_class1_max,fold,3,all,2724,-0.024118859919502144,-0.07250838139911543
A,cam_class1_max,fold,4,all,2764,-0.012015740157479797,-0.05137696177743427
A,cam_class1_max,branch,0,cam56,3418,0.0,0.0
A,cam_class1_max,branch,1,cam28_1,3418,-0.004125627042137637,-0.02622130880120032
A,cam_class1_max,branch,2,cam28_2,3418,-0.059546322248848066,-0.1881213319514224
A,cam_class1_max,branch,3,camdeep,3418,-0.02038131053592349,-0.058665886038755805
A,cam_class1_p90,all,-1,all,13672,-0.09206052882908262,-0.11659691404743763
A,cam_class1_p90,fold,0,all,2748,-0.06729142940534265,-0.1629993502534922
A,cam_class1_p90,fold,1,all,2744,-0.08011404684707014,0.21149190013177208
A,cam_class1_p90,fold,2,all,2692,-0.09259208176355473,-0.332074552074912
A,cam_class1_p90,fold,3,all,2724,-0.1385747813435579,-0.20940481674402872
A,cam_class1_p90,fold,4,all,2764,-0.010655471643710454,-0.09707447592948378
A,cam_class1_p90,branch,0,cam56,3418,-0.10381099608893564,0.0024334192776488224
A,cam_class1_p90,branch,1,cam28_1,3418,-0.06307641991212405,-0.11954099254894231
A,cam_class1_p90,branch,2,cam28_2,3418,-0.1422484269033674,-0.1678953190159611
A,cam_class1_p90,branch,3,camdeep,3418,-0.14281124341557455,-0.14464569406562502
A,cam_class1_p95,all,-1,all,13672,-0.08826000718621303,-0.11800112037939287
A,cam_class1_p95,fold,0,all,2748,-0.0619818340151299,-0.1603508526437276
A,cam_class1_p95,fold,1,all,2744,-0.08888849229264492,0.18460925898295982
A,cam_class1_p95,fold,2,all,2692,-0.08288434755086287,-0.3265194643846834
A,cam_class1_p95,fold,3,all,2724,-0.12839453512386706,-0.21500490770597613
A,cam_class1_p95,fold,4,all,2764,-0.014616135523691795,-0.08368112587437931
A,cam_class1_p95,branch,0,cam56,3418,-0.09441722374675235,0.011163329929707283
A,cam_class1_p95,branch,1,cam28_1,3418,-0.05082815018436927,-0.13119082796820028
A,cam_class1_p95,branch,2,cam28_2,3418,-0.1396603618528918,-0.18652232367380608
A,cam_class1_p95,branch,3,camdeep,3418,-0.1389735199187424,-0.1412382417377523
A,cam_class1_p99,all,-1,all,13672,-0.08213650365769595,-0.11975685343823965
A,cam_class1_p99,fold,0,all,2748,-0.022021737387559998,-0.1474815325635142
A,cam_class1_p99,fold,1,all,2744,-0.08435232977198133,0.12162489803069576
A,cam_class1_p99,fold,2,all,2692,-0.08817008697230169,-0.29921314616928907
A,cam_class1_p99,fold,3,all,2724,-0.09901280535123876,-0.21899411476578842
A,cam_class1_p99,fold,4,all,2764,-0.05737486896117246,-0.05463145243368329
A,cam_class1_p99,branch,0,cam56,3418,-0.08385021848923559,0.03741223786234891
A,cam_class1_p99,branch,1,cam28_1,3418,-0.040076077107513444,-0.15753073849200191
A,cam_class1_p99,branch,2,cam28_2,3418,-0.11102647680700602,-0.23357903749556783
A,cam_class1_p99,branch,3,camdeep,3418,-0.12815185281375138,-0.14032499451595226
A,cam_class1_spatial_entropy,all,-1,all,13672,-0.1140057320714069,-0.09709010468367438
A,cam_class1_spatial_entropy,fold,0,all,2748,-0.07847362282026014,-0.14513434943330555
A,cam_class1_spatial_entropy,fold,1,all,2744,-0.06996739433738687,0.28634506200931065
A,cam_class1_spatial_entropy,fold,2,all,2692,-0.10941380356629796,-0.35776732122574845
A,cam_class1_spatial_entropy,fold,3,all,2724,-0.19285246454239005,-0.15196429578524828
A,cam_class1_spatial_entropy,fold,4,all,2764,-0.027063999353395863,-0.12821612910853916
A,cam_class1_spatial_entropy,branch,0,cam56,3418,-0.1167618619014587,-0.010494414082186466
A,cam_class1_spatial_entropy,branch,1,cam28_1,3418,-0.1258247057441836,-0.07936124067285354
A,cam_class1_spatial_entropy,branch,2,cam28_2,3418,-0.16088852367712303,-0.11880296185493258
A,cam_class1_spatial_entropy,branch,3,camdeep,3418,-0.15236769514365434,-0.1314060081980853
A,cam_class1_top10_mass_ratio,all,-1,all,13672,0.10465759935633075,0.09173721439556005
A,cam_class1_top10_mass_ratio,fold,0,all,2748,0.07503993681485098,0.13637029218512803
A,cam_class1_top10_mass_ratio,fold,1,all,2744,0.06480783757860263,-0.26633909193124905
A,cam_class1_top10_mass_ratio,fold,2,all,2692,0.10247098850283194,0.32370855186489855
A,cam_class1_top10_mass_ratio,fold,3,all,2724,0.17917501492501928,0.15792358123852623
A,cam_class1_top10_mass_ratio,fold,4,all,2764,0.016692368481800064,0.11598297066775576
A,cam_class1_top10_mass_ratio,branch,0,cam56,3418,0.1142142189809133,0.015184513869435803
A,cam_class1_top10_mass_ratio,branch,1,cam28_1,3418,0.11251935955063433,0.07968824127509183
A,cam_class1_top10_mass_ratio,branch,2,cam28_2,3418,0.14780672291308058,0.07563109328263982
A,cam_class1_top10_mass_ratio,branch,3,camdeep,3418,0.15221444603226622,0.13241179461427172
A,cam_class1_top20_mass_ratio,all,-1,all,13672,0.10766614656486424,0.09175015754421939
A,cam_class1_top20_mass_ratio,fold,0,all,2748,0.07539146366647798,0.13514917198612064
A,cam_class1_top20_mass_ratio,fold,1,all,2744,0.06657652116330935,-0.2678207552089021
A,cam_class1_top20_mass_ratio,fold,2,all,2692,0.1025165854159849,0.3281509119960414
A,cam_class1_top20_mass_ratio,fold,3,all,2724,0.18587061610804148,0.15456720276199212
A,cam_class1_top20_mass_ratio,fold,4,all,2764,0.02178876320270187,0.12001993024626405
A,cam_class1_top20_mass_ratio,branch,0,cam56,3418,0.1139909697044819,0.014898068499889809
A,cam_class1_top20_mass_ratio,branch,1,cam28_1,3418,0.11641620428215636,0.08052109349663637
