signal_set,signal,scope,scope_id,branch,samples,positive_fraction,auroc_relative_gain_positive
A,cam_class0_p90,branch,0,cam56,3418,0.22440023405500292,0.3995872261924727
A,cam_class0_p90,branch,1,cam28_1,3418,0.2864248098303101,0.42457809154189596
A,cam_class0_p90,branch,2,cam28_2,3418,0.2393212404915155,0.39515939439533576
A,cam_class0_p90,branch,3,camdeep,3418,0.21181977764774723,0.3985337274975698
A,cam_class0_p95,all,-1,all,13672,0.24049151550614395,0.435226754313205
A,cam_class0_p95,fold,0,all,2748,0.23071324599708878,0.35734841181965504
A,cam_class0_p95,fold,1,all,2744,0.20298833819241982,0.5608922973109423
A,cam_class0_p95,fold,2,all,2692,0.23068350668647847,0.3794004467802045
A,cam_class0_p95,fold,3,all,2724,0.19823788546255505,0.37228666395333054
A,cam_class0_p95,fold,4,all,2764,0.3386396526772793,0.4996461150386205
A,cam_class0_p95,branch,0,cam56,3418,0.22440023405500292,0.4093714851152084
A,cam_class0_p95,branch,1,cam28_1,3418,0.2864248098303101,0.4358456659132475
A,cam_class0_p95,branch,2,cam28_2,3418,0.2393212404915155,0.41836420914049277
A,cam_class0_p95,branch,3,camdeep,3418,0.21181977764774723,0.42135300668151443
A,cam_class0_p99,all,-1,all,13672,0.24049151550614395,0.45504452327462425
A,cam_class0_p99,fold,0,all,2748,0.23071324599708878,0.3857205530801118
A,cam_class0_p99,fold,1,all,2744,0.20298833819241982,0.5730233081231596
A,cam_class0_p99,fold,2,all,2692,0.23068350668647847,0.4143901947840394
A,cam_class0_p99,fold,3,all,2724,0.19823788546255505,0.3790390550807218
A,cam_class0_p99,fold,4,all,2764,0.3386396526772793,0.5101399292113187
A,cam_class0_p99,branch,0,cam56,3418,0.22440023405500292,0.4320698641677613
A,cam_class0_p99,branch,1,cam28_1,3418,0.2864248098303101,0.4503987174703208
A,cam_class0_p99,branch,2,cam28_2,3418,0.2393212404915155,0.4435438217039684
A,cam_class0_p99,branch,3,camdeep,3418,0.21181977764774723,0.4627625539873752
A,cam_class0_spatial_entropy,all,-1,all,13672,0.24049151550614395,0.38143280100116594
A,cam_class0_spatial_entropy,fold,0,all,2748,0.23071324599708878,0.31509629359922886
A,cam_class0_spatial_entropy,fold,1,all,2744,0.20298833819241982,0.5009793467026882
A,cam_class0_spatial_entropy,fold,2,all,2692,0.23068350668647847,0.3137270224268734
A,cam_class0_spatial_entropy,fold,3,all,2724,0.19823788546255505,0.31315289648622985
A,cam_class0_spatial_entropy,fold,4,all,2764,0.3386396526772793,0.4564356215751183
A,cam_class0_spatial_entropy,branch,0,cam56,3418,0.22440023405500292,0.37849730268325105
A,cam_class0_spatial_entropy,branch,1,cam28_1,3418,0.2864248098303101,0.39466956978047824
A,cam_class0_spatial_entropy,branch,2,cam28_2,3418,0.2393212404915155,0.3453481756629678
A,cam_class0_spatial_entropy,branch,3,camdeep,3418,0.21181977764774723,0.3622668237581365
A,cam_class0_top10_mass_ratio,all,-1,all,13672,0.24049151550614395,0.6067334753026367
A,cam_class0_top10_mass_ratio,fold,0,all,2748,0.23071324599708878,0.6606213943993624
A,cam_class0_top10_mass_ratio,fold,1,all,2744,0.20298833819241982,0.5089150923647898
A,cam_class0_top10_mass_ratio,fold,2,all,2692,0.23068350668647847,0.6746054517137589
A,cam_class0_top10_mass_ratio,fold,3,all,2724,0.19823788546255505,0.6484313525980193
A,cam_class0_top10_mass_ratio,fold,4,all,2764,0.3386396526772793,0.5375933367932821
A,cam_class0_top10_mass_ratio,branch,0,cam56,3418,0.22440023405500292,0.6202699824965808
A,cam_class0_top10_mass_ratio,branch,1,cam28_1,3418,0.2864248098303101,0.6075906877557028
A,cam_class0_top10_mass_ratio,branch,2,cam28_2,3418,0.2393212404915155,0.6282186853488809
A,cam_class0_top10_mass_ratio,branch,3,camdeep,3418,0.21181977764774723,0.6334782737985374
A,cam_class0_top20_mass_ratio,all,-1,all,13672,0.24049151550614395,0.6108637856200255
A,cam_class0_top20_mass_ratio,fold,0,all,2748,0.23071324599708878,0.6618189089411435
A,cam_class0_top20_mass_ratio,fold,1,all,2744,0.20298833819241982,0.5155796574995547
A,cam_class0_top20_mass_ratio,fold,2,all,2692,0.23068350668647847,0.6788532071214245
A,cam_class0_top20_mass_ratio,fold,3,all,2724,0.19823788546255505,0.6532873762040429
A,cam_class0_top20_mass_ratio,fold,4,all,2764,0.3386396526772793,0.5417633932746078
A,cam_class0_top20_mass_ratio,branch,0,cam56,3418,0.22440023405500292,0.621201711292435
A,cam_class0_top20_mass_ratio,branch,1,cam28_1,3418,0.2864248098303101,0.6113008270021414
A,cam_class0_top20_mass_ratio,branch,2,cam28_2,3418,0.2393212404915155,0.6316663532066955
A,cam_class0_top20_mass_ratio,branch,3,camdeep,3418,0.21181977764774723,0.633812554602616
A,pred_class0_area_fraction,all,-1,all,13672,0.24049151550614395,0.3472292466840245
A,pred_class0_area_fraction,fold,0,all,2748,0.23071324599708878,0.27375965845840705
A,pred_class0_area_fraction,fold,1,all,2744,0.20298833819241982,0.45707990500419077
A,pred_class0_area_fraction,fold,2,all,2692,0.23068350668647847,0.28127597502820567
A,pred_class0_area_fraction,fold,3,all,2724,0.19823788546255505,0.3275708859042193
A,pred_class0_area_fraction,fold,4,all,2764,0.3386396526772793,0.3994583894406104
A,pred_class0_area_fraction,branch,0,cam56,3418,0.22440023405500292,0.35691803098090463
A,pred_class0_area_fraction,branch,1,cam28_1,3418,0.2864248098303101,0.35790677620770084
A,pred_class0_area_fraction,branch,2,cam28_2,3418,0.2393212404915155,0.3231747225879255
A,pred_class0_area_fraction,branch,3,camdeep,3418,0.21181977764774723,0.35502262035134347
A,pred_class0_component_count,all,-1,all,13672,0.24049151550614395,0.5495582907120818
A,pred_class0_component_count,fold,0,all,2748,0.23071324599708878,0.4525120199123166
A,pred_class0_component_count,fold,1,all,2744,0.20298833819241982,0.5874935045425105
A,pred_class0_component_count,fold,2,all,2692,0.23068350668647847,0.5797634070994976
A,pred_class0_component_count,fold,3,all,2724,0.19823788546255505,0.5491923585673586
A,pred_class0_component_count,fold,4,all,2764,0.3386396526772793,0.5617910611756345
A,pred_class0_component_count,branch,0,cam56,3418,0.22440023405500292,0.6164198696022312
A,pred_class0_component_count,branch,1,cam28_1,3418,0.2864248098303101,0.543473626768954
A,pred_class0_component_count,branch,2,cam28_2,3418,0.2393212404915155,0.48430576452886975
A,pred_class0_component_count,branch,3,camdeep,3418,0.21181977764774723,0.5748832580688824
A,pred_class0_largest_component_ratio,all,-1,all,13672,0.24049151550614395,0.3775317790752384
A,pred_class0_largest_component_ratio,fold,0,all,2748,0.23071324599708878,0.3608603750272332
A,pred_class0_largest_component_ratio,fold,1,all,2744,0.20298833819241982,0.39704997459280755
A,pred_class0_largest_component_ratio,fold,2,all,2692,0.23068350668647847,0.3585613304190761
A,pred_class0_largest_component_ratio,fold,3,all,2724,0.19823788546255505,0.37230362230362235
A,pred_class0_largest_component_ratio,fold,4,all,2764,0.3386396526772793,0.4256093484074885
A,pred_class0_largest_component_ratio,branch,0,cam56,3418,0.22440023405500292,0.3482191906131705
A,pred_class0_largest_component_ratio,branch,1,cam28_1,3418,0.2864248098303101,0.3889749520579986
A,pred_class0_largest_component_ratio,branch,2,cam28_2,3418,0.2393212404915155,0.3965720801203686
A,pred_class0_largest_component_ratio,branch,3,camdeep,3418,0.21181977764774723,0.3632094238475516
A,pred_class0_mean_component_size,all,-1,all,13672,0.24049151550614395,0.35166514305650837
A,pred_class0_mean_component_size,fold,0,all,2748,0.23071324599708878,0.28126408292023436
