replicate,sampling_unit,sampled_slides,delta_mIoU
340,source_slide,22,-0.766162768780132
341,source_slide,22,-0.43729758728843215
342,source_slide,22,-0.5313550912372511
343,source_slide,22,-0.8174005106917681
344,source_slide,22,-0.8303212086986256
345,source_slide,22,-0.4944419963226254
346,source_slide,22,-0.6651622293446513
347,source_slide,22,-0.6525347150325489
348,source_slide,22,-0.6368926327729563
349,source_slide,22,-0.6830611509993312
350,source_slide,22,-0.8004344980958256
351,source_slide,22,-0.955800145749941
352,source_slide,22,-0.6054258239853172
353,source_slide,22,-0.6726798075837204
354,source_slide,22,-0.7894454685954622
355,source_slide,22,-0.8027915413608033
356,source_slide,22,-0.6014546287689604
357,source_slide,22,-0.5967770135791306
358,source_slide,22,-0.49583997111257716
359,source_slide,22,-0.8531681573181737
360,source_slide,22,-0.730820538335708
361,source_slide,22,-0.6175005518492926
362,source_slide,22,-0.6834791919185346
363,source_slide,22,-0.9715437251131664
364,source_slide,22,-0.6424376402637821
365,source_slide,22,-0.8866602765150278
366,source_slide,22,-0.6819657357324371
367,source_slide,22,-0.8135676029354277
368,source_slide,22,-0.9732362656911908
369,source_slide,22,-0.4882822437266121
370,source_slide,22,-0.6587239048052473
371,source_slide,22,-0.7347203103629352
372,source_slide,22,-0.6416282823878183
373,source_slide,22,-0.34947366157697113
374,source_slide,22,-0.7920753453575125
375,source_slide,22,-0.5335461580341594
376,source_slide,22,-0.9197800257747635
377,source_slide,22,-0.6836872957899254
378,source_slide,22,-0.6941204937881307
379,source_slide,22,-0.564664394215586
380,source_slide,22,-0.5293371340044262
381,source_slide,22,-0.5319321600281923
382,source_slide,22,-0.7882623017189005
383,source_slide,22,-0.5389646171172768
384,source_slide,22,-0.8075275568116047
385,source_slide,22,-0.7373590888260284
386,source_slide,22,-0.524643456001761
387,source_slide,22,-0.8014955103249344
388,source_slide,22,-0.8182660803420561
389,source_slide,22,-0.4984696662679533
390,source_slide,22,-1.0362580230529161
391,source_slide,22,-0.6293808002160395
392,source_slide,22,-0.7675217153384706
393,source_slide,22,-0.7642767395307448
394,source_slide,22,-0.7971553371229456
395,source_slide,22,-0.5838217357468478
396,source_slide,22,-0.8550209863196545
397,source_slide,22,-0.5868745703271228
398,source_slide,22,-0.4667937954875079
399,source_slide,22,-0.7994199144084613
400,source_slide,22,-0.5093806898224473
401,source_slide,22,-0.6789178320503964
402,source_slide,22,-0.46022643674596964
403,source_slide,22,-0.3773624462099834
404,source_slide,22,-0.6774290803132521
405,source_slide,22,-0.45484196474459004
406,source_slide,22,-0.7198551401900399
407,source_slide,22,-0.8434287971492704
408,source_slide,22,-0.8081284632566299
409,source_slide,22,-0.9065733057236791
410,source_slide,22,-0.9658286725303111
411,source_slide,22,-0.7347425254248696
412,source_slide,22,-0.6582502215298658
413,source_slide,22,-0.5311840711705429
414,source_slide,22,-0.6702183715550647
415,source_slide,22,-0.8408288883151815
416,source_slide,22,-0.5055744746659263
417,source_slide,22,-0.43259315102408546
418,source_slide,22,-0.6699723571139349
419,source_slide,22,-0.8383854139489499
420,source_slide,22,-0.8043983500913843
421,source_slide,22,-0.8618322873438444
422,source_slide,22,-0.46758106951388934
423,source_slide,22,-1.0032295739071384
424,source_slide,22,-0.6599787720377392
425,source_slide,22,-0.730283619259442
426,source_slide,22,-0.5256020956473595
427,source_slide,22,-0.5380330013608381
428,source_slide,22,-0.7716643334729545
429,source_slide,22,-0.681901682725583
430,source_slide,22,-0.7333154953087728
431,source_slide,22,-0.714649062001238
432,source_slide,22,-0.8613566607525103
433,source_slide,22,-0.6081464081447829
434,source_slide,22,-1.0099771975098593
435,source_slide,22,-0.5026140696352766
436,source_slide,22,-1.0233398684036055
437,source_slide,22,-0.8801397104579278
438,source_slide,22,-0.46804682752024096
439,source_slide,22,-0.6679581657028644
440,source_slide,22,-0.7062864279576808
441,source_slide,22,-0.8439306278603453
442,source_slide,22,-0.6718795125445154
443,source_slide,22,-0.6084141676225729
444,source_slide,22,-0.7513975571568743
445,source_slide,22,-0.6707800608101055
446,source_slide,22,-0.872099382589675
447,source_slide,22,-0.6204570811095267
448,source_slide,22,-0.6368190716336652
449,source_slide,22,-0.7096652712380136
450,source_slide,22,-0.7009733281092445
451,source_slide,22,-0.733560574303127
452,source_slide,22,-0.5770929261771807
453,source_slide,22,-0.7031089932411305
454,source_slide,22,-0.9953461709510614
455,source_slide,22,-0.28749640904296436
456,source_slide,22,-0.4846482708778854
457,source_slide,22,-0.7916948682372693
458,source_slide,22,-0.843109325939706
459,source_slide,22,-0.8075221918987685
460,source_slide,22,-0.6489132065265468
461,source_slide,22,-0.7441881988278332
462,source_slide,22,-0.5238707131963949
463,source_slide,22,-0.9310715354304389
464,source_slide,22,-0.9724168940326239
465,source_slide,22,-0.6802055610669155
466,source_slide,22,-0.973356521002855
467,source_slide,22,-0.44978458188095205
468,source_slide,22,-0.8116383198831234
469,source_slide,22,-0.5861117891953316
470,source_slide,22,-0.7043276687781819
471,source_slide,22,-0.7641565679746609
472,source_slide,22,-0.4707991830260383
473,source_slide,22,-1.1109223942814994
474,source_slide,22,-0.8240485708072787
475,source_slide,22,-0.8388197958907662
476,source_slide,22,-0.9189063933755404
477,source_slide,22,-0.647004944113061
478,source_slide,22,-0.7205226792972641
479,source_slide,22,-0.6546850237947655
480,source_slide,22,-0.7585977087986806
481,source_slide,22,-0.7495824796471817
482,source_slide,22,-0.6582215905490352
483,source_slide,22,-0.7807573291176095
484,source_slide,22,-0.8619248489608933
485,source_slide,22,-0.7584917342896458
486,source_slide,22,-0.7515804035431728
487,source_slide,22,-0.8390377538669447
488,source_slide,22,-0.743571821119382
489,source_slide,22,-0.5644587017592073
490,source_slide,22,-0.9233149908987492
491,source_slide,22,-0.6815615514571327
492,source_slide,22,-0.6536721184150052
493,source_slide,22,-0.9060963209529094
494,source_slide,22,-0.5561703181648503
495,source_slide,22,-0.750813052029009
496,source_slide,22,-0.5687607725071153
497,source_slide,22,-0.7776302555235426
498,source_slide,22,-1.0420194809925953
499,source_slide,22,-0.6298830409231626
500,source_slide,22,-0.5865743821378833
501,source_slide,22,-0.5711449119385259
502,source_slide,22,-0.6800856880531336
503,source_slide,22,-0.907149749324776
504,source_slide,22,-0.5490216074145016
505,source_slide,22,-0.4423903784226413
506,source_slide,22,-0.665244323084635
507,source_slide,22,-0.6683430573656168
508,source_slide,22,-0.8123698174339444
509,source_slide,22,-0.48217575176277006
510,source_slide,22,-0.9159123845974615
511,source_slide,22,-0.7209120667619251
512,source_slide,22,-0.8474659665114848
513,source_slide,22,-0.6575706666650749
514,source_slide,22,-0.6457192631025621
515,source_slide,22,-0.6029650068135828
516,source_slide,22,-0.5967683325666218
517,source_slide,22,-0.8687892899893579
518,source_slide,22,-0.9096979567856045
519,source_slide,22,-0.6902017220991263
520,source_slide,22,-0.691553880750051
521,source_slide,22,-0.8855797146072875
522,source_slide,22,-0.7324478787582356
523,source_slide,22,-0.49965487762569927
524,source_slide,22,-0.6996620246190632
525,source_slide,22,-0.7021490196211677
526,source_slide,22,-0.7952539877737808
527,source_slide,22,-0.6930765110405801
