source_group,patches,candidate,candidate_index,mIoU,mDice,selected
TCGA-LL-A5YO-DX1,96,cam28_2,3,52.59610959075217,51.418196755031744,False
TCGA-LL-A5YO-DX1,96,camdeep,4,50.34708648368341,49.96045034019122,False
TCGA-HN-A2NL-DX1,48,official_fusion,0,35.622422893690285,47.36079158379019,True
TCGA-HN-A2NL-DX1,48,cam56,1,31.32213278453515,43.15133020492598,False
TCGA-HN-A2NL-DX1,48,cam28_1,2,35.29133185959955,46.987935457085676,False
TCGA-HN-A2NL-DX1,48,cam28_2,3,34.09442640490911,46.052597253928255,False
TCGA-HN-A2NL-DX1,48,camdeep,4,32.70735517947565,44.58614082385515,False
TCGA-OL-A5RW-DX1,12,official_fusion,0,68.48223554759328,60.58092337375389,False
TCGA-OL-A5RW-DX1,12,cam56,1,70.28121202069961,61.61926585751316,True
TCGA-OL-A5RW-DX1,12,cam28_1,2,68.48491200826284,60.594492661249035,False
TCGA-OL-A5RW-DX1,12,cam28_2,3,64.54267722991253,58.131448537326605,False
TCGA-OL-A5RW-DX1,12,camdeep,4,65.43556132758937,58.51513431643933,False
