image_id,class1,class2,distance,contact_pixels,noncontact_boundary_pixels,gcqm_contact_accuracy,gcqm_noncontact_boundary_accuracy,gcqm_1_to_2,gcqm_2_to_1,gcqm_other_intrusion,gcqm_background_intrusion,sshr_contact_accuracy,sshr_noncontact_boundary_accuracy,sshr_1_to_2,sshr_2_to_1,sshr_other_intrusion,sshr_background_intrusion,pixel_contact_accuracy,pixel_noncontact_boundary_accuracy,pixel_1_to_2,pixel_2_to_1,pixel_other_intrusion,pixel_background_intrusion,gcqm_0_to_1,gcqm_1_to_0,sshr_0_to_1,sshr_1_to_0,pixel_0_to_1,pixel_1_to_0,gcqm_0_to_2,gcqm_2_to_0,sshr_0_to_2,sshr_2_to_0,pixel_0_to_2,pixel_2_to_0,gcqm_1_to_3,gcqm_3_to_1,sshr_1_to_3,sshr_3_to_1,pixel_1_to_3,pixel_3_to_1,gcqm_0_to_3,gcqm_3_to_0,sshr_0_to_3,sshr_3_to_0,pixel_0_to_3,pixel_3_to_0,gcqm_2_to_3,gcqm_3_to_2,sshr_2_to_3,sshr_3_to_2,pixel_2_to_3,pixel_3_to_2
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+445,1,2,5,4066,4486,0.5366453516969996,0.8981275078020509,963,921,0,0,0.5482046237088047,0.9556397681676326,201,1636,0,0,0.5420560747663551,0.8787338386090058,1009,853,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+45,0,1,1,201,888,0.5024875621890548,0.8412162162162162,,,0,0,0.5024875621890548,0.8412162162162162,,,0,0,0.5024875621890548,0.8412162162162162,,,0,0,0,100,0,100,0,100,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+45,0,1,3,598,2616,0.5083612040133779,0.845565749235474,,,0,0,0.5083612040133779,0.845565749235474,,,0,0,0.5083612040133779,0.845565749235474,,,0,0,0,294,0,294,0,294,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+45,0,1,5,999,4273,0.5125125125125125,0.8518605195413059,,,0,0,0.5125125125125125,0.8518605195413059,,,0,0,0.5125125125125125,0.8518605195413059,,,0,0,0,487,0,487,0,487,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+450,1,2,1,1310,879,0.5045801526717557,0.6678043230944255,207,442,0,0,0.5030534351145038,0.6245733788395904,171,480,0,0,0.5045801526717557,0.6609783845278726,213,436,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+450,1,2,3,3916,2511,0.513023493360572,0.6778176025487853,601,1306,0,0,0.513023493360572,0.630426125049781,490,1417,0,0,0.5127681307456589,0.671047391477499,626,1282,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+450,1,2,5,6527,3788,0.5265818906082427,0.6721224920802534,950,2140,0,0,0.529186456258618,0.6151003167898628,757,2316,0,0,0.5235176957254482,0.6655227032734953,1031,2079,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+451,1,2,1,1641,869,0.5027422303473492,0.6789413118527042,323,493,0,0,0.505789152955515,0.6064441887226697,378,433,0,0,0.5082266910420475,0.667433831990794,321,486,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+451,1,2,3,4900,2338,0.5104081632653061,0.6881950384944396,944,1455,0,0,0.5193877551020408,0.6437125748502994,1100,1255,0,0,0.5157142857142857,0.6779298545765612,945,1428,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+451,1,2,5,8140,3416,0.5165847665847666,0.7242388758782201,1555,2380,0,0,0.5348894348894349,0.6935011709601874,1778,2008,0,0,0.5254299754299754,0.7139929742388759,1547,2316,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
