image_id,class,entropy,normalized_entropy,effective_query_count,dominant_share,top1_mass,top3_mass,top5_mass,top10_mass,top20_mass,gini,diffuseness_bin
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+59,3,4.929521657236196,0.9339550152847303,138.3133353304828,0.024908746302224803,0.024908746302224803,0.0677148326026483,0.1081625325493421,0.19546377416670951,0.32612170093610143,0.45838090346079974,very_diffuse
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+6,0,5.004955068559186,0.9482467493968473,149.15038146629337,0.009864362879533293,0.009864362879533293,0.029286470267894875,0.04807173095850681,0.0941255124014677,0.18306181791483706,0.3545447790734131,very_diffuse
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+6,1,4.450381993624893,0.8431764523800063,85.65965919702857,0.021750353127433945,0.021750353127433945,0.06522710390525349,0.10726232765839457,0.2053436931266439,0.37669107745029484,0.6637731244116354,diffuse
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+6,2,3.3741702232764936,0.639275658283711,29.20004420889939,0.10207368363164224,0.10207368363164224,0.27029734925956195,0.40808327216495877,0.6548836509044997,0.8591285499852974,0.88087072710426,concentrated
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+6,3,4.314446092560809,0.8174218203114597,74.77219509615875,0.050006019871745744,0.050006019871745744,0.1434869855817339,0.22752056382260843,0.3896639337253975,0.5841111768563694,0.7045641888979872,moderate
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+60,0,4.552430656400082,0.8625107543729961,94.86270695890096,0.019571505925161135,0.019571505925161135,0.058133873527468155,0.09647207178104619,0.18431590165109513,0.33828627609888134,0.6246510514731636,diffuse
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+60,1,5.125794852046193,0.971141247013658,168.3078683518841,0.009161221961025786,0.009161221961025786,0.02732556921655465,0.04532376572778938,0.08910214224467013,0.17369225657012785,0.28830290549478166,very_diffuse
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+60,2,4.075361435337479,0.7721244608073019,58.871755076103874,0.06741019513958962,0.06741019513958962,0.17186418995896965,0.27088245710008196,0.4440271802422453,0.6523879433483587,0.7685917469252099,moderate
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+60,3,4.744556000104554,0.8989111276328831,114.956753383897,0.053362349147717994,0.053362349147717994,0.1326719125248917,0.18991292177372768,0.2958250989483815,0.4264876301398243,0.5279380897867063,diffuse
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+61,0,4.400015590647481,0.8336339535467667,81.4521385466476,0.02956693505643884,0.02956693505643884,0.08130893869173667,0.130621391753902,0.2404258161066422,0.428064377287217,0.6863138815519456,diffuse
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+61,1,5.161780744261902,0.9779591914008221,174.4748742661522,0.008502634358987533,0.008502634358987533,0.025259312616514873,0.04161160506294697,0.08134420833828447,0.1580565108381268,0.24317702439705324,very_diffuse
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+61,2,4.349475555027013,0.8240585579967511,77.43784038793875,0.07887126558926866,0.07887126558926866,0.16806958632341035,0.23882864929411715,0.36203590772833055,0.5466800039030638,0.6915125898067556,moderate
