image_id,class,gt_area,gcqm_tp,gcqm_fp,gcqm_fn,gcqm_tn,gcqm_precision,gcqm_recall,gcqm_iou,gcqm_dice,gcqm_fp_rate,gcqm_fn_rate,sshr_tp,sshr_fp,sshr_fn,sshr_tn,sshr_precision,sshr_recall,sshr_iou,sshr_dice,sshr_fp_rate,sshr_fn_rate,delta_fp,delta_fn,normalized_delta_fp,normalized_delta_fn,delta_iou
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105,1,46055,46054,4121,1,0,0.9178674638764325,0.999978286830963,0.9178491709183674,0.9571651252208251,1.0,2.1713169037020953e-05,46023,4121,32,0,0.9178166879387364,0.9993051785908154,0.9172313456632653,0.9568290730672876,1.0,0.0006948214091846705,0,-31,0.0,-0.0006731082401475034,0.0006178252551021224
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105,2,3275,0,0,3275,46901,nan,0.0,0.0,0.0,0.0,1.0,0,0,3275,46901,nan,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106,0,10090,8780,13908,1310,26178,0.38698871650211564,0.8701684836471755,0.3658638219851654,0.535725181524193,0.34695404879509056,0.12983151635282458,0,0,10090,40086,nan,0.0,0.0,0.0,0.0,1.0,13908,-8780,1.3783944499490797,-0.8701684836463129,0.3658638219851654
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106,1,38273,25558,1930,12715,9973,0.9297875436554133,0.6677814647401562,0.6357237022112777,0.7772996152734903,0.16214399731160212,0.33221853525984374,38273,11903,0,0,0.7627750318877551,1.0,0.7627750318877551,0.865425273321349,1.0,0.0,-9973,12715,-0.2605753403181719,0.332218535259757,-0.12705132967647736
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106,2,1813,0,0,1813,48363,nan,0.0,0.0,0.0,0.0,1.0,0,0,1813,48363,nan,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+107,0,28923,28923,21253,0,0,0.5764309630102041,1.0,0.5764309630102041,0.7313113945814739,1.0,0.0,26069,8377,2854,12876,0.7568077570690356,0.9013242056494831,0.6989008042895443,0.8227682305228108,0.394156119136122,0.09867579435051689,12876,-2854,0.44518203505844994,-0.09867579435048277,-0.12246984127934013
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+107,1,21253,0,0,21253,28923,nan,0.0,0.0,0.0,0.0,1.0,12876,2854,8377,26069,0.8185632549268913,0.6058438808638781,0.5341187207035301,0.6963199307790066,0.09867579435051689,0.394156119136122,-2854,12876,-0.13428692419887342,0.605843880863593,-0.5341187207035301
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+108,0,46283,46283,3893,0,0,0.9224131058673469,1.0,0.9224131058673469,0.9596408836915166,1.0,0.0,46283,3893,0,0,0.9224131058673469,1.0,0.9224131058673469,0.9596408836915166,1.0,0.0,0,0,0.0,0.0,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+108,1,3893,0,0,3893,46283,nan,0.0,0.0,0.0,0.0,1.0,0,0,3893,46283,nan,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+109,0,34917,24023,4117,10894,8752,0.8536958066808813,0.6880029784918521,0.6154378234359789,0.761945541335617,0.319916077395291,0.3119970215081479,27064,4338,7853,8531,0.8618559327431374,0.7750952258212332,0.6894408355623487,0.8161763597159185,0.3370891289144456,0.22490477417876678,-221,3041,-0.006329295185724338,0.08709224732935616,-0.07400301212636984
