image_id,mIoU,mDice
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+160,0.6494925237907514,0.39305360365113856
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+161,0.46438843673948055,0.4105309719473688
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+162,0.32213339780964806,0.3256750201551419
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+163,0.46879882098069103,0.4107298062034017
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+164,0.12765760580617938,0.1431713735603963
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+165,0.2869897959183673,0.23132282385195338
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+166,0.3570033482142857,0.2082858538173531
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+167,0.43606505102040816,0.23292454437063534
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+168,0.2743192257217848,0.17713574492876435
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+169,0.3138894078087054,0.24248947684906794
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+17,0.22305255519272096,0.20044771065601524
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+170,0.5228255098529716,0.3383584653412416
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+171,0.25368702168367346,0.2160802598372622
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+172,0.26231000212585037,0.22019049531011253
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+173,0.49891382334183676,0.24972816056981534
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+174,0.4569515306122449,0.23875374875041652
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+175,0.37801937181122447,0.21526824119576443
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+176,0.7197647423499611,0.4183621431268064
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+177,0.5681844835749013,0.3606241958156936
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+178,0.49640636766288915,0.33159136932956623
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+179,0.630657484143309,0.3867305181613686
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+18,0.33745372386207645,0.2448919839732065
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+180,0.2724858364988902,0.2896905002088902
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+181,0.28348214285714285,0.22979493365500603
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+182,0.47519730548469385,0.24364162145039495
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+183,0.310726243622449,0.19163450428968265
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+184,0.33926565008025683,0.20212053838246194
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+19,0.4259705835459184,0.23001302153395822
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+2,0.7038937069583878,0.4020704728014366
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+20,0.4700255102040816,0.24227481919789612
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+21,0.47446986607142855,0.2434502505368647
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+22,0.47447983099489793,0.24345287398635868
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+23,0.4330179590425138,0.2320523173460067
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+24,0.16935005105554368,0.12650335260935894
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+25,0.4870057779847761,0.3274947687264356
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+26,0.4557606652615796,0.30463895282793324
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+27,0.6748025609981685,0.3920387305508322
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+28,0.6454518960633604,0.3848235108398296
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+29,0.24196827168367346,0.16305836847618793
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+3,0.45859574298469385,0.23920184621142032
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+30,0.17116374871266735,0.12751265919901794
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+31,0.14360993128215752,0.15055242618630446
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+32,0.26754476267606414,0.20120974428046356
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+33,0.4492885044642857,0.2366448673671835
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+34,0.4230209661989796,0.22915024776792944
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+35,0.4389050542091837,0.23373239511361585
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+36,0.3469023346152039,0.21847856265665963
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+37,0.376192058906246,0.21467442844428883
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+38,0.4705953122749154,0.3030436858794226
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+39,1.0,0.25
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+4,0.45860570790816324,0.23920455726730286
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+40,1.0,0.25
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+41,1.0,0.25
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+42,0.5766823044097781,0.36257825186226644
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+43,0.12227008915215701,0.09824519230769231
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+44,0.42525325451797036,0.22980370641307
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+45,0.23912320106480325,0.20885708057836228
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+46,0.42469507334183676,0.22964060563607952
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+47,0.45999083227040816,0.2395808464037701
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+48,0.47243702168367346,0.24291394257372984
