replicate,SRSC_image_balanced_pair_AUROC,SRSC_minus_U_purity,SRSC_Corrected_minus_Harmed_purity,Harmed_SRSC_minus_U_purity,SRSC_mean_N_eff,target_AUROC_purity,target_AUROC_purity_gain,target_AUROC_negative_wrong_mass,SRSC_minus_U_neighbor_accuracy,SRSC_minus_U_neighbor_mIoU,Top20_SRSC_minus_U_NetRepair
288,0.6212931171753401,0.011348791897785065,0.25218073182578665,0.0046357930256504185,142.94319498730914,0.7643448303814272,0.5427369720834341,0.7382900466327089,0.019277425549778293,0.07967657709081022,0.05832902224521469
289,0.6267564793695697,0.011980820657051264,0.2634869039626441,0.006996229982016318,143.37688075214777,0.7711936630439631,0.5314284094057861,0.7416840751775201,0.01772516443795691,0.0782959679960114,0.05493974989248579
290,0.624075780948954,0.01106969644490453,0.26438945585170776,0.007393882468866525,143.49050647308732,0.7714654544954951,0.5267532381724739,0.7445932660930031,0.015987992796322126,0.07302692505414188,0.050160747679069195
291,0.6201499828725995,0.011674703377684082,0.26358234513189055,0.002792361924680952,143.17548478536946,0.7661428094337666,0.5461903674920762,0.7426877699856794,0.02023214719102706,0.0871137992263239,0.06213565853176564
292,0.6215886849640488,0.01149343476535918,0.25815320519381074,0.0038327053888743997,142.99501507702772,0.7611033956858065,0.5429581534529269,0.7348812543317473,0.019116038340505792,0.08345115859207991,0.06023102644644848
293,0.6168671901285031,0.011503984430716646,0.2712446140194858,0.005383168882689221,143.01598543155887,0.771837727434255,0.5370835586933339,0.7459954728135736,0.017747572059458094,0.07653319871248976,0.05340072024881326
294,0.6226526644450328,0.011637549555150811,0.26090169778322597,0.006592427790769244,143.15092536473827,0.7664845583003382,0.5377343230225731,0.7380880095299481,0.017877767724616134,0.07803288072477194,0.056182862336803835
295,0.6238668215530797,0.011595454600074108,0.262449930408558,0.005118262907761359,142.70020375375583,0.7663358220746931,0.539788361219353,0.7409600758858921,0.01888561809668521,0.08194949136698676,0.06252100566465488
296,0.6214730345012608,0.01189593108406661,0.25361970059518146,0.005526232615718995,142.63704777543794,0.7577213205970221,0.537755718316039,0.7334407522038336,0.019053631694850415,0.07965764334595893,0.057067308479460344
297,0.6200197032768369,0.011366750196468944,0.2686267221877026,0.006153105893339091,143.27981466825176,0.7744214322139258,0.5317778238542281,0.7495565695253014,0.01738135181830147,0.07872244026880815,0.05491870987509914
298,0.6176543037284833,0.011748026209543759,0.2613039498935611,0.006250156887698882,142.78055368196644,0.7629161705266594,0.5427212883419911,0.7377522171039543,0.020248492094866455,0.0823822768616076,0.0621270635479666
299,0.6217024792628207,0.011883886692360159,0.25116158362366897,0.004653220732120199,143.25296117869559,0.7637743727228781,0.5463979622200604,0.739079307243963,0.016479320143912513,0.07883049549145521,0.050192888643419586
300,0.6182830500196659,0.011656731259614063,0.26397795355113307,0.005469262366666906,143.1164312368264,0.7714241738830214,0.5411099013518068,0.7432042397501659,0.017189983580764623,0.0746023428967944,0.05062620009744076
301,0.6196074046664085,0.011278668378219758,0.2683585177321604,0.0072795431673372355,142.85907679389106,0.7674736414787557,0.5332181592037459,0.7437735400144757,0.022813159131121474,0.08854537008337598,0.07082178966285504
302,0.6244470166474277,0.01148747328172795,0.26334567983839147,0.007153913150843891,143.4735205257605,0.7664567070918833,0.5385699674439437,0.7385422093479186,0.017600938781344833,0.07624389283401967,0.0538752639611951
303,0.6256423885913245,0.012152999961112384,0.25789275794242833,0.0074026186920859265,142.88541198814778,0.7643004497127215,0.5395030814616775,0.7385597560357408,0.01902652471229671,0.07609042095876573,0.05341054947117968
304,0.6231522415095676,0.012123560542502607,0.2623830575594403,0.008287423547111617,142.4704448532655,0.768091123331189,0.5324441567218027,0.7419227939041488,0.022011545406408595,0.08105883789548973,0.06412491518265506
305,0.6185669469007086,0.011657099674668112,0.25838309107934804,0.008083263324134754,143.33441459736798,0.7598518281822408,0.5326994267049421,0.736324639841667,0.02023865645730394,0.08068574483428198,0.06066514757393171
306,0.621608766354788,0.011722090254104048,0.25467093069523555,0.005440288824913975,143.41288964211734,0.7645627660419226,0.5394152059725457,0.7370517386852437,0.017142544517756875,0.0762703529448639,0.05190154196940844
307,0.6223485740055089,0.011191064483686649,0.2578626877319526,0.0066316160577932085,143.11813710604946,0.7616197653035466,0.5393348525010047,0.7348990507334404,0.017878601767925995,0.0763652354653716,0.05366280859703282
308,0.6230755656850555,0.011969001590025253,0.25659599508482445,0.006876349714506645,143.48764713383082,0.767489706862565,0.530055230539171,0.7415391809803623,0.01576986818265591,0.07869734453191912,0.04795518372399507
309,0.6217005651513579,0.011890305559277432,0.25308426869404255,0.007396140453473841,143.10424713518765,0.7608732843228485,0.534643182671646,0.737925243522935,0.020160387959833992,0.08264722500934707,0.06479556128089911
310,0.6214618323625115,0.011884555590022121,0.26840333485195467,0.004632873009882838,143.14909356198783,0.7727211894329196,0.5468441279139579,0.7483139668600961,0.018353992765832938,0.07672273393812556,0.05624855957593916
311,0.623298291413437,0.01170888514479711,0.2630336608808746,0.006169037202372201,143.02253124402918,0.7736781927832791,0.539950864286254,0.7459502548198275,0.017158477957702867,0.07255176686845216,0.04845642187233673
312,0.6237445677443144,0.01217498245498285,0.25227216368041294,0.00756227107775708,143.3073965084708,0.760237599353991,0.537821271251643,0.7343049100143959,0.01762024784284555,0.07449628794590113,0.050237368315104336
