group,estimator,accuracy,miou,dice,iou_class0,iou_class1,iou_class2,iou_class3,nll,brier,targets,coverage
Harmed_by_CH,SC,0.3213295603085453,0.11942446369455853,0.20087826407368464,0.1907639086342527,0.23217054263565892,0.037103359358212164,0.017660044150110375,1.1269686805387193,0.7095835418963671,69617,1.0
Harmed_by_CH,SRSC,0.30620394443885834,0.11385879258742305,0.19286536781430683,0.18677615340801215,0.2171564573029725,0.03788600190450279,0.013616557734204794,1.1754744357479223,0.7466389841139558,69617,1.0
Harmed_by_CH,raw,0.8037979229211256,0.5260944689760352,0.6649053461660283,0.6991981599207744,0.6988849325337332,0.4888644150758688,0.2174303683737646,0.6651553456542986,0.36672393802182607,69617,1.0
Harmed_by_CH,deep,0.3715184509530718,0.16551338611852054,0.271293243563772,0.22173503619563298,0.29113628191298097,0.11925512571321085,0.029927100652257323,4.558195937171668,1.1169455827739254,69617,1.0
Harmed_by_CH,oracle,0.5644639855166171,0.23314014631566013,0.33734903523287085,0.42882987191547867,0.41562044669767073,0.08811026664949118,0.0,0.8923272913401031,0.5309397138309194,69597,0.9997127138486289
Stable_Correct,U,0.9446322819710349,0.734937656357054,0.8257772064414048,0.9333873072098177,0.8998463375065047,0.7318201851035698,0.37469679560832375,0.4177538089195963,0.19195727651854697,1726078,1.0
Stable_Correct,SR,0.9515572297428042,0.7917194707374813,0.8743164872095458,0.9383992919458845,0.9094251811632241,0.781971510907585,0.5370818989332313,0.377010311022617,0.16722649536624903,1726078,1.0
Stable_Correct,SC,0.9672222228659423,0.8609022857131621,0.9209537217449002,0.9545456228684003,0.9359661072022195,0.8841935158064842,0.6689038969755443,0.34432669623485845,0.1434582638321442,1726078,1.0
Stable_Correct,SRSC,0.9679058536172757,0.8881766474805263,0.9393023779541512,0.953618796683985,0.9361558247697668,0.8873018207095688,0.7756301477587848,0.31472197407719643,0.12704440704896047,1726078,1.0
Stable_Correct,raw,0.9560854144482462,0.8656358358105926,0.9266392798389679,0.9338911047707775,0.9157370562881278,0.8447517896047307,0.768163392578734,0.2806626679219257,0.12733630715263103,1726078,1.0
Stable_Correct,deep,0.9144117473254395,0.7261129819595641,0.8204498697777194,0.8874204207620809,0.8411685759478502,0.8164804385145921,0.35938249261373306,0.4337508362173819,0.1424108531952775,1726078,1.0
Stable_Correct,oracle,0.9669812577851163,0.7841631082730572,0.857417778156017,0.961975635987641,0.9440052576750873,0.8331996293171413,0.39747191011235955,0.3727744243734059,0.1607722569861778,1726050,0.9999837782533582
Top20,U,0.5680140735110237,0.35320897254495737,0.49983808399395013,0.4372716317651443,0.45277800709981014,0.43517334808906866,0.08761290322580645,0.976538102428969,0.5429625915930802,485451,1.0
Top20,SR,0.5950260685424481,0.3939669260684414,0.5519681862964246,0.4428871758934828,0.4666409949226995,0.4897904451883774,0.17654908826920612,0.9290855240446101,0.5148682862503211,485451,1.0
Top20,SC,0.6007527021264762,0.4125398844306888,0.5757179020189785,0.40896006352777686,0.460581450753966,0.534462406979728,0.24615561646128417,0.9186842109465144,0.5104352754677377,485451,1.0
