group,estimator,repair_count,harm_count,targets,repair,harm,net_repair
class2,deep,74850,11749,323515,0.23136485170703058,0.03631670865338547,0.19504814305364512
class2,oracle,72300,29154,323494,0.22349719005607524,0.0901222279238564,0.13337496213221883
class3,U,5930,16278,145803,0.04067131677674671,0.11164379333758565,-0.07097247656083894
class3,SR,12895,12468,145803,0.08844125292346522,0.08551264377276188,0.0029286091507033465
class3,SC,18275,9033,145803,0.12534035650843947,0.061953457747782964,0.06338689876065651
class3,SRSC,28550,6017,145803,0.1958121575001886,0.04126801231799072,0.1545441451821979
class3,raw,0,0,145803,0.0,0.0,0.0
class3,deep,74336,418,145803,0.5098386178610865,0.0028668820257470697,0.5069717358353395
class3,oracle,6370,15768,145795,0.043691484618814086,0.10815185705956995,-0.06446037244075585
Deep_Correct,U,183839,99633,1902567,0.09662682050093374,0.05236766957484283,0.04425915092609091
Deep_Correct,SR,199853,85681,1902567,0.1050438696771257,0.04503441928720513,0.06000945038992057
Deep_Correct,SC,230199,26349,1902567,0.12099389929500512,0.013849183760677022,0.1071447155343281
Deep_Correct,SRSC,243477,22279,1902567,0.12797289136203877,0.011709968689670324,0.11626292267236844
Deep_Correct,raw,0,0,1902567,0.0,0.0,0.0
Deep_Correct,deep,314730,0,1902567,0.16542387206337542,0.0,0.16542387206337542
Deep_Correct,oracle,199293,58285,1902531,0.10475151259033362,0.030635506070597535,0.07411600651973607
Deep_Wrong,U,132889,50642,576576,0.23047958985458986,0.08783230658230658,0.14264728327228327
Deep_Wrong,SR,132759,55200,576576,0.23025412087912087,0.09573759573759574,0.13451652514152515
Deep_Wrong,SC,70805,77796,576576,0.12280254467754467,0.13492757242757242,-0.01212502775002775
Deep_Wrong,SRSC,71658,81431,576576,0.12428196803196803,0.14123203185703187,-0.016950063825063824
Deep_Wrong,raw,0,0,576576,0.0,0.0,0.0
Deep_Wrong,deep,0,182899,576576,0.0,0.31721577034077036,-0.31721577034077036
Deep_Wrong,oracle,162671,32951,576492,0.2821739070099845,0.05715777495611388,0.22501613205387067
Top20_Deep_Correct,U,118266,19316,288998,0.40922774552073027,0.06683783278777015,0.3423899127329601
Top20_Deep_Correct,SR,131964,16130,288998,0.4566259974117468,0.05581353504176499,0.4008124623699818
Top20_Deep_Correct,SC,155454,8023,288998,0.5379068367255136,0.02776143779541727,0.5101453989300964
Top20_Deep_Correct,SRSC,167387,6018,288998,0.579197779915432,0.020823673520231973,0.5583741063952
Top20_Deep_Correct,raw,0,0,288998,0.0,0.0,0.0
Top20_Deep_Correct,deep,220561,0,288998,0.7631921328175282,0.0,0.7631921328175282
Top20_Deep_Correct,oracle,127954,15166,288986,0.442768853854512,0.05248005093672358,0.3902888029177884
Top20_Deep_Wrong,U,35960,30945,196453,0.18304632660229164,0.15751859223325682,0.025527734369034834
Top20_Deep_Wrong,SR,36052,34808,196453,0.18351463199849327,0.17718232859767985,0.006332303400813426
Top20_Deep_Wrong,SC,22977,50550,196453,0.1169592727013586,0.25731345410861634,-0.14035418140725772
Top20_Deep_Wrong,SRSC,23159,53657,196453,0.11788570294167053,0.27312894178251285,-0.15524323884084235
Top20_Deep_Wrong,raw,0,0,196453,0.0,0.0,0.0
Top20_Deep_Wrong,deep,0,103341,196453,0.0,0.5260342168355789,-0.5260342168355789
Top20_Deep_Wrong,oracle,42651,20041,196424,0.21713741701625056,0.10202928359059993,0.11510813342565063
