group,variant,targets,purity_pixel_mean,purity_image_mean,purity_eligible_images,purity_p05,purity_p25,purity_p50,purity_p75,purity_p95,mass_pixel_mean,mass_image_mean,mass_eligible_images,mass_p05,mass_p25,mass_p50,mass_p75,mass_p95,neff_pixel_mean,neff_image_mean,neff_eligible_images,neff_p05,neff_p25,neff_p50,neff_p75,neff_p95,same_mass_pixel_mean,same_mass_image_mean,same_mass_eligible_images,same_mass_p05,same_mass_p25,same_mass_p50,same_mass_p75,same_mass_p95,wrong_mass_pixel_mean,wrong_mass_image_mean,wrong_mass_eligible_images,wrong_mass_p05,wrong_mass_p25,wrong_mass_p50,wrong_mass_p75,wrong_mass_p95,fg_mass_pixel_mean,fg_mass_image_mean,fg_mass_eligible_images,fg_mass_p05,fg_mass_p25,fg_mass_p50,fg_mass_p75,fg_mass_p95,purity_gain_image_mean,purity_gain_pixel_mean
Q3,SC,495829,0.9016140509741173,0.8991607340685236,3415,0.4739990234375,0.8800048828125,0.9998779296875,0.9998779296875,0.9998779296875,138.5345222431103,136.2335365101915,3415,64.99609375,106.17578125,141.61328125,174.04296875,200.78515625,166.06970663712843,164.032258782296,3415,88.18359375,131.00390625,172.01953125,207.18359375,222.11328125,122.95548317544413,118.4031258875928,3415,40.05859375,86.32421875,123.51171875,162.88671875,198.98046875,12.019008390014802,11.934731283660867,3415,0.02734375,0.02734375,0.02734375,13.97265625,64.61328125,134.97449156486965,130.33785717076057,3415,59.74609375,102.12890625,137.29296875,171.14453125,200.23828125,0.011097196738606544,0.010979711862171948
Q3,SRSC,495829,0.9035112563844508,0.9011515160535303,3415,0.4718017578125,0.8880615234375,0.9998779296875,0.9998779296875,0.9998779296875,116.92767779876631,114.12297790522831,3415,50.12109375,87.52734375,118.53515625,147.35546875,179.45703125,156.78629641288444,154.08935117647482,3415,79.81640625,121.92578125,160.97265625,196.19140625,216.58984375,104.57864971108096,100.0624399781087,3415,30.70703125,69.97265625,104.20703125,139.64453125,178.08984375,9.515559532888131,9.384105719573407,3415,0.02734375,0.02734375,0.02734375,10.63671875,51.59765625,114.09420924406513,109.4465456974393,3415,46.18359375,83.80859375,115.03515625,145.27734375,179.01953125,0.013087978723613407,0.012876917272505506
Q4,U,495828,0.8711208161266997,0.880773018540795,3413,0.4146728515625,0.7886962890625,0.9998779296875,0.9998779296875,0.9998779296875,178.7216776785498,177.59675553330732,3413,106.99609375,148.99609375,179.01953125,223.97265625,223.97265625,178.7216776785498,177.59675553330732,3413,106.99609375,148.99609375,179.01953125,223.97265625,223.97265625,151.09298789096218,148.95446120173253,3413,57.99609375,114.98046875,152.98828125,194.00390625,223.97265625,22.2475757722436,20.091713915340442,3413,0.02734375,0.02734375,0.02734375,35.02734375,102.01953125,173.34056366320578,169.04617511707295,3413,95.01953125,140.02734375,179.01953125,222.98828125,223.97265625,0.0,0.0
Q4,SR,495828,0.8705586634939505,0.8802314852414885,3413,0.4046630859375,0.7894287109375,0.9998779296875,0.9998779296875,0.9998779296875,141.97557779632788,142.40767457018842,3413,76.64453125,114.05078125,146.58984375,172.73046875,193.29296875,169.76230454274665,168.78047400678074,3413,97.26171875,139.15234375,175.08203125,208.60546875,219.59765625,120.45684825532003,120.07277121087233,3413,43.01171875,87.25390625,121.21484375,157.19921875,190.55859375,17.38854089644908,15.74386696346069,3413,0.02734375,0.02734375,0.02734375,27.04296875,80.58203125,137.8453891515675,135.81663817442347,3413,69.75390625,108.96484375,141.55859375,169.94140625,192.69140625,-0.0005415332993064701,-0.0005621526327491688
Q4,SC,495828,0.8800928953411411,0.8893132836251789,3413,0.4190673828125,0.8211669921875,0.9998779296875,0.9998779296875,0.9998779296875,129.1306776501421,130.0111323245181,3413,59.30859375,99.17578125,131.00390625,161.41015625,191.70703125,163.9268720413557,163.21211043146408,3413,87.69140625,130.89453125,169.06640625,203.13671875,220.41796875,111.59276720462799,111.73539762199678,3413,34.26171875,75.55078125,110.76953125,148.39453125,188.69921875,13.895580261013478,12.520891027996559,3413,0.02734375,0.02734375,0.02734375,19.38671875,68.05859375,125.48834746555804,124.2562886502095,3413,54.60546875,94.91015625,126.79296875,158.23828125,190.77734375,0.008540265084383884,0.00897207921444143
Q4,SRSC,495828,0.8804886380045285,0.8896768377446591,3413,0.4083251953125,0.8272705078125,0.9998779296875,0.9998779296875,0.9998779296875,105.52516815227206,107.4210908803898,3413,43.17578125,77.90234375,105.68359375,133.35546875,167.04296875,153.11483174195422,152.69508633189437,3413,78.23046875,120.44921875,157.14453125,189.84765625,212.43359375,91.7052236694948,92.97988235051055,3413,24.96484375,58.32421875,89.66015625,123.56640625,164.80078125,10.957835978187076,9.90232172691903,3413,0.02734375,0.02734375,0.02734375,14.68359375,54.38671875,102.66305964813739,102.8822040778513,3413,39.73046875,74.34765625,102.34765625,130.89453125,166.22265625,0.008903819203864117,0.009367821877828808
Q5,U,495828,0.8619706019938402,0.8741255714744826,3410,0.3875732421875,0.7681884765625,0.9998779296875,0.9998779296875,0.9998779296875,167.04501359342353,165.01955483399848,3410,95.01953125,134.01171875,163.98046875,208.98828125,223.97265625,167.04501359342353,165.01955483399848,3410,95.01953125,134.01171875,163.98046875,208.98828125,223.97265625,139.83529369055398,137.48066970484714,3410,49.02734375,103.00390625,137.01953125,179.01953125,223.97265625,22.176016683204658,19.690802517426246,3410,0.02734375,0.02734375,0.02734375,36.01171875,99.01171875,162.01131037375865,157.1714722222734,3410,85.99609375,124.98828125,163.98046875,208.98828125,223.97265625,0.0,0.0
Q5,SR,495828,0.8572986018518121,0.8701767409083391,3410,0.3646240234375,0.7603759765625,0.9998779296875,0.9998779296875,0.9998779296875,119.22841052637163,127.58382052024176,3410,56.24609375,89.66015625,117.22265625,151.18359375,181.75390625,152.82532327112457,154.32229022818092,3410,81.29296875,117.55078125,153.53515625,191.16015625,215.27734375,98.8330839138417,106.33622660420338,3410,31.47265625,67.34765625,96.00390625,128.76171875,174.15234375,16.762006547033362,15.37991761985495,3410,0.02734375,0.02734375,0.02734375,26.49609375,75.87890625,115.59509045988067,121.71614422295164,3410,51.87109375,85.88671875,113.33984375,147.13671875,180.49609375,-0.003948830566143509,-0.0046720001420281765
Q5,SC,495828,0.8669607321294355,0.8780501365559146,3410,0.3673095703125,0.7967529296875,0.9998779296875,0.9998779296875,0.9998779296875,94.56959040942486,101.9678077748046,3410,30.54296875,61.82421875,91.24609375,124.49609375,169.61328125,142.4355364837048,143.1591740395617,3410,69.80859375,107.70703125,141.17578125,180.60546875,212.32421875,79.76750614573167,86.45904281281156,3410,18.51171875,46.23828125,74.29296875,107.59765625,161.62890625,12.03216641403575,11.044195329701461,3410,0.02734375,0.02734375,0.02734375,15.72265625,60.18359375,91.79967256046261,97.50323814305263,3410,27.91796875,59.14453125,88.34765625,121.32421875,167.53515625,0.0039245650814319745,0.004990130135595239
Q5,SRSC,495828,0.8642263772524114,0.8755881631878258,3410,0.3480224609375,0.7940673828125,0.9998779296875,0.9998779296875,0.9998779296875,71.87912623329024,82.54687282092796,3410,17.80078125,40.27734375,68.00390625,98.41015625,141.66796875,127.79491921698204,132.41168958688587,3410,59.30859375,94.03515625,125.42578125,162.55859375,199.08984375,60.438596694430125,70.27914243903965,3410,11.51171875,29.77734375,52.91015625,84.35546875,135.37890625,9.354470078307285,8.821715844961714,3410,0.02734375,0.02734375,0.02734375,11.45703125,47.87890625,69.79306677209811,79.10085828357084,3410,16.48828125,38.36328125,65.54296875,95.89453125,139.75390625,0.0014625917133432257,0.0022557752585711244
