group,variant,targets,purity_pixel_mean,purity_image_mean,purity_eligible_images,purity_p05,purity_p25,purity_p50,purity_p75,purity_p95,mass_pixel_mean,mass_image_mean,mass_eligible_images,mass_p05,mass_p25,mass_p50,mass_p75,mass_p95,neff_pixel_mean,neff_image_mean,neff_eligible_images,neff_p05,neff_p25,neff_p50,neff_p75,neff_p95,same_mass_pixel_mean,same_mass_image_mean,same_mass_eligible_images,same_mass_p05,same_mass_p25,same_mass_p50,same_mass_p75,same_mass_p95,wrong_mass_pixel_mean,wrong_mass_image_mean,wrong_mass_eligible_images,wrong_mass_p05,wrong_mass_p25,wrong_mass_p50,wrong_mass_p75,wrong_mass_p95,fg_mass_pixel_mean,fg_mass_image_mean,fg_mass_eligible_images,fg_mass_p05,fg_mass_p25,fg_mass_p50,fg_mass_p75,fg_mass_p95,purity_gain_image_mean,purity_gain_pixel_mean
Still_Wrong,SC,378130,0.7661222913634499,0.7411517244826656,2881,0.2501220703125,0.5706787109375,0.8692626953125,0.9998779296875,0.9998779296875,102.93759524194427,92.01090764789532,2881,36.44921875,69.48046875,98.62890625,134.55859375,181.42578125,141.73591969346066,126.71723579923898,2881,67.62109375,104.75390625,137.34765625,183.28515625,217.51953125,74.83927970512839,61.227939048395704,2881,17.47265625,43.17578125,68.87890625,100.16015625,154.90234375,24.896487847976,25.63070308761893,2881,0.02734375,0.02734375,10.41796875,41.97265625,89.98828125,99.73576755361417,86.8586421346773,2881,33.55078125,66.25390625,95.56640625,130.78515625,178.41796875,-0.004727314213401218,-0.0023286892596905417
Still_Wrong,SRSC,378130,0.7593741422865323,0.7348792022257375,2881,0.2357177734375,0.5555419921875,0.8653564453125,0.9998779296875,0.9998779296875,79.24823372497714,72.01648782466677,2881,22.61328125,51.26953125,75.71484375,104.91796875,146.09765625,129.65835105931154,116.51455666914777,2881,58.21484375,93.16015625,124.71484375,169.01171875,206.03515625,56.3834081045268,46.73388413538737,2881,11.78515625,30.87109375,51.37890625,76.31640625,120.06640625,20.4287601877498,21.32545805491432,2881,0.02734375,0.02734375,7.84765625,33.66015625,76.58984375,76.81216829164609,68.05934218732443,2881,20.80859375,48.80859375,73.36328125,102.12890625,143.69140625,-0.010999836470329313,-0.009076838336608106
Harmed_by_CH,U,69617,0.6420815426223861,0.6038745678430942,2247,0.1959228515625,0.4329833984375,0.6407470703125,0.8968505859375,0.9998779296875,176.74088225577086,165.56574201406485,2248,103.00390625,141.99609375,179.01953125,223.97265625,223.97265625,176.74088225577086,165.56574201406485,2248,103.00390625,141.99609375,179.01953125,223.97265625,223.97265625,107.7620121522042,93.7014882388329,2248,25.01953125,64.99609375,105.02734375,145.00390625,208.98828125,60.31816941264346,60.455253960467786,2248,0.02734375,15.99609375,57.99609375,93.98046875,145.98828125,168.08018156484766,154.15674219930068,2248,85.01171875,134.01171875,176.01171875,208.98828125,223.97265625,0.0,0.0
Harmed_by_CH,SR,69617,0.629821489597815,0.5936451169508515,2247,0.1820068359375,0.4122314453125,0.6234130859375,0.8905029296875,0.9998779296875,134.40537960805327,126.35432304684568,2248,70.73828125,104.97265625,137.51171875,166.87890625,186.01953125,165.13044503516076,154.5580052981766,2248,92.17578125,130.01953125,170.54296875,206.08984375,217.24609375,80.02618230517292,69.94182501079406,2248,17.19921875,47.11328125,77.51953125,108.41796875,156.43359375,47.95681543971258,47.96558480844877,2248,0.02734375,12.49609375,45.69140625,74.83984375,115.91015625,127.98299774163289,117.9074098151614,2248,59.30859375,98.24609375,130.18359375,162.17578125,184.70703125,-0.01022945089224275,-0.012260053024571116
Harmed_by_CH,SC,69617,0.6548488373025043,0.6162132936088573,2247,0.1861572265625,0.4364013671875,0.6715087890625,0.9195556640625,0.9998779296875,109.94511649316723,100.62792258023565,2248,41.69921875,77.13671875,108.47265625,142.10546875,182.73828125,152.32438114072067,140.63676800332453,2248,76.15234375,115.63671875,154.90234375,191.92578125,218.61328125,67.84699260619233,57.20322306417029,2248,12.60546875,36.12109375,61.55078125,92.99609375,146.69921875,36.83777407722646,36.56332806418152,2248,0.02734375,6.64453125,29.61328125,58.32421875,102.56640625,104.68476668491626,93.76655112442491,2248,34.86328125,71.61328125,102.78515625,137.29296875,180.05859375,0.012338725765763177,0.012767294680118169
Harmed_by_CH,SRSC,69617,0.6471491900640624,0.6101184911866767,2247,0.1712646484375,0.4202880859375,0.6663818359375,0.9171142578125,0.9998779296875,85.30517252616532,78.40755130282741,2248,27.48046875,58.26953125,83.97265625,111.48046875,147.13671875,140.62037238667577,129.81879615196175,2248,66.52734375,104.64453125,142.05078125,178.69140625,208.71484375,51.72722278386624,43.79669417781265,2248,8.55859375,26.00390625,46.51171875,71.55859375,114.05078125,29.593090265753425,29.398874237581307,2248,0.02734375,5.11328125,22.61328125,46.78515625,85.12109375,81.32031304717437,73.19556841150762,2248,22.88671875,53.89453125,79.81640625,107.70703125,144.94921875,0.006243923343582427,0.005067647441676204
Stable_Correct,U,1726078,0.9222829671579719,0.9016675776633267,3414,0.5455322265625,0.9337158203125,0.9998779296875,0.9998779296875,0.9998779296875,167.64874878192063,165.89385917724093,3414,89.00390625,134.01171875,163.98046875,208.98828125,223.97265625,167.64874878192063,165.89385917724093,3414,89.00390625,134.01171875,163.98046875,208.98828125,223.97265625,150.73715266633374,142.90967812593854,3414,65.98046875,116.01953125,148.99609375,194.00390625,223.97265625,12.597534410380064,15.396638000135182,3414,0.02734375,0.02734375,0.02734375,9.98046875,75.00390625,163.3346870767138,158.30631612607374,3414,86.98046875,124.98828125,163.98046875,208.98828125,223.97265625,0.0,0.0
Stable_Correct,SR,1726078,0.9253651187588279,0.9053920611946219,3414,0.5611572265625,0.9403076171875,0.9998779296875,0.9998779296875,0.9998779296875,140.5819908448706,135.37782087811507,3414,74.67578125,108.58203125,140.24609375,175.62890625,201.76953125,161.02870691098346,158.06603784804042,3414,86.98046875,124.87890625,161.02734375,205.37890625,221.07421875,127.58570999271835,117.8487634227637,3414,53.18359375,94.91015625,125.58984375,164.19921875,200.51171875,9.638246515560713,11.66561389606008,3414,0.02734375,0.02734375,0.02734375,7.62890625,57.06640625,137.2239565082883,129.51437731898955,3414,68.93359375,105.35546875,136.30859375,172.83984375,201.49609375,0.003724483531294981,0.003082151600856009
Stable_Correct,SC,1726078,0.9359632095484299,0.9175200795609013,3414,0.6119384765625,0.9549560546875,0.9998779296875,0.9998779296875,0.9998779296875,131.97485819316915,124.91448423495632,3414,60.73046875,99.55859375,130.01953125,167.64453125,202.80859375,156.67222190830233,152.62466276210608,3414,81.89453125,118.48046875,156.26953125,199.91015625,221.78515625,121.90027029555546,111.10907864404186,3414,42.62890625,87.41796875,119.57421875,158.83984375,201.27734375,7.145438552245327,8.802076287862045,3414,0.02734375,0.02734375,0.02734375,5.05859375,42.73828125,129.0457088476415,119.91115493176459,3414,56.02734375,96.22265625,126.84765625,165.01953125,202.42578125,0.015852501897574593,0.013680242390458064
Stable_Correct,SRSC,1726078,0.9395055825116899,0.9218698634323604,3414,0.6326904296875,0.9595947265625,0.9998779296875,0.9998779296875,0.9998779296875,114.3613814851524,106.24946237160337,3414,47.11328125,84.19140625,112.62890625,145.49609375,184.37890625,148.09944768249485,142.75917674563559,3414,75.05859375,112.73828125,146.42578125,188.31640625,216.20703125,106.52602112065979,95.53892664206217,3414,32.78515625,73.85546875,104.64453125,139.42578125,183.23046875,5.487655943696465,6.7239644946196675,3414,0.02734375,0.02734375,0.02734375,3.80078125,32.78515625,112.01367706442633,102.26289113681241,3414,43.06640625,81.18359375,110.05859375,143.52734375,184.10546875,0.020202285769033653,0.01722261535371805
