C0_hist_0_0,C0_hist_0_1,C0_hist_0_2,C0_hist_0_3,C0_hist_0_4,C0_hist_1_0,C0_hist_1_1,C0_hist_1_2,C0_hist_1_3,C0_hist_1_4,C0_hist_2_0,C0_hist_2_1,C0_hist_2_2,C0_hist_2_3,C0_hist_2_4,C0_hist_3_0,C0_hist_3_1,C0_hist_3_2,C0_hist_3_3,C0_hist_3_4,C0_hist_4_0,C0_hist_4_1,C0_hist_4_2,C0_hist_4_3,C0_hist_4_4,DD_hist_0_0,DD_hist_0_1,DD_hist_0_2,DD_hist_0_3,DD_hist_0_4,DD_hist_1_0,DD_hist_1_1,DD_hist_1_2,DD_hist_1_3,DD_hist_1_4,DD_hist_2_0,DD_hist_2_1,DD_hist_2_2,DD_hist_2_3,DD_hist_2_4,DD_hist_3_0,DD_hist_3_1,DD_hist_3_2,DD_hist_3_3,DD_hist_3_4,DD_hist_4_0,DD_hist_4_1,DD_hist_4_2,DD_hist_4_3,DD_hist_4_4,UC_hist_0_0,UC_hist_0_1,UC_hist_0_2,UC_hist_0_3,UC_hist_0_4,UC_hist_1_0,UC_hist_1_1,UC_hist_1_2,UC_hist_1_3,UC_hist_1_4,UC_hist_2_0,UC_hist_2_1,UC_hist_2_2,UC_hist_2_3,UC_hist_2_4,UC_hist_3_0,UC_hist_3_1,UC_hist_3_2,UC_hist_3_3,UC_hist_3_4,UC_hist_4_0,UC_hist_4_1,UC_hist_4_2,UC_hist_4_3,UC_hist_4_4,image_id
0,0,0,0,0,0,35332,161,0,0,0,8689,5994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35389,104,0,0,0,9392,5291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35362,131,0,0,0,9361,5322,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+118
0,0,0,0,0,0,21439,90,0,0,0,22374,6273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21453,76,0,0,0,21993,6654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21476,53,0,0,0,22790,5857,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+119
0,0,0,0,0,0,15898,8153,0,0,0,3878,22247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15644,8407,0,0,0,4032,22093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15337,8714,0,0,0,3996,22129,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+12
0,400,0,0,0,0,19221,0,0,0,800,29755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,19221,0,0,0,704,29851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,19221,0,0,0,1344,29211,0,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+120
2783,0,0,0,0,11296,18423,0,0,0,6852,10822,0,0,0,0,0,0,0,0,0,0,0,0,0,2783,0,0,0,0,11299,18420,0,0,0,7237,10437,0,0,0,0,0,0,0,0,0,0,0,0,0,2783,0,0,0,0,12037,17682,0,0,0,7129,10545,0,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+121
12772,0,0,0,0,19840,0,0,0,0,17564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12772,0,0,0,0,19840,0,0,0,0,17564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12772,0,0,0,0,19840,0,0,0,0,17564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+122
19469,849,0,0,0,9014,11500,0,0,0,3194,6150,0,0,0,0,0,0,0,0,0,0,0,0,0,19399,919,0,0,0,8436,12078,0,0,0,3214,6130,0,0,0,0,0,0,0,0,0,0,0,0,0,19474,844,0,0,0,10483,10031,0,0,0,3448,5896,0,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+123
18121,3406,0,0,0,5609,18840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,18182,3345,0,0,0,5747,18702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,18348,3179,0,0,0,5891,18558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+124
35299,0,0,0,0,9589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5288,35299,0,0,0,0,9589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5288,35299,0,0,0,0,9589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5288,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+125
0,6747,3881,0,0,0,6446,1924,0,0,0,7452,23726,0,0,0,0,0,0,0,0,0,0,0,0,0,6575,4053,0,0,0,6441,1929,0,0,0,7451,23727,0,0,0,0,0,0,0,0,0,0,0,0,0,6819,3809,0,0,0,6430,1940,0,0,0,7716,23462,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+126
10034,0,10291,0,0,1982,0,5294,0,0,0,0,22575,0,0,0,0,0,0,0,0,0,0,0,0,9684,0,10641,0,0,1980,0,5296,0,0,0,0,22575,0,0,0,0,0,0,0,0,0,0,0,0,10126,0,10199,0,0,1986,0,5290,0,0,0,0,22575,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+127
288,0,12273,0,0,0,0,7831,0,0,0,0,29784,0,0,0,0,0,0,0,0,0,0,0,0,256,0,12305,0,0,0,0,7831,0,0,0,0,29784,0,0,0,0,0,0,0,0,0,0,0,0,224,0,12337,0,0,0,0,7831,0,0,96,0,29688,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+128
0,0,3191,0,0,0,0,2041,0,0,912,0,44032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3191,0,0,0,0,2041,0,0,848,0,44096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3191,0,0,0,0,2041,0,0,848,0,44096,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+129
0,0,0,0,0,0,12695,981,0,0,0,7111,29389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12569,1107,0,0,0,6509,29991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12753,923,0,0,0,7681,28819,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+13
256,0,6204,0,0,0,0,3793,0,0,0,0,39923,0,0,0,0,0,0,0,0,0,0,0,0,96,0,6364,0,0,0,0,3793,0,0,0,0,39923,0,0,0,0,0,0,0,0,0,0,0,0,192,0,6268,0,0,0,0,3793,0,0,0,0,39923,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+130
0,5707,65,0,0,0,2413,880,0,0,0,13416,27695,0,0,0,0,0,0,0,0,0,0,0,0,0,5672,100,0,0,0,2386,907,0,0,0,12678,28433,0,0,0,0,0,0,0,0,0,0,0,0,0,5659,113,0,0,0,2396,897,0,0,0,13064,28047,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+131
0,5127,6026,0,0,0,3053,2929,0,0,0,5731,27310,0,0,0,0,0,0,0,0,0,0,0,0,0,3776,7377,0,0,0,2684,3298,0,0,0,4985,28056,0,0,0,0,0,0,0,0,0,0,0,0,0,4722,6431,0,0,0,3460,2522,0,0,0,7034,26007,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+132
0,0,0,0,0,0,13128,258,0,0,0,28608,8182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13125,261,0,0,0,28459,8331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13135,251,0,0,0,28421,8369,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+133
0,0,0,0,0,0,26487,0,0,0,0,23689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26487,0,0,0,0,23689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26487,0,0,0,0,23689,0,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+134
0,0,0,0,0,0,22195,0,0,0,768,27213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22195,0,0,0,128,27853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,22158,0,0,0,1147,26834,0,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+135
0,0,0,0,0,0,34313,0,0,0,0,15863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34313,0,0,0,0,15863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34313,0,0,0,0,15863,0,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+136
0,0,0,0,0,0,38728,0,0,0,0,11448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38728,0,0,0,0,11448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38728,0,0,0,0,11448,0,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+137
0,0,0,0,0,0,15684,0,0,0,160,29707,0,0,0,0,0,0,0,0,0,0,0,0,4625,0,0,0,0,0,0,15684,0,0,0,1,29866,0,0,0,0,0,0,0,0,0,0,0,0,4625,0,0,0,0,0,0,15684,0,0,0,256,29611,0,0,0,0,0,0,0,0,0,0,0,0,4625,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+138
0,9125,0,0,0,0,30190,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,10764,0,9125,0,0,0,0,30190,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,10764,0,9125,0,0,0,0,30190,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,10764,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+139
0,0,0,0,0,0,8445,3169,0,0,0,11086,27476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8355,3259,0,0,0,10601,27961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8598,3016,0,0,0,11459,27103,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+14
12555,14918,0,0,0,4396,14310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3997,12592,14881,0,0,0,4612,14094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3997,12719,14754,0,0,0,4928,13778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3997,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+140
