DD_minus_C0,DD_minus_UC,UC_minus_C0,replicate
0.0007032540919772456,0.002048955132953889,-0.0013457010409766434,281
-0.0012973247011676126,0.0025911809306441436,-0.003888505631811756,282
-0.002766774211130918,-0.001997727419515427,-0.0007690467916154908,283
-0.004313058416919091,-0.0006316921570749257,-0.0036813662598441654,284
0.0011037766062877985,0.0027907069933368334,-0.0016869303870490349,285
0.0008193755714672735,0.0008036246427887139,1.575092867855954e-05,286
-0.0017003362346484918,-0.0011342080979410696,-0.0005661281367074222,287
-0.0005128870535332508,0.002513909942876369,-0.0030267969964096197,288
-0.003935882847188599,-0.0003874806852550705,-0.003548402161933528,289
-0.0027006846548328634,0.0014725416044332196,-0.004173226259266083,290
0.00026225285155512257,0.0029723540773558543,-0.0027101012258007318,291
0.0009325123428313153,0.0027791902693424797,-0.0018466779265111644,292
0.0014707054049355461,0.001909427090796667,-0.0004387216858611209,293
-0.0008891332698945931,0.00013392469034079202,-0.001023057960235385,294
-0.0014442036470481145,0.00048188843563468087,-0.0019260920826827954,295
-0.004042625427429392,-0.0028477520306968707,-0.001194873396732521,296
-0.0008023306765609917,0.0006696633870258983,-0.00147199406358689,297
-0.000677383266419751,0.000566212286411405,-0.001243595552831156,298
0.0017153661150109967,0.0024182056793369267,-0.00070283956432593,299
-9.576788260901026e-05,0.002186245173943946,-0.002282013056552956,300
-0.00029703836157934926,0.0013936042561085715,-0.0016906426176879208,301
0.0007048297363199119,0.0013609027621310776,-0.0006560730258111658,302
-0.00037448718385213464,-0.0005662868621196804,0.00019179967826754574,303
-0.0037808175943807587,-0.0025677796441715417,-0.001213037950209217,304
-0.0010832516368881606,0.0006214316175819912,-0.0017046832544701518,305
0.0019731185581830513,0.003383386797279564,-0.0014102682390965127,306
-0.002811567254559444,-0.0023645696995560073,-0.00044699755500343663,307
-0.0010128838290472952,0.0010284413326442365,-0.0020413251616915318,308
0.0005393594566298621,0.000770457962899318,-0.00023109850626945594,309
0.001343576517884526,0.00361441856229916,-0.0022708420444146338,310
0.0016084721004765434,0.0017164908180691274,-0.00010801871759258397,311
0.0007535159218599041,0.0016839238640921073,-0.0009304079422322031,312
-5.579060054694551e-05,0.0011748964239473025,-0.001230687024494248,313
-0.0002613998529753525,0.0017228136153171203,-0.001984213468292473,314
0.0006864328213367354,2.858558415586021e-05,0.0006578472371808752,315
-0.003457995269319669,-0.000568247780795117,-0.002889747488524552,316
-0.00028185120470969327,0.0015132036476864785,-0.0017950548523961718,317
-0.001009129150725152,-0.0004349851008161876,-0.0005741440499089645,318
-0.0017429228391591112,-0.00013089021683443391,-0.0016120326223246773,319
0.0002790947877056027,0.003041511207323655,-0.0027624164196180523,320
0.0001595557900424538,0.002754348961078401,-0.0025947931710359473,321
-0.0024848805855197664,-2.161661267474635e-05,-0.00246326397284502,322
-0.0018899720910455775,0.0014856004030052716,-0.003375572494050849,323
-0.003656017877926465,-0.0014530534811142415,-0.0022029643968122237,324
0.0008912565738625755,0.0026209222227076,-0.0017296656488450246,325
-0.0015684815982256461,-0.0008565747459555739,-0.0007119068522700722,326
0.0010556468502379568,0.0023814577748504373,-0.0013258109246124805,327
-0.0010237664271233182,0.0014945056164968884,-0.0025182720436202066,328
0.0022322092861196685,0.0042077236553893504,-0.001975514369269682,329
-0.0035677974427640313,-0.0012938705710315856,-0.0022739268717324457,330
0.00021012194692027197,0.0007825285378421087,-0.0005724065909218368,331
-0.002104320368277013,-0.001529238919338649,-0.0005750814489383638,332
-0.0024804375962322878,9.038873720468299e-05,-0.0025708263334369708,333
0.0010481090325645814,0.0031222588624355563,-0.002074149829870975,334
0.0009741775209920478,0.0025306753635501167,-0.0015564978425580689,335
0.00014025303989306792,-0.0003041307853032249,0.0004443838251962928,336
-0.0008966687964061526,0.00014616390149102543,-0.001042832697897178,337
0.0014625729930286546,0.0019443942883805576,-0.000481821295351903,338
-0.0016400327570458284,0.0004951765405307729,-0.0021352092975766013,339
-0.0021962708685095977,-3.052248489632259e-05,-0.002165748383613275,340
-0.0011240552728579711,0.0011128763418296606,-0.0022369316146876317,341
0.0027234727447922324,0.004110127294503774,-0.0013866545497115412,342
-5.51115891334053e-06,0.002473950570187622,-0.0024794617291009624,343
-0.0001765086804151883,0.0007966323673416209,-0.0009731410477568092,344
