ResidualBeneficial_prevalence,ResidualBeneficial_binary_prevalence,CoverageHeadroom_rate,ResidualBeneficial_count_equivalent,residual_utility:all:S_D_sym:image_AUROC,residual_utility:all:Delta_sym:image_AUROC,residual_utility:all:q:image_AUROC,residual_utility:all:deep_confidence_advantage:image_AUROC,residual_utility:all:deep_entropy_advantage:image_AUROC,residual_utility:Top20:S_D_sym:image_AUROC,residual_utility:Bottom80:S_D_sym:image_AUROC,residual_utility:class0:S_D_sym:image_AUROC,residual_utility:class1:S_D_sym:image_AUROC,residual_utility:class2:S_D_sym:image_AUROC,residual_utility:class3:S_D_sym:image_AUROC,residual_utility:boundary:S_D_sym:image_AUROC,residual_utility:interior:S_D_sym:image_AUROC,rejected_winner:all:S_D_sym:image_AUROC,rejected_winner:all:Delta_sym:image_AUROC,rejected_winner:all:q:image_AUROC,rejected_winner:all:deep_confidence_advantage:image_AUROC,rejected_winner:all:deep_entropy_advantage:image_AUROC,rejected_winner:Top20:S_D_sym:image_AUROC,rejected_winner:Bottom80:S_D_sym:image_AUROC,rejected_winner:class0:S_D_sym:image_AUROC,rejected_winner:class1:S_D_sym:image_AUROC,rejected_winner:class2:S_D_sym:image_AUROC,rejected_winner:class3:S_D_sym:image_AUROC,rejected_winner:boundary:S_D_sym:image_AUROC,rejected_winner:interior:S_D_sym:image_AUROC,ctx_sym_rejected_BothWrong_accuracy,ThirdClassRescueRate,ThirdClassRescuePrecision,Rejected_Deep_Win:ctx_accuracy,Rejected_Deep_Win:third_intrusion,Rejected_Shallow_Win:ctx_accuracy,Rejected_Shallow_Win:third_intrusion
0.405824138812384,0.40582607760937334,0.24469716937515393,173345.18766554468,0.5043517896154454,0.48878572739903753,0.9071402730909924,0.6653080034837988,0.6338611698999094,0.5264345653507417,0.5959238772747198,0.5062717481458396,0.5698500337714112,0.4077232407066052,0.4979113372687547,0.394009461247934,0.5320846860666018,0.6148808717607525,0.6686643406047054,0.49617437232629363,0.6508681626422639,0.6359590590626186,0.6778777016851847,0.5690438034169065,0.6344763528371397,0.7164459394468843,0.34545425765774157,0.22685243502736094,0.5475554558596755,0.6234293467099619,0.34268783326809676,0.34268783326809676,0.8536480103578079,0.6531215229404119,0.08546904657272957,0.7314967951675527,0.05610408784719018
0.401885519140533,0.4018900697736038,0.24869983449253955,176180.70365335647,0.4955505903559518,0.48319611597841594,0.9077855264373543,0.6654547882682541,0.6345599623671923,0.5203463336809088,0.5926362607225165,0.4935991365008484,0.5658746761899973,0.4283502414381067,0.43669475987611894,0.3911345184959838,0.5244446789021571,0.6090110972163997,0.6652506576421536,0.4981251201004344,0.6470260313507425,0.6343470458561317,0.671965238839841,0.5580672007379344,0.6358646546415336,0.7226517478096329,0.3550297869195335,0.30198136537269277,0.5371646327565631,0.6204694769306515,0.3335183735871722,0.3335183735871722,0.8448947598957973,0.6414160367411855,0.09010168158830573,0.719979043209221,0.06489525144608936
0.4076391032456471,0.40764562773809415,0.2503039594758138,177317.07702038283,0.49719026682824286,0.47900672568611147,0.9050579153002355,0.6612112736906053,0.6281500896346258,0.5227059403491241,0.5898414401477987,0.49230922596996574,0.5633088982364264,0.413016118659119,0.46298419902919824,0.38085015620333745,0.5266538344826271,0.6036586358900717,0.6548074269990003,0.5021731858624368,0.647710304478412,0.6375446623385445,0.6596928018662808,0.5655986771830661,0.6272184350827871,0.7224460953351117,0.3488991509413967,0.3316004266535048,0.5421744919076726,0.6132894584247962,0.3268679662997356,0.3268679662997356,0.8349487111013368,0.6319882284746065,0.09653542604895884,0.7369543091354221,0.058323934750914644
0.4035415307298247,0.4035433981822557,0.24671143370032494,174772.10661334608,0.508107139346343,0.4937185477967631,0.906570692508626,0.6653052197748733,0.6342170029641858,0.5237966117567594,0.6012779261351333,0.4976490171549206,0.572590591364817,0.4155594615440659,0.4949455610342269,0.3880721249481628,0.5355825803951074,0.6170776519047433,0.6710540562424236,0.4956205553320132,0.6507195437577504,0.6363206627725719,0.6842398032959309,0.5657867920145675,0.6371503822296496,0.7237767005340738,0.3608694876000017,0.30124568498385973,0.5528536033091556,0.6241713863018459,0.3387022506225626,0.3387022506225626,0.852080378250591,0.6548374815168982,0.08934753543885746,0.7222149468939326,0.06060501630056449
0.40683725922160086,0.40684369407639054,0.2517498161399741,178341.33200227065,0.5006965810618242,0.48165168671134656,0.9075797857111247,0.6667448801830422,0.6347589532594036,0.5210485456788991,0.5963043719427032,0.49314451287551025,0.5686651032519846,0.40887115571256744,0.5070384646213383,0.382758813916406,0.5310550070326931,0.6133822769934508,0.6718511097779439,0.5052216603106726,0.654366317939897,0.6424232244007202,0.6838957065065719,0.5639120084797793,0.6262640352054344,0.7217250059761188,0.35071166171913243,0.31171787404215434,0.5371117400031991,0.6252859254847993,0.3456228088108308,0.3456228088108308,0.8577183444139874,0.6539419376186413,0.08475122342000313,0.7307879016707345,0.06013430601815019
0.4068921061022805,0.4068949063581057,0.24852598305160742,176057.54607564004,0.5109177103644331,0.49273957702896704,0.9086187151020733,0.672178928138861,0.639434888187575,0.5333319908213039,0.5993626922255547,0.5082316837047072,0.5698294739034978,0.41118483015190854,0.5176981538024961,0.386825089744395,0.5383880180937289,0.6158014195662649,0.6671783522035399,0.49950299933678466,0.654986294010893,0.639807748849732,0.6779871136867568,0.5700690697531212,0.6465839085794164,0.717459955249208,0.33338176581886697,0.29611323308927395,0.5399885086926852,0.6272114180401123,0.34368036498460064,0.34368036498460064,0.8578731789055591,0.6540577475646506,0.08716448244446001,0.7321483191057476,0.05491060256374607
0.3972352346835676,0.39724070782641446,0.24673129668430038,174786.17769023517,0.49355527193236415,0.4793080009006981,0.9061207267505987,0.6636367104687776,0.6298672445867828,0.5175515347755615,0.5851529545572979,0.48738086618035864,0.5566075951915512,0.40581894636403953,0.49714306870815556,0.3780287838462277,0.5204634879895887,0.6028921116932295,0.6563401071128587,0.5005843803536173,0.6569167181255219,0.6404729297132817,0.6637902518595884,0.5523250398297955,0.6187773930651294,0.7233288291721253,0.35551577697014236,0.26123794499713016,0.5341569518846333,0.6114238009188816,0.32982632493510555,0.32982632493510555,0.8468505331077625,0.6507725703190116,0.08855020562185728,0.7171993618659919,0.06515430740455495
0.41769976229658073,0.41770167170264993,0.25634652340407627,181597.67160511145,0.5052334383765286,0.4879753859040125,0.9048524043214341,0.6605525797942068,0.6307748714750236,0.5303774787226958,0.6010918262211655,0.4986013513850334,0.5691615400873007,0.4025227194096762,0.5063162866961338,0.38629261862311487,0.5324931983300675,0.609891847969822,0.6641463314208893,0.5039513625124425,0.6540928345177357,0.6406560885423327,0.6727552791358681,0.5659928492628384,0.6327326317950177,0.731354094678524,0.32399601980934795,0.3327166408666398,0.547804793240739,0.6171347905266421,0.32850209986000933,0.32850209986000933,0.8427601177982267,0.6492806065305419,0.09013526320323942,0.7272453791154206,0.05972519553932474
0.40943280237920615,0.4094357177781892,0.24897847250788427,176378.09277389277,0.5007386361904117,0.48654504879839916,0.905418823516097,0.6665231828553945,0.633852255989065,0.5286401957491103,0.5979368978045049,0.48786903126577336,0.559901033240043,0.4401990321642656,0.4665371462239695,0.3856851619383294,0.5318769026727056,0.6166999886975354,0.6744937175238751,0.49684693734292157,0.6599119300266567,0.643861670000246,0.6807214767553653,0.568175861234232,0.6313577329241651,0.7264025839858178,0.37025800134614184,0.284440558533563,0.5466524476970068,0.62768627742827,0.3443222270596973,0.3443222270596973,0.8525320418823268,0.6433574136459185,0.08813027234925326,0.7336561244462759,0.0586586999072834
0.4171517482501387,0.417154628734521,0.25510815954236293,180720.4059769267,0.5077628952583129,0.4885654509270195,0.9088992995298515,0.6624111008500533,0.6300390444740159,0.5304561298101329,0.5982643195559112,0.49410988075226925,0.5641848629911278,0.42605701569634863,0.5216790594191888,0.38397093193648996,0.5356612692493627,0.6107836696555822,0.6679664363202078,0.5085383734036377,0.6556751309206922,0.6445513678531692,0.6821810804185222,0.5561062456480301,0.6378711631512136,0.7262667416445452,0.3617863854242613,0.3267855239483985,0.5407219548554145,0.6207406931076457,0.3449289425018666,0.3449289425018666,0.8571081885079067,0.6686032603123612,0.08102081268582755,0.726455119833398,0.05899544668384455
