population,group,score,auroc,auprc,positive,negative,prevalence,image_auroc,eligible_images,images_with_targets,targets,zero_excluded
residual_utility,class1,deep_entropy_advantage,0.6045865813202763,0.4848788726056807,55209,91637,0.37596529697778625,0.6192358126990607,1999,2427,146846,3
residual_utility,class2,S_D_sym,0.3567428929155968,0.3518859653227565,44961,54857,0.4504297822036106,0.40958667569149915,818,917,99818,1
residual_utility,class2,Delta_sym,0.372832471441728,0.39133816568012925,44961,54857,0.4504297822036106,0.38608050096091523,818,917,99818,1
residual_utility,class2,q,0.9178508075048234,0.9271083887591176,44961,54857,0.4504297822036106,0.9261333372676869,818,917,99818,1
residual_utility,class2,deep_confidence_advantage,0.6888503940048137,0.6681748976792293,44961,54857,0.4504297822036106,0.6991973690074649,818,917,99818,1
residual_utility,class2,deep_entropy_advantage,0.6476428873004669,0.6220447254455973,44961,54857,0.4504297822036106,0.6715401108113631,818,917,99818,1
residual_utility,class3,S_D_sym,0.4380796734255921,0.5785471743916432,50787,27061,0.6523867022916453,0.4856861999899545,341,382,77848,0
residual_utility,class3,Delta_sym,0.4439169364742539,0.6296668211345623,50787,27061,0.6523867022916453,0.40905872846320473,341,382,77848,0
residual_utility,class3,q,0.9588031903794149,0.9812964601215947,50787,27061,0.6523867022916453,0.9342494357268886,341,382,77848,0
residual_utility,class3,deep_confidence_advantage,0.7933098271010387,0.8842685221503347,50787,27061,0.6523867022916453,0.7242268755805233,341,382,77848,0
residual_utility,class3,deep_entropy_advantage,0.7883464987238118,0.884948632850105,50787,27061,0.6523867022916453,0.7145013500295395,341,382,77848,0
residual_utility,boundary,S_D_sym,0.32774943560032455,0.23586005383355843,24865,51586,0.32524100404180456,0.38337904541842116,1819,2096,76451,1
residual_utility,boundary,Delta_sym,0.3543460055524584,0.2619559167908732,24865,51586,0.32524100404180456,0.40366780173543443,1819,2096,76451,1
residual_utility,boundary,q,0.894322962810482,0.8686749298574783,24865,51586,0.32524100404180456,0.8927887695101693,1819,2096,76451,1
residual_utility,boundary,deep_confidence_advantage,0.6434396257372099,0.49299853082642164,24865,51586,0.32524100404180456,0.6288731750465666,1819,2096,76451,1
residual_utility,boundary,deep_entropy_advantage,0.6041960990153248,0.45646952274228014,24865,51586,0.32524100404180456,0.5904743584526045,1819,2096,76451,1
residual_utility,interior,S_D_sym,0.4541834066733192,0.37269553199605593,153000,205730,0.4265046134976166,0.5284992691343946,2836,3185,358730,3
residual_utility,interior,Delta_sym,0.46846304951378304,0.42532256358422077,153000,205730,0.4265046134976166,0.5065500431052712,2836,3185,358730,3
residual_utility,interior,q,0.9200431065655251,0.9251220899228717,153000,205730,0.4265046134976166,0.9070617557362383,2836,3185,358730,3
residual_utility,interior,deep_confidence_advantage,0.6938555014520269,0.6557093511460101,153000,205730,0.4265046134976166,0.668173458349664,2836,3185,358730,3
residual_utility,interior,deep_entropy_advantage,0.6691467961529627,0.6426764378763085,153000,205730,0.4265046134976166,0.63845284061655,2836,3185,358730,3
rejected_winner,all,S_D_sym,0.5868164210141275,0.46369668091792654,113204,144662,0.43900320321407243,0.6082740385462052,2468,3244,257866,0
rejected_winner,all,Delta_sym,0.6911004858923515,0.5962205949269596,113204,144662,0.43900320321407243,0.6645100372129913,2468,3244,257866,0
rejected_winner,all,q,0.5756704203617834,0.46294059212197314,113204,144662,0.43900320321407243,0.5036364141485021,2468,3244,257866,0
rejected_winner,all,deep_confidence_advantage,0.7130984008657916,0.6495588382483989,113204,144662,0.43900320321407243,0.6541637680614463,2468,3244,257866,0
rejected_winner,all,deep_entropy_advantage,0.7140628726669728,0.6561568298165339,113204,144662,0.43900320321407243,0.641551489389405,2468,3244,257866,0
rejected_winner,Top20,S_D_sym,0.6936490679495727,0.6323798232672424,82555,82063,0.5014943687810568,0.6747321730582181,2233,3046,164618,0
rejected_winner,Top20,Delta_sym,0.7529691903247122,0.7115680267607084,82555,82063,0.5014943687810568,0.696861577813298,2233,3046,164618,0
rejected_winner,Top20,q,0.5004745927193958,0.4744081566320492,82555,82063,0.5014943687810568,0.42498244038116456,2233,3046,164618,0
rejected_winner,Top20,deep_confidence_advantage,0.6988316280885055,0.6876517026481054,82555,82063,0.5014943687810568,0.6240115540890039,2233,3046,164618,0
rejected_winner,Top20,deep_entropy_advantage,0.704209846685319,0.6971305559634627,82555,82063,0.5014943687810568,0.6136590647310426,2233,3046,164618,0
rejected_winner,Bottom80,S_D_sym,0.5308619930004249,0.33189052473471503,30649,62599,0.3286826527110501,0.5617236236985248,2314,3206,93248,0
rejected_winner,Bottom80,Delta_sym,0.6415052860161963,0.4465957984735793,30649,62599,0.3286826527110501,0.6324020989510777,2314,3206,93248,0
rejected_winner,Bottom80,q,0.5648781347279578,0.35552219178416533,30649,62599,0.3286826527110501,0.552205082447515,2314,3206,93248,0
rejected_winner,Bottom80,deep_confidence_advantage,0.6891893530054247,0.5044961401814868,30649,62599,0.3286826527110501,0.6672597289481775,2314,3206,93248,0
rejected_winner,Bottom80,deep_entropy_advantage,0.6813352030950041,0.49425428165228646,30649,62599,0.3286826527110501,0.6608725832300174,2314,3206,93248,0
rejected_winner,class0,S_D_sym,0.6053264239387944,0.16232686392364432,11243,70260,0.13794584248432573,0.6322522159958066,1160,1800,81503,0
rejected_winner,class0,Delta_sym,0.6873936628412038,0.23655646952078457,11243,70260,0.13794584248432573,0.6813780024061353,1160,1800,81503,0
rejected_winner,class0,q,0.5149603723444052,0.12985665935314444,11243,70260,0.13794584248432573,0.47956940427804123,1160,1800,81503,0
rejected_winner,class0,deep_confidence_advantage,0.7094040960527825,0.24489797874397543,11243,70260,0.13794584248432573,0.6787266034264218,1160,1800,81503,0
rejected_winner,class0,deep_entropy_advantage,0.7032626114021442,0.24144725351254126,11243,70260,0.13794584248432573,0.6625481540171436,1160,1800,81503,0
rejected_winner,class1,S_D_sym,0.7288009718067546,0.4842750985116709,33732,69126,0.32794726710610744,0.7212493756782927,1663,2428,102858,0
rejected_winner,class1,Delta_sym,0.7603403200937,0.55671479672465,33732,69126,0.32794726710610744,0.7491329706048546,1663,2428,102858,0
rejected_winner,class1,q,0.36846965487629507,0.2485646983428334,33732,69126,0.32794726710610744,0.37722742413560756,1663,2428,102858,0
rejected_winner,class1,deep_confidence_advantage,0.6047783767403893,0.37874802966455107,33732,69126,0.32794726710610744,0.58595601980883,1663,2428,102858,0
rejected_winner,class1,deep_entropy_advantage,0.571538511888054,0.34902056558843453,33732,69126,0.32794726710610744,0.5498126626297485,1663,2428,102858,0
rejected_winner,class2,S_D_sym,0.37644956157800413,0.7814020354237691,27628,4991,0.8469910175051351,0.3481276551901997,624,839,32619,0
rejected_winner,class2,Delta_sym,0.42418918843262016,0.8172847403868545,27628,4991,0.8469910175051351,0.41520233636096293,624,839,32619,0
rejected_winner,class2,q,0.6963596693535841,0.9034595290483104,27628,4991,0.8469910175051351,0.7116513633320525,624,839,32619,0
rejected_winner,class2,deep_confidence_advantage,0.662251579410189,0.9046708188861736,27628,4991,0.8469910175051351,0.6457290407434488,624,839,32619,0
