image_id,class,entropy,normalized_entropy,effective_query_count,dominant_share,top1_mass,top3_mass,top5_mass,top10_mass,top20_mass,gini,diffuseness_bin,weighted_target_purity,weighted_rival_mass,weighted_bg_mass,contribution_target_fraction,contribution_rival_fraction,contribution_bg_fraction,contribution_entropy,effective_contribution_count,pure_basis_fraction,best_basis_purity
TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+122,0,5.261673308986869,0.996884995627199,192.80384192732825,0.006571185951048132,0.006571185951048132,0.019664718364701284,0.032524500447399345,0.06415867465041754,0.1269376018545181,0.10121457478817497,very_diffuse,0.9999999403953552,0.0,0.0,1.0,0.0,0.0,5.257702350616455,192.03974400196213,1.0,1.0
TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+123,0,5.261512679668641,0.9968545625410312,192.77287446485553,0.006563711271110218,0.006563711271110218,0.019671805612163955,0.03254865025219404,0.06415042353816622,0.12698359666249553,0.10174836965436596,very_diffuse,1.0000001192092896,0.0,0.0,1.0,0.0,0.0,5.2591094970703125,192.31016226116105,1.0,1.0
TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+124,0,5.261722225411791,0.9968942634108833,192.8132734326625,0.00659456351457246,0.00659456351457246,0.01972851759619293,0.0325879415254701,0.06418387966637235,0.12692691200833223,0.1010780315383788,very_diffuse,0.9999999403953552,0.0,0.0,1.0,0.0,0.0,5.254593849182129,191.44371504066635,1.0,1.0
TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+125,0,5.261666047961934,0.9968836199418637,192.80244197890698,0.006554430039133279,0.006554430039133279,0.019635498054135895,0.03248894756692083,0.0640275069667907,0.12681338861774472,0.10114378929380852,very_diffuse,1.0,0.0,0.0,1.0,0.0,0.0,5.2564802169799805,191.80518912917165,1.0,1.0
TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+126,0,5.26162602877774,0.9968760378435619,192.79472633685623,0.006598026162764134,0.006598026162764134,0.019725018589647175,0.0326297303903955,0.06425920774207206,0.1270199858827467,0.10141560437444497,very_diffuse,0.9999999403953552,0.0,0.0,1.0,0.0,0.0,5.248090744018555,190.20277578141645,1.0,1.0
TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+127,0,5.261577633614232,0.9968668688188946,192.78539623031958,0.006547685364301264,0.006547685364301264,0.019603073948397463,0.03245835623221784,0.06414347210411153,0.12698957318863766,0.10153805421196349,very_diffuse,1.0,0.0,0.0,1.0,0.0,0.0,5.2453484535217285,189.6818990410116,1.0,1.0
TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+128,0,5.261701511621945,0.9968903389433066,192.80927958040112,0.006566979559135537,0.006566979559135537,0.019686335539208837,0.032564173494884656,0.06419285812902299,0.12697439326608656,0.10112725363507735,very_diffuse,1.0,0.0,0.0,1.0,0.0,0.0,5.246869087219238,189.97055514297656,1.0,1.0
TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+129,0,5.261569459626744,0.9968653201622216,192.78382041134333,0.006558503590724719,0.006558503590724719,0.019634483683825452,0.032475638236708966,0.06414733925688182,0.1271466972287004,0.10153953512189196,very_diffuse,1.0,0.0,0.0,1.0,0.0,0.0,5.249266624450684,190.42656305134446,1.0,1.0
TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+13,0,5.133121815043186,0.9725294250791306,169.54558268179292,0.00938397004429986,0.00938397004429986,0.02742588550461405,0.044926647595044125,0.08759613432264092,0.1692004269124405,0.2717760150896884,very_diffuse,0.8510461449623108,0.1489538699388504,0.0,0.9269576072692871,0.07304216176271439,0.0,5.003307342529297,148.90482486094595,0.6479591836734694,0.9999274015426636
TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+13,1,3.9630976458635594,0.7508547846592877,52.62007210267873,0.05869333924702221,0.05869333924702221,0.1511944932267076,0.22602602130652572,0.39265848102506035,0.6229192559572708,0.8013444913605918,moderate,0.152362659573555,0.8476372957229614,0.0,0.14350855350494385,0.8564914464950562,0.0,4.142500877380371,62.96008016520725,0.0,0.21994048357009888
