image_id,class,k,mode,mean_selected_purity,soft_iou,hard_iou
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,2,10,purity_weighted,0.9134782552719116,0.39738525900316257,0.4077429983491949
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,1,1,equal,0.6818310022354126,0.2609748783398716,0.2644305772210263
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,1,1,purity_weighted,0.6818310022354126,0.2609748758639831,0.2644305772210263
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,1,3,equal,0.6788069605827332,0.27125562090501376,0.2741935483849909
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,1,3,purity_weighted,0.6788069605827332,0.27123766576938163,0.2741935483849909
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,1,5,equal,0.6758819222450256,0.2846971400978339,0.2874524714807038
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,1,5,purity_weighted,0.6758819222450256,0.2845963040155189,0.2866920152069453
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,1,10,equal,0.6726447939872742,0.29607401921821275,0.30045180722665327
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,1,10,purity_weighted,0.6726447939872742,0.295968485287206,0.30045180722665327
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,2,1,equal,0.9956153631210327,0.30255489742991154,0.3002710027083996
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,2,1,purity_weighted,0.9956153631210327,0.3025548971827942,0.3002710027083996
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,2,3,equal,0.9950251579284668,0.28237840069166453,0.28672086720711804
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,2,3,purity_weighted,0.9950251579284668,0.28238438882480715,0.28672086720711804
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,2,5,equal,0.994688868522644,0.29542198130864483,0.2981029810281946
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,2,5,purity_weighted,0.994688868522644,0.29541871939570763,0.2981029810281946
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,2,10,equal,0.9941551089286804,0.29278502799014466,0.2975609756081433
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,2,10,purity_weighted,0.9941551089286804,0.29277984177452965,0.2975609756081433
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,1,1,equal,0.673618495464325,0.27346614125328295,0.2599693251513806
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,1,1,purity_weighted,0.673618495464325,0.2734661090857646,0.2599693251513806
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,1,3,equal,0.6727827191352844,0.2999356136867633,0.2999246420474761
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,1,3,purity_weighted,0.6727827191352844,0.29993481774927433,0.2999246420474761
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,1,5,equal,0.6720646619796753,0.310685748805251,0.31184407795868185
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,1,5,purity_weighted,0.6720646619796753,0.31066776610487096,0.31207801950253505
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,1,10,equal,0.6709098219871521,0.3007682035013031,0.30421686746758875
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,1,10,purity_weighted,0.6709098219871521,0.30076884383844205,0.30421686746758875
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,2,1,equal,0.9767888188362122,0.1752491699230535,0.16691880988317237
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,2,1,purity_weighted,0.9767888188362122,0.17524917628699427,0.16691880988317237
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,2,3,equal,0.9750392436981201,0.16606774835370788,0.15800100959031801
