snapshot,stage,positive_recall,positive_confidence,positive_F_median,rival_leakage,background_leakage,probability_gap,rival_gap,background_gap,empty_fraction,median_area,fraction_area_lt_001,fraction_area_gt_090,component_p90,permutation
epoch2,2,0.919921875,0.5719847370558804,0.6024724543094635,0.4832331513054669,0.002567184955946037,0.2827736029379881,0.046348137247315235,0.5269394796479576,0.0,0.34518493711948395,0.07142857142857142,0.0,7.0,4
epoch2,2,0.935865730047226,0.5711767215525855,0.5871781408786774,0.47754055828683906,0.002504196797250485,0.280314385979902,0.04233307134662545,0.5260870490823161,0.0,0.33673468232154846,0.05357142857142857,0.0,6.5,5
epoch2,2,0.933314710855484,0.5684798095260396,0.6029295325279236,0.4766015869668788,0.0024801130900729677,0.2740820099688605,0.03261672188670073,0.523452709471862,0.017857142857142856,0.33848851919174194,0.05357142857142857,0.0,6.5,6
epoch2,2,0.9435164630413055,0.5737080731037979,0.6118377447128296,0.47494441088702943,0.002504196797250485,0.28320442491280895,0.04582437122489158,0.5283561421901775,0.0,0.3376913219690323,0.05357142857142857,0.0,7.0,7
epoch2,3,0.7651313245296478,0.5860547344132676,0.5968959927558899,0.5290932909068135,0.004542037388499902,0.2982895082663136,0.06396749632987742,0.5402830655583148,0.03571428571428571,0.30325254797935486,0.03571428571428571,0.0,6.0,0
epoch2,3,0.74598228931427,0.5827418333793191,0.5907371342182159,0.5069920876477327,0.004543799222732077,0.2952299368257372,0.0616429914492701,0.5364643619720928,0.017857142857142856,0.2930484563112259,0.07142857142857142,0.0,7.0,1
epoch2,3,0.9049005508422852,0.5845382792175883,0.5867142677307129,0.4988258149474859,0.004338271678330338,0.2949728590083178,0.05926740925020857,0.5383951469474841,0.017857142857142856,0.2908163219690323,0.05357142857142857,0.0,7.0,2
epoch2,3,0.9071732759475708,0.588234130383685,0.5909248888492584,0.4851192865520716,0.0041771545930176365,0.30117410074028494,0.0678122694534965,0.5421760417127992,0.017857142857142856,0.296875,0.03571428571428571,0.0,6.5,3
epoch2,3,0.8699222207069397,0.5810630422377397,0.587161123752594,0.5117707287685739,0.004490093556137717,0.29085193073622867,0.05436885322565177,0.5350773054384076,0.0,0.2979910671710968,0.05357142857142857,0.0,7.0,4
epoch2,3,0.856876403093338,0.5866046108121481,0.5939532220363617,0.5098031021654605,0.004338271668827047,0.29869265623122015,0.06509212877499104,0.5399411081255107,0.03571428571428571,0.3053252547979355,0.05357142857142857,0.0,7.0,5
epoch2,3,0.6541023850440979,0.5810603534918016,0.5855459570884705,0.5361320015974342,0.00454379924173866,0.2894519385029488,0.05123067973038864,0.5354724013546769,0.017857142857142856,0.2930484712123871,0.05357142857142857,0.0,7.0,6
epoch2,3,0.9153204560279846,0.5850483033949635,0.5934901535511017,0.5077192689395613,0.004196054881856758,0.2932801970400893,0.055157141604881055,0.5391992414431308,0.0,0.2997448891401291,0.03571428571428571,0.0,7.0,7
epoch3,2,0.9496922791004181,0.5928649150248343,0.6092788577079773,0.4705461093535026,0.0028054121934439776,0.32793297870807925,0.06717998015136817,0.5514494379481533,0.0,0.31281888484954834,0.0,0.0,6.5,0
epoch3,2,0.9378094375133514,0.5933540356618786,0.600623607635498,0.4804603815492656,0.0027709022419140587,0.3277682361888609,0.0661562903692533,0.5520209816919474,0.0,0.30389030277729034,0.0,0.0,7.0,1
epoch3,2,0.9435113072395325,0.5948595951977208,0.6016183197498322,0.4772247276786301,0.0026624733669999637,0.33121653860464373,0.07191624320429524,0.5534877463322355,0.0,0.30596300959587097,0.017857142857142856,0.0,7.0,2
epoch3,2,0.9538567066192627,0.5948038535275462,0.6064677834510803,0.44968925006687643,0.002743346651770034,0.3311126119491746,0.07174929095610105,0.5534378449704557,0.0,0.30835457146167755,0.0,0.0,6.5,3
epoch3,2,0.8983773291110992,0.5917413121597458,0.6027850806713104,0.49838527693516677,0.0028054121934439776,0.32771252566862963,0.06812547585697692,0.5502295381656429,0.0,0.3029336631298065,0.0,0.0,7.0,4
epoch3,2,0.906559407711029,0.591256184222561,0.5958365797996521,0.4770988343490495,0.002849677735763901,0.32528025882000405,0.06343470390858952,0.5497332531307206,0.0,0.3075573891401291,0.017857142857142856,0.0,7.0,5
epoch3,2,0.7317193746566772,0.5896732490569911,0.610882431268692,0.4970938132454952,0.0028232121927979983,0.32247491348199714,0.05903018547905481,0.5482987127656528,0.0,0.3120216727256775,0.017857142857142856,0.0,7.0,6
epoch3,2,0.9528557062149048,0.5937566482161174,0.6071013808250427,0.4806706955656409,0.002885277734471942,0.32905746559112725,0.06883083860934047,0.552122721158289,0.0,0.3207908123731613,0.0,0.0,7.0,7
epoch3,3,0.7585403621196747,0.6012606432846372,0.6153487265110016,0.4847263328006698,0.004095062613487244,0.335153169533842,0.08079535524967174,0.5531877016141207,0.0,0.29225127398967743,0.017857142857142856,0.0,7.0,0
epoch3,3,0.7277777791023254,0.5970965568079373,0.6076017618179321,0.497885444201529,0.004238001439931258,0.3310573960465039,0.07688491819376164,0.5489330584564422,0.0,0.2917729467153549,0.017857142857142856,0.0,6.5,1
epoch3,3,0.7137077450752258,0.5975563953073345,0.591289222240448,0.48748631148288646,0.004095062613487244,0.3301571816961874,0.0743820065976527,0.5494066699704347,0.017857142857142856,0.3029336631298065,0.017857142857142856,0.0,7.0,2
epoch3,3,0.7807367146015167,0.6027285041027638,0.6128698289394379,0.4521732852069868,0.004095062613487244,0.33810803847619686,0.08537511547203502,0.5547497200520984,0.0,0.29496173560619354,0.017857142857142856,0.0,7.0,3
epoch3,3,0.7817028760910034,0.5964647039122007,0.5978246629238129,0.48222189384202163,0.004095062613487244,0.32907508838150273,0.07307480790899623,0.5485175361094269,0.0,0.28443875908851624,0.0,0.0,7.0,4
epoch3,3,0.833695650100708,0.6008855370682966,0.6014224886894226,0.45434923004359007,0.004095062613487244,0.33617526781582957,0.08359686497543695,0.5526844953065315,0.0,0.29496172070503235,0.0,0.0,7.0,5
epoch3,3,0.666847825050354,0.5958605520059373,0.5873300135135651,0.5128113109411465,0.004238001439931258,0.3256888298038136,0.0663751001552002,0.547971553316924,0.0,0.28922194242477417,0.0,0.0,6.5,6
epoch3,3,0.8953557014465332,0.5999046949478573,0.6116355061531067,0.45910023047278326,0.004095062613487244,0.3310280984222987,0.07319514134574501,0.5520415094286362,0.0,0.3046874850988388,0.017857142857142856,0.0,7.0,7
epoch4,2,0.9501686096191406,0.5889334962185686,0.5971436500549316,0.4642259663177861,0.001139632925125105,0.3824654520671501,0.06792433631563011,0.5625920772748162,0.0,0.28890305757522583,0.017857142857142856,0.0,6.0,0
epoch4,2,0.946558266878128,0.5884762664894537,0.5950787663459778,0.4694270787139734,0.0012133017381919281,0.3827211860267484,0.06927042387672855,0.5622234041070601,0.0,0.27598850429058075,0.017857142857142856,0.0,6.0,1
epoch4,2,0.9586431682109833,0.590088072141603,0.6022371053695679,0.4672546690950791,0.001157427630719862,0.3852438919051536,0.07337415035086736,0.5638407151418918,0.0,0.2796556055545807,0.017857142857142856,0.0,6.0,2
epoch4,2,0.94910928606987,0.5908014833059454,0.6062009632587433,0.43569854953222803,0.0011708517059949891,0.38606927567002713,0.07428620683810383,0.5646164644895301,0.0,0.28826530277729034,0.017857142857142856,0.0,6.0,3
epoch4,2,0.9250206351280212,0.586236134597069,0.5899311602115631,0.4885364251832167,0.001197583956776985,0.3804369572897702,0.06727311510144607,0.5597748664075429,0.0,0.2796556055545807,0.0,0.0,6.0,4
epoch4,2,0.9380548894405365,0.5849888046478421,0.5925515294075012,0.4688251500328382,0.0012133017381919281,0.3784388417488772,0.06398210402095716,0.5585171466325168,0.0,0.28220662474632263,0.017857142857142856,0.0,6.0,5
