image_id,UDT,RG,ADT,SDT,ADT_active_count,RG_active_count
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+46,0.9882329106330872,1.061456322669983,1.0127100944519043,1.087530255317688,155,155
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+47,0.761921226978302,0.7346586585044861,0.9521499872207642,1.4502313137054443,245,245
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+48,1.0123289823532104,0.770811140537262,1.2310370206832886,1.342492699623108,108,108
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+49,0.9935831427574158,0.9380103945732117,0.9858957529067993,1.3000009059906006,215,215
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+5,1.2107641696929932,1.215246319770813,1.3072034120559692,1.8179994821548462,284,284
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+50,0.8535912036895752,0.7371128797531128,1.0544283390045166,1.753559947013855,151,151
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+51,1.3640727996826172,1.3594449758529663,1.8984979391098022,2.4181697368621826,153,153
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+52,1.0182816982269287,1.093149185180664,1.2128187417984009,1.5219995975494385,178,178
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+53,1.4571678638458252,1.3026998043060303,1.7468039989471436,2.259453773498535,302,302
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+54,1.3949975967407227,1.4241713285446167,1.554384708404541,1.9941539764404297,348,348
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+55,1.5696111917495728,1.6401636600494385,1.7158526182174683,2.408770799636841,379,379
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+56,1.3636072874069214,1.2557238340377808,1.525242567062378,2.192938804626465,335,335
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+57,1.5161770582199097,1.4984415769577026,1.6685665845870972,1.999847173690796,223,223
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+58,1.008021354675293,0.935513436794281,1.326027274131775,1.659959316253662,119,119
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+59,1.1250226497650146,1.305059790611267,1.1936389207839966,1.260929822921753,193,193
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+6,1.5001146793365479,1.1257452964782715,1.044776439666748,1.3191641569137573,267,267
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+60,0.9033116102218628,0.9579780101776123,1.1764297485351562,1.415284276008606,157,157
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+61,1.187572717666626,1.2861896753311157,1.225006341934204,1.875484824180603,179,179
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+62,0.9705749154090881,0.9830161929130554,1.2326996326446533,1.5835540294647217,153,153
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+63,1.4135078191757202,1.0078341960906982,1.4607114791870117,1.7609888315200806,131,131
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+64,0.7044058442115784,0.6742298007011414,0.8298631310462952,1.1506619453430176,287,287
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+65,0.9558970332145691,0.9840835332870483,1.378008484840393,1.8303980827331543,168,168
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+66,1.081693410873413,1.1645926237106323,0.7128649353981018,1.0875858068466187,141,141
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+67,1.3643136024475098,1.3964293003082275,1.7576552629470825,2.187424898147583,289,289
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+68,1.2917128801345825,1.2746306657791138,1.4328975677490234,2.034621477127075,344,344
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+69,1.558592438697815,1.542236566543579,1.7679122686386108,2.1348001956939697,335,335
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+7,0.9464195370674133,1.0007835626602173,1.3060014247894287,1.6266112327575684,253,253
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+70,1.0585731267929077,0.9939408898353577,1.1706902980804443,1.729928970336914,349,349
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+71,1.4750789403915405,1.5289591550827026,1.7338497638702393,2.4786336421966553,331,331
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+72,1.321058988571167,1.3557376861572266,1.7445249557495117,2.1426706314086914,224,224
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+73,1.256235957145691,1.3225407600402832,1.6158041954040527,2.107290029525757,182,182
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+74,1.155592918395996,1.1207355260849,1.3614393472671509,1.6818171739578247,261,261
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+75,1.1753146648406982,1.0731680393218994,1.1037486791610718,1.6817243099212646,89,89
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+76,1.2367961406707764,1.4399170875549316,1.3406929969787598,1.5089384317398071,96,96
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+77,0.9988518953323364,1.020235538482666,0.9281593561172485,1.1477081775665283,125,125
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+78,1.086030125617981,1.2702795267105103,1.1472715139389038,1.6858749389648438,137,137
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+79,1.0224593877792358,1.0093746185302734,1.2047885656356812,1.9022635221481323,219,219
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+8,1.081441044807434,0.9678314924240112,1.023653507232666,1.4030263423919678,116,116
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+80,0.9459057450294495,0.934334933757782,1.1256306171417236,1.6152650117874146,173,173
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+81,1.1151090860366821,1.0998098850250244,1.3241147994995117,1.8264235258102417,269,269
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+82,1.340798020362854,1.3888250589370728,1.6419713497161865,2.2637131214141846,283,283
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+83,1.5018196105957031,1.5685991048812866,1.7399011850357056,2.3462047576904297,341,341
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+84,1.463841438293457,1.4473800659179688,1.7184808254241943,1.9856293201446533,320,320
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+85,1.5669634342193604,1.53586745262146,1.853742241859436,2.4388647079467773,347,347
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+86,1.4242959022521973,1.3740439414978027,1.6389806270599365,1.992745280265808,339,339
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+87,1.2101038694381714,1.2252705097198486,1.5773892402648926,2.0384225845336914,242,242
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+88,1.215674638748169,1.1823270320892334,1.5299748182296753,2.1064887046813965,232,232
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+89,1.1258931159973145,1.1035171747207642,1.3107995986938477,1.5011341571807861,204,204
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+9,1.0860936641693115,1.1408884525299072,1.2694171667099,1.748425006866455,176,176
