stratum,loss,targets,benefit_rate,harm_rate,mean_dm
Raw_Wrong,RG,185435,0.6572168145172163,0.34278318548278375,0.005957959601848075
Raw_Wrong,ADT,273222,0.922681921660774,0.07731807833922598,0.006920260876297705
Raw_Wrong,SDT,273222,0.922681921660774,0.07731807833922598,0.010496096316784522
Deep-Win,UDT,314730,1.0,0.0,0.0036628789064535165
Deep-Win,RG,94570,1.0,0.0,0.012132556758677169
Deep-Win,ADT,201526,1.0,0.0,0.008912805024940986
Deep-Win,SDT,201526,1.0,0.0,0.013451359900227293
Shallow-Win,UDT,182899,0.037720271844023205,0.9622687931590659,-0.0028475342924497507
Shallow-Win,RG,41472,0.04347511574074074,0.9565007716049383,-0.012440889183430033
Shallow-Win,ADT,38237,0.035619949263802075,0.9643538980568559,-0.01021146297990943
Shallow-Win,SDT,38237,0.035619949263802075,0.9643538980568559,-0.012002828506142298
Both-Wrong,UDT,393677,0.29270696535484675,0.707282874031249,-0.00010731323776258209
Both-Wrong,RG,90865,0.3004567215099323,0.6995432784900677,-0.0004684053694976296
Both-Wrong,ADT,71696,0.7053531577772818,0.29464684222271814,0.001319537654646759
Both-Wrong,SDT,71696,0.7053531577772818,0.29464684222271814,0.002189322592770816
Stable-Correct,UDT,1587837,0.9571990072028804,0.04280036300955325,0.00038788691114107545
Stable-Correct,RG,473317,0.9627923780468481,0.03720762195315191,0.0013069019812626994
Stable-Correct,ADT,385579,0.9190282665809082,0.08097173341909181,0.001744119129716527
Stable-Correct,SDT,385579,0.9190282665809082,0.08097173341909181,0.0010999585289806863
class0,UDT,965133,0.7824486366127777,0.21754929113396806,0.00013556476822361912
class0,RG,252413,0.8250010894842975,0.1749949487546204,0.0005342243407055552
class0,ADT,250889,0.8376931631119738,0.16230285106162487,0.0021113820526502576
class0,SDT,250889,0.8376931631119738,0.16230285106162487,0.0031097149087253545
class1,UDT,1044692,0.8069555428777094,0.1930406282425825,0.0005217707495540766
class1,RG,302067,0.8406744199134629,0.1593255800865371,0.001799984815084796
class1,ADT,296117,0.911244541853389,0.08875545814661097,0.003512575063940186
class1,SDT,296117,0.911244541853389,0.08875545814661097,0.004620474067533729
class2,UDT,323515,0.7489575444724356,0.2510393644807814,0.0009530603725471712
class2,RG,101055,0.7783781109296918,0.22162188907030825,0.0030326834411394184
class2,ADT,104829,0.8093657289490503,0.19063427105094966,0.0034537657935463694
class2,SDT,104829,0.8093657289490503,0.19063427105094966,0.004004616342743101
class3,UDT,145803,0.797315555921346,0.20268444407865407,0.0015185150767027353
class3,RG,44689,0.8624046185862293,0.13759538141377073,0.004976965267196179
class3,ADT,45203,0.9505785014268965,0.04942149857310355,0.005329225509593699
class3,SDT,45203,0.9505785014268965,0.04942149857310355,0.005856670445246653
boundary,UDT,201144,0.5665045937238993,0.4334904347134391,0.00013667407842219987
boundary,RG,47493,0.574526772366454,0.425473227633546,0.0006275254353519024
boundary,ADT,42081,0.589292079560847,0.41070792043915305,0.0009322392815282658
boundary,SDT,42081,0.589292079560847,0.41070792043915305,0.0008971732389355222
interior,UDT,2277999,0.8089503112161155,0.19104705489335158,0.000517195121097966
interior,RG,652731,0.8458216324948562,0.15417683548046593,0.0018041759041896837
interior,ADT,654957,0.8901637817444504,0.10983469143775851,0.003257584781736805
interior,SDT,654957,0.8901637817444504,0.10983469143775851,0.004267729388117596
