stratum,loss,targets,benefit_rate,harm_rate,zero_rate,mean_dm,median_dm,active_gradient_fraction,mean_gradient_norm,active_transfer_fraction,mean_dQ,dQ_negative_fraction,dQ_zero_fraction
Shallow-Win,ADT,182899,0.007446732896297957,0.201608538045588,0.7909447290581141,-0.0021348159911360747,0.0,0.2090607384403414,0.0017216708424106582,0.2090607384403414,-0.00033386165129560677,0.20904980344343052,0.7909392615596587
Shallow-Win,SDT,182899,0.007446732896297957,0.201608538045588,0.7909447290581141,-0.0025093201908668885,0.0,0.2090607384403414,0.0019679331204656807,0.2090607384403414,-0.00035705402712480516,0.20904980344343052,0.7909392615596587
Shallow-Win,PRG_previous,182899,0.037720271844023205,0.9622687931590659,1.0934996910863373e-05,-0.0012107107868873615,-0.0008682342304382473,1.0,0.0011413141753218996,1.0,-0.00022689052979244488,0.9999890650030892,0.0
Both-Wrong,UDT,393677,0.29270696535484675,0.707282874031249,1.0160613904292098e-05,-0.00010731323776258209,-6.504919656435959e-05,1.0,0.0008807642095421353,1.0,-0.00017636683481938548,0.9999517370839546,0.0
Both-Wrong,RG,393677,0.06934873005026963,0.16146231555310572,0.7691889543966246,-0.00010811313309998328,0.0,0.23081104560337534,0.0008798083140495564,0.23081104560337534,-0.0001763742305800812,0.23079834483599498,0.7691889543966246
Both-Wrong,ADT,393677,0.1284581014384889,0.05366074218204264,0.8178811563794685,0.00024031267177801607,0.0,0.18211884362053155,0.0006584315286316386,0.18211884362053155,-0.00012777469377797128,0.18208328147186653,0.8178811563794685
Both-Wrong,SDT,393677,0.1284581014384889,0.05366074218204264,0.8178811563794685,0.0003987168989077249,0.0,0.18211884362053155,0.0006989043317601051,0.18211884362053155,-0.00012626653979989729,0.18208328147186653,0.8178811563794685
Both-Wrong,PRG_previous,393677,0.29270696535484675,0.707282874031249,1.0160613904292098e-05,-3.518063837227058e-05,-2.9931213703093817e-05,1.0,0.00038189729533543386,1.0,-7.605916536075456e-05,0.9999517370839546,0.0
Stable-Correct,UDT,1587837,0.9571990072028804,0.04280036300955325,6.297875663559925e-07,0.00038788691114107545,8.62464148667641e-05,1.0,0.00030675442532776396,1.0,-5.983008121855516e-05,0.9999937021243365,0.0
Stable-Correct,RG,1587837,0.2869979727138239,0.011091188831095384,0.7019108384550807,0.00038957331581599173,0.0,0.29808916154491927,0.0003081475113713504,0.29808916154491927,-6.010210868235662e-05,0.29808916154491927,0.7019108384550807
Stable-Correct,ADT,1587837,0.22317026243877677,0.01966259760920044,0.7571671399520228,0.0004235294365334533,0.0,0.24283286004797722,0.0003364032848495197,0.24283286004797722,-6.886718509994988e-05,0.24282908132257908,0.7571671399520228
Stable-Correct,SDT,1587837,0.22317026243877677,0.01966259760920044,0.7571671399520228,0.00026710607552654577,0.0,0.24283286004797722,0.00021396962029350381,0.24283286004797722,-4.6895093124513835e-05,0.24282908132257908,0.7571671399520228
Stable-Correct,PRG_previous,1587837,0.9571990072028804,0.04280036300955325,6.297875663559925e-07,0.00019376607839557687,4.197803900751751e-05,1.0,0.0001531306714486497,1.0,-2.9946020824160746e-05,0.9999937021243365,0.0
class0,UDT,965133,0.7824486366127777,0.21754929113396806,2.072253254214704e-06,0.00013556476822361912,2.674514689715579e-05,1.0,0.0007292076152409763,1.0,-0.00015338640626126504,0.9999968916201187,0.0
class0,RG,965133,0.2157640449554621,0.045766749245958846,0.7384692057985791,0.0001397166696305186,0.0,0.26153183032804805,0.0007278901713034818,0.26153183032804805,-0.00015330613783171978,0.26153183032804805,0.738468169671952
class0,ADT,965133,0.21776066096589797,0.04219107625581137,0.7400482627782906,0.0005488596201843381,0.0,0.25995277334833644,0.0008080902053319638,0.25995277334833644,-0.00017378749227358922,0.25995173722170933,0.7400472266516636
class0,SDT,965133,0.21776066096589797,0.04219107625581137,0.7400482627782906,0.0008083790148458247,0.0,0.25995277334833644,0.001001554041937051,0.25995277334833644,-0.00021959678572111986,0.25995173722170933,0.7400472266516636
class0,PRG_previous,965133,0.7824486366127777,0.21754929113396806,2.072253254214704e-06,0.00010558897082842064,1.3124577435519313e-05,1.0,0.0003448073133491761,1.0,-7.27250349082939e-05,0.9999968916201187,0.0
class1,UDT,1044692,0.8069555428777094,0.1930406282425825,3.828879708086211e-06,0.0005217707495540766,9.96954750007717e-05,1.0,0.0008907737457502525,1.0,-0.0001845974448186204,0.9999856417010947,0.0
class1,RG,1044692,0.2430764282678531,0.04606812342776627,0.7108554483043806,0.0005204558024166159,0.0,0.28914455169561937,0.000885349003364302,0.28914455169561937,-0.00018342223932456023,0.2891435944756924,0.7108554483043806
class1,ADT,1044692,0.25829143900786067,0.025157654121980448,0.7165509068701589,0.00099563621642434,0.0,0.2834490931298411,0.0009609158728126515,0.2834490931298411,-0.00020995976257499652,0.28344047815049794,0.7165509068701589
