Delta_image_AUROC,DeepCapture,ShallowProtection,DeepSelectionPrecision,ADT:all:mean_dm,ADT:Top20:mean_dm,ADT:class0:mean_dm,ADT:class1:mean_dm,ADT:class2:mean_dm,ADT:class3:mean_dm,ADT:Raw_Correct:harm_rate,ADT:Raw_Wrong:benefit_rate,BRR_ADT,HHCR_ADT,ADT-RG:all:mean_dm,ADT-RG:Shallow-Win:harm_rate,ADT-RG:Deep-Win:benefit_rate,ADT:all:benefit_rate,ADT:all:harm_rate,ADT:Top20:benefit_rate,ADT:Top20:harm_rate,ADT:Deep-Win:benefit_rate,ADT:Deep-Win:harm_rate,ADT:Shallow-Win:benefit_rate,ADT:Shallow-Win:harm_rate
0.7825896871849715,0.6379943016374965,0.7912869171590791,0.8431739279758678,0.0008786390572677028,0.002752901629492182,0.0005355642820656697,0.0009918143141906825,0.001147964334062532,0.0016478503890083329,0.03881482877196288,0.35594542670736584,0.6379943016374965,0.20154855194973265,0.00038871203964832937,-0.01228598648596556,0.3357775760042581,0.24438360605759996,0.03619050614688155,0.3802911366242903,0.05115761660256852,0.6379943016374965,0.0,0.007153517008188822,0.20155956583273216
0.7779861345866784,0.6336989319411849,0.7838544372679096,0.8339321055351763,0.000868535432059196,0.0027394008485528434,0.000553744682661704,0.0009883369635750572,0.0011003510079839775,0.0016556988391953295,0.03938842871557489,0.34942301647882895,0.633692545939301,0.208981181193225,0.00038420597094926217,-0.008198021318136824,0.33686479237511374,0.24260045839984887,0.03721438178853773,0.37441616781997944,0.054446046748072914,0.6336989319411849,0.0,0.007147974558242047,0.20899211918030725
0.7829926085489394,0.6360554204281701,0.7873439349608022,0.8438428957435554,0.000884269463942035,0.002734714177018382,0.0005297129655805267,0.0010088738755491438,0.0011657136667688546,0.0016136168475919992,0.03879520509722669,0.35897346631277277,0.6360554204281701,0.20477184910548768,0.0003775731935604721,-0.015193308467156545,0.3349177749000967,0.24794616854897555,0.03625543222073704,0.37912177390332313,0.0518306597049794,0.6360554204281701,0.0,0.007873048489044738,0.20477184910548768
0.7849018457924102,0.639406871980212,0.7854990884606275,0.8367147570951201,0.0008796442833844503,0.0027863584704475256,0.0005644725759827424,0.000993240673998699,0.0011229633902987105,0.0016369658834560828,0.03883475400908502,0.35460034396683865,0.6394036679610904,0.2070874251628929,0.00039416115298883706,-0.013675844482019818,0.34027644276981045,0.24652743140382116,0.03673998374022485,0.37935977166389057,0.05419006804884786,0.639406871980212,0.0,0.007396963004169398,0.207098440744433
0.7901021838230782,0.6402827951221719,0.7961238941957687,0.8427794931992753,0.0008872047349152281,0.0027950355657825744,0.0005871606562374795,0.0009940543524686917,0.0011088728642418692,0.0016483945928738688,0.037195344371913165,0.3553671649355399,0.6402795639164798,0.19619338613249795,0.0004015134143113716,-0.023550045224911206,0.34208774662177444,0.2462120754273024,0.03530104763723597,0.3782071613387864,0.05098280610967365,0.6402827951221719,0.0,0.007671689205585828,0.19620441659864546
0.7831854367295793,0.6399153378528916,0.7931545628817261,0.844155298879386,0.0008802035940452586,0.0027628917664624677,0.0005464365139136439,0.0009888351696787008,0.0011085484166520718,0.0017121873835584185,0.037218651330626976,0.35557972231632706,0.6399057894904358,0.2005650662030226,0.0003828682315721442,-0.01574272212562971,0.33884273847035234,0.2476259285674477,0.0353055539176924,0.3783348213453424,0.0518615340954993,0.6399153378528916,0.0,0.006263652980250546,0.20057063884802281
0.7871558449584187,0.6423531793992394,0.7889751713119698,0.8394395081431744,0.0008752696633961923,0.002745570944318607,0.0005438615989567217,0.0009804871478746216,0.0011354094228131731,0.0016755590831116053,0.03895593398003858,0.36020218218899674,0.6423468516069428,0.20380826101368865,0.0003853158490239027,-0.01409078311714424,0.3363727828997741,0.2462140406146181,0.03646863518625986,0.3810561169338754,0.052710771780939136,0.6423531793992394,0.0,0.007200265187125383,0.20380826101368865
0.7822127782404431,0.6348917886795752,0.7866974376528657,0.8403289799966936,0.0008704121040480456,0.002717629213033382,0.0005615063941890523,0.0009810381381884297,0.0010836161053124696,0.0016790481304820753,0.038831504049311,0.3539403164585969,0.6348917886795752,0.20627971047299348,0.000376748132632027,-0.010821375529336418,0.33411708867676493,0.24485310412223946,0.036276821318763024,0.3798602018493368,0.052133568634467276,0.6348917886795752,0.0,0.007011809654212883,0.20629075269292138
0.7823203965966313,0.6349031142530833,0.789214964985422,0.8372795503500269,0.0008698237117677922,0.002744927629356858,0.0005632361882303203,0.0009917859556028887,0.001057206860904675,0.0016544164455669687,0.038153974278535716,0.349416923561576,0.6349031142530833,0.20347693397640262,0.00038815267015166914,-0.013602550478214665,0.33687655920015824,0.24426978692380868,0.03615909035190909,0.3753064667603035,0.05276630403164815,0.6349031142530833,0.0,0.007302651298400502,0.20348238371617755
0.794731323481038,0.6571094225898496,0.7939373105057314,0.8486071777545917,0.0008936223128364506,0.002846781445770862,0.0005526109682788962,0.00101426591387964,0.001169713648748107,0.0016327292532879686,0.03693139947745696,0.3671977058875211,0.6571062165368216,0.19881541426687555,0.0003878669051534429,-0.01870428186603248,0.35003686960982333,0.2502869598907923,0.03495016573869893,0.39208335848436093,0.05125814112744598,0.6571094225898496,0.0,0.007241639710108991,0.19882104978415968
0.7802893070566674,0.6395718067462337,0.7737773711631066,0.8278627704364501,0.0008573933396425668,0.0026878175526175475,0.0005148831575759825,0.0009811328726810299,0.0011521947621055456,0.0015787339849739604,0.04015436227541008,0.35008541642433816,0.6395685862795236,0.21822425042594104,0.0003807019504947105,-0.002985696050663701,0.34338548342425784,0.24497619933330697,0.037542434906245786,0.3753405386787618,0.0571565513105941,0.6395718067462337,0.0,0.007992900069574935,0.21822972876731841
