image_id,delta_iou,delta_fp,delta_fn,interior_delta,boundary_delta,contact_delta,mean_neff,max_neff,mean_entropy,mean_top5_mass,mean_top10_mass,mean_dominant_share,weighted_basis_purity,fragmentation_delta,area_ratio_delta,formal_delta_iou,neff_quartile,cluster_k2,cluster_k3,cluster_k4
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111,0.13412094192867036,-0.572058703324897,-0.09123794213215689,0.09123431989039577,0.034683639578050596,-0.020217391304347798,128.60539220011472,164.50252027183703,0.9124833515899446,0.06836004457453976,0.13312223243198346,0.014361474139981453,0.6400622725486755,0.08140290658814138,-0.4808207611935979,-0.0460365082001936,Q2,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+112,-0.07272856964727561,0.3798386806659591,0.02160245693843923,-0.021981489210222638,0.001489326846416561,0.005594927265945571,125.19682976575794,170.3747886324312,0.9018621001213244,0.08185089755905264,0.15481695405953783,0.017093201789716267,0.6084753274917603,0.00021110554578252123,0.3582362237282816,-0.0727285696472755,Q2,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+113,-9.96492346938549e-06,0.0,1.0263147091422008e-05,-1.0832827801343647e-05,0.0,0.0,126.18487996704813,185.29287910817558,0.8931008275496541,0.08894142121238952,0.16903614238436837,0.02100943293474517,0.5191035456955433,1.9860335755822467e-07,-1.0263147091404967e-05,-0.1618303571428571,Q2,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+114,-9.96492346938549e-06,0.0,1.0011813940447727e-05,-1.0568590150084045e-05,0.0,0.0,124.88815388270373,191.0201254483563,0.8834380997618645,0.1101189882837873,0.20054652740951714,0.024154313157835085,0.5131398104131222,1.9860335755822467e-07,-1.0011813940447034e-05,-0.1658927242772108,Q2,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+115,0.0002989477040816757,0.0,-0.0002989477040815731,0.0,0.0028360748723765816,,192.81203063161328,192.81203063161328,0.99689304220957,0.032535365381621655,0.06442405248751949,0.006558459824671081,1.0,-5.960001237304696e-06,0.0002989477040816757,0.0001494738520408,Q4,0,1,2
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+116,-9.96492346938549e-06,0.0,9.992206079256182e-06,-1.0546520702814366e-05,0.0,0.0,128.81484743747197,192.08351726132494,0.8943236144608668,0.11727660011215915,0.20633980868469068,0.02712972069634828,0.4983899393118918,1.9860335755822467e-07,-9.992206079223465e-06,-0.1662182451105442,Q2,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117,0.030255405206420227,-0.017791403843840443,-0.04778137756644984,0.049230317351077,0.03658255146989727,0.001844046364594315,110.03618199193004,163.05951075106458,0.8799626632551748,0.11327612821389597,0.2055106772450543,0.025247711109350455,0.4646874178821842,0.026123991586038498,0.02998997372264049,0.0302554052064202,Q1,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+118,-0.13890620216122077,0.26282694006699475,0.08022063295748055,-0.09208837222811889,0.02853212915454137,-0.0178242163491088,144.5248691745717,173.01149079969386,0.9385243131075058,0.0688030830447915,0.1326317397300638,0.014172610777020363,0.6706267297267914,0.03330052838953496,0.18260630710969,-0.1389062021612208,Q3,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+119,-0.051674154771882724,0.04180009680980022,0.11631654277680635,-0.1306322914021734,0.0343537371639267,-0.004221284159075744,122.80957678045453,125.36762009521647,0.9113894509938439,0.06804793883065727,0.13190913921274544,0.014238420508101778,0.6878622770309448,-0.17967447767903322,-0.07451644596706669,-0.0516741547718827,Q2,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+12,0.01649631734696294,-0.01099184090267101,-0.012445843650817277,0.016473503994808125,-0.01749779290788772,0.0007849293563579884,127.40743299152247,129.42396666764944,0.9183705031966742,0.06393173481793198,0.12379651275661332,0.013533269945841583,0.742242842912674,-0.028635327523985354,0.0014540027481473872,0.0164963173469628,Q2,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+120,-0.001774671810602609,-0.7050501621310666,-0.0008497650139599831,-2.0833333333321786e-05,0.0016596481463208395,0.00294189752390292,113.32852344696393,163.68986505466717,0.8865860776269597,0.10360670484380326,0.18844914084446676,0.022414880499792244,0.42185728314022225,332.55827883884564,-0.704200397135078,-0.0017746718106026,Q1,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+121,0.0006896072037528613,0.928377613842945,0.0187646511210498,-0.01299338398101372,-0.028912157510108838,-0.059327155519742145,97.00380571178295,137.0570837693409,0.8539041953483699,0.15270361517853107,0.25711828175512325,0.036991570274260865,0.5539989471435547,-0.02760915334608435,0.90961296272547,0.0006896072037528,Q1,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+122,0.0,0.0,0.0,0.0,0.0,0.0,93.93170696787517,163.3406728226379,0.8330009041040318,0.17986308229292747,0.28720316021834563,0.05503975557450714,0.47634075085322064,0.0,0.0,0.0,Q1,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+123,0.031231695359055827,-0.023130337861649464,-0.02182148753731769,0.019831883854619464,0.01898408440884732,0.12693358231165813,102.80463608501958,149.28435126017092,0.8639243356380328,0.11835159917755711,0.21741577069994064,0.026010468829708994,0.5693747997283936,0.029303818678883736,-0.00130885032433307,0.0312316953590557,Q1,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+124,-0.06995442004935865,0.05518785706975074,0.0500746282221713,-0.05782095938841275,-0.014770390111744969,-0.0037969624300560056,116.4416131960015,117.37660333143688,0.9013365645188121,0.07045762152643471,0.13523239530009606,0.015416132324576616,0.6882087588310242,0.08764986699611557,0.005113228847583917,-0.0699544200493585,Q1,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+125,0.0,0.0,0.0,0.0,0.0,0.0,121.12011254697357,168.77307486346578,0.8928750168894513,0.09075669439863046,0.1715535504857179,0.019640779709774497,0.5692787170410156,0.0,0.0,0.0,Q2,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+126,0.019051543587482497,-0.22803851391773614,-0.000980697446347457,0.00937450657161471,-0.014511750764485742,-0.02742974601138343,96.54388670048364,122.4280602012248,0.8528996721312327,0.12449890925358353,0.2155740854521695,0.035401954768798455,0.6544967293739319,-333.2773071201421,-0.22705781647173273,0.0190515435874825,Q1,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+127,-0.1907537751097772,0.14025343974363916,0.15921279212784292,-0.15985574567335017,-0.17581421693571228,-0.08100597471168543,101.76954253731144,161.25130834172492,0.8612072963753458,0.12094370611834744,0.21709486044346638,0.0277924460879341,0.5090564340353012,333.2819849623067,-0.01895935238422153,-0.1907537751097772,Q1,1,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+128,-0.008092194706407298,0.0007021763875562732,0.006579492933998224,-0.006413284636107872,-0.01577122440860341,0.0,102.76714011498507,165.5329113882908,0.8589381181222434,0.12870175921518978,0.22653009911301758,0.031627282615303384,0.47665661573410034,331.5938378662957,-0.0058773165464485804,-0.0080921947064072,Q1,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+129,0.005839445153061192,-0.0918207458474089,-0.006519223923102858,0.005453562445640696,0.013054894573943784,0.0,96.43700271867608,191.62127963865188,0.8230406308449397,0.2010415097822882,0.31982333935742296,0.05270879573092241,0.3294490799307823,332.95109369971425,-0.08530152192459235,0.0058394451530612,Q1,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+13,0.11162269020077786,-0.13252393754472627,-0.045191985159473466,0.04175066381369136,0.0869430129581204,0.025138474648487397,125.6180235688592,139.4710318190301,0.9145553038847086,0.06755028437296592,0.1307215313889805,0.014283659144505129,0.8328329920768738,-0.014836796268219564,-0.08733195238534058,0.1116226902007778,Q2,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+130,-0.02368934286250464,0.003524952458145585,0.02147377768248032,-0.019078650775852166,-0.056899004267425314,0.0,99.14831170962826,188.85692619306957,0.8355136981724293,0.17808950227110018,0.3042445486942782,0.04274631201782661,0.37017533741891384,332.5286625950202,-0.017948825224367037,-0.0236893428625046,Q1,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+131,-0.05350160059095472,0.27613879590949886,0.08618074769002128,-0.07573583152956838,-0.024267970155095558,-0.06553856118248748,99.97113451379148,162.28824153009407,0.8523635077435117,0.14498529821419523,0.2376105712516554,0.037611414165306105,0.367815762758255,0.012843612573142107,0.18995804822010073,-0.0535016005909546,Q1,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+132,0.018028461334818762,0.1274215086972172,-0.02531631866496647,0.01764409007086391,0.02734975027820376,-0.02136768641298113,102.46360887042914,172.33205381748658,0.8541696401030162,0.15229533305019877,0.2643570464891311,0.036117855506878356,0.4191511919101079,-0.11642958298307726,0.15273782736248517,0.0180284613348187,Q1,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+133,0.28293177360558236,-0.6027078349024458,-0.15878973488262083,0.1759153002095874,0.13117129611258413,0.009190707173857615,143.98584974521518,164.4582568267459,0.9396354018558959,0.06363999670683936,0.12275218387268716,0.013173103633987555,0.6775354146957397,-0.04453966342559457,-0.4439181000202773,0.2829317736055823,Q3,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+134,5.2604071337225555e-06,-1.8877185034160576e-05,0.0,0.0,0.0,0.0,138.64277271447165,192.53689319133488,0.9188865966255764,0.12006177085765347,0.19699905143471247,0.033928126773328945,0.5983767211437225,1.9860335755822467e-07,-1.8877185034127386e-05,-0.0879768023731353,Q3,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+135,-0.0025640349502547566,0.012953367875641832,0.0,0.0,-0.0005365418003609457,0.0,79.70128163997599,93.10652352725964,0.826798485690883,0.13733027083649627,0.25667722573127894,0.030574378350827127,0.7065395414829254,-0.00011552308849861574,0.012953367875647714,-0.0017093566335031,Q1,1,0,1
