image_id,class,gt_area,gcqm_tp,gcqm_fp,gcqm_fn,gcqm_tn,gcqm_precision,gcqm_recall,gcqm_iou,gcqm_dice,gcqm_fp_rate,gcqm_fn_rate,sshr_tp,sshr_fp,sshr_fn,sshr_tn,sshr_precision,sshr_recall,sshr_iou,sshr_dice,sshr_fp_rate,sshr_fn_rate,delta_fp,delta_fn,normalized_delta_fp,normalized_delta_fn,delta_iou
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+182,1,8165,0,0,8165,42011,,0.0,0.0,0.0,0.0,1.0,0,0,8165,42011,,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+183,0,11935,11935,38241,0,0,0.23786272321428573,1.0,0.23786272321428573,0.38431195762425335,1.0,0.0,11935,38241,0,0,0.23786272321428573,1.0,0.23786272321428573,0.38431195762425335,1.0,0.0,0,0,0.0,0.0,0.0
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+183,1,38241,0,0,38241,11935,,0.0,0.0,0.0,0.0,1.0,0,0,38241,11935,,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+184,0,22537,22537,27639,0,0,0.4491589604591837,1.0,0.4491589604591837,0.6198891532463245,1.0,0.0,22537,27639,0,0,0.4491589604591837,1.0,0.4491589604591837,0.6198891532463245,1.0,0.0,0,0,0.0,0.0,0.0
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+184,1,27639,0,0,27639,22537,,0.0,0.0,0.0,0.0,1.0,0,0,27639,22537,,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+185,0,2159,2159,48017,0,0,0.04302853954081633,1.0,0.04302853954081633,0.0825069265310022,1.0,0.0,2159,48017,0,0,0.04302853954081633,1.0,0.04302853954081633,0.0825069265310022,1.0,0.0,0,0,0.0,0.0,0.0
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+185,1,48017,0,0,48017,2159,,0.0,0.0,0.0,0.0,1.0,0,0,48017,2159,,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+186,1,50176,50175,0,1,0,1.0,0.9999800701530612,0.9999800701530612,0.9999900349772299,,1.992984693877551e-05,50176,0,0,0,1.0,1.0,1.0,1.0,,0.0,0,1,0.0,1.9929846938771538e-05,-1.992984693877098e-05
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+187,3,50176,50175,0,1,0,1.0,0.9999800701530612,0.9999800701530612,0.9999900349772299,,1.992984693877551e-05,48688,0,1488,0,1.0,0.970344387755102,0.970344387755102,0.9849490208771646,,0.02965561224489796,0,-1487,0.0,-0.029635682397953278,0.029635682397959218
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+188,1,19,0,0,19,50157,,0.0,0.0,0.0,0.0,1.0,0,0,19,50157,,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+188,3,50157,50156,19,1,0,0.9996213253612357,0.9999800626034252,0.9996014030612245,0.9998006618028147,1.0,1.993739657475527e-05,50157,19,0,0,0.9996213329081632,1.0,0.9996213329081632,0.9998106306001017,1.0,0.0,0,1,0.0,1.9937396574751295e-05,-1.992984693877098e-05
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+189,0,37358,26564,0,10794,12818,1.0,0.7110659028855935,0.7110659028855935,0.8311379493758018,0.0,0.28893409711440654,32632,30,4726,12788,0.9990815014389811,0.8734942984099792,0.8727934096501552,0.9320765495572694,0.0023404587299110627,0.1265057015900209,-30,6068,-0.0008030408480109206,0.1624283955243422,-0.1617275067645617
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+189,1,8595,0,0,8595,41581,,0.0,0.0,0.0,0.0,1.0,0,0,8595,41581,,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+189,3,4223,4223,19389,0,26564,0.17884973742165,1.0,0.17884973742165,0.30343093227950424,0.4219311035188127,0.0,4223,13291,0,32662,0.241121388603403,1.0,0.241121388603403,0.38855407829967337,0.28923030052444887,0.0,6098,0,1.4439971584147668,0.0,-0.062271651181752985
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+19,1,50176,50175,0,1,0,1.0,0.9999800701530612,0.9999800701530612,0.9999900349772299,,1.992984693877551e-05,50176,0,0,0,1.0,1.0,1.0,1.0,,0.0,0,1,0.0,1.9929846938771538e-05,-1.992984693877098e-05
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+190,0,50176,50176,0,0,0,1.0,1.0,1.0,1.0,,0.0,50176,0,0,0,1.0,1.0,1.0,1.0,,0.0,0,0,0.0,0.0,0.0
