stratum,loss,targets,dQ_mean,dQ_median,dQ_positive_fraction,dQ_negative_fraction,dQ_zero_fraction,CosCollapse_mean,CosCollapse_median,CosCollapse_positive_fraction,CosCollapse_negative_fraction,CosCollapse_zero_fraction
Q1,FAraw,495830,-3.1704405102460054e-08,-4.4306299131998856e-09,4.033640562289494e-06,0.9999959663594377,0.0,-0.39017516047962714,-0.3067431451768676,4.033640562289494e-06,0.9999959663594377,0.0
Q1,PRG,495830,-3.1402962191720105e-08,-4.394007105903206e-09,4.033640562289494e-06,0.9999959663594377,0.0,-0.3889628139445696,-0.3049318594753977,4.033640562289494e-06,0.9999959663594377,0.0
Q2,Uraw,495828,-5.015902118783528e-06,-3.883900307216163e-06,1.8151455746750888e-05,0.9999818485442532,0.0,-0.992468583415232,-0.9966663332616212,1.8151455746750888e-05,0.9999818485442532,0.0
Q2,FAraw,495828,-1.8104253296456906e-06,-1.1147651143139388e-06,1.8151455746750888e-05,0.9999818485442532,0.0,-0.9783965633846093,-0.9892934155793721,1.8151455746750888e-05,0.9999818485442532,0.0
Q2,PRG,495828,-1.7777743445315672e-06,-1.084704682036218e-06,1.8151455746750888e-05,0.9999818485442532,0.0,-0.9779707968303373,-0.9890219537907108,1.8151455746750888e-05,0.9999818485442532,0.0
Q3,Uraw,495829,-2.3292122605160467e-05,-2.1348440026136228e-05,1.2100946092301984e-05,0.9999878990539077,0.0,-0.9949302975852161,-0.9993346730993491,1.2100946092301984e-05,0.9999878990539077,0.0
Q3,FAraw,495829,-1.853777372501988e-05,-1.4549842108866786e-05,1.2100946092301984e-05,0.9999878990539077,0.0,-0.9945343033878755,-0.999005471633877,1.2100946092301984e-05,0.9999878990539077,0.0
Q3,PRG,495829,-1.8102613947526092e-05,-1.400229181274943e-05,1.2100946092301984e-05,0.9999878990539077,0.0,-0.9944970715786788,-0.9989663369568383,1.2100946092301984e-05,0.9999878990539077,0.0
Q4,Uraw,495828,-6.768478279485792e-05,-6.488811550283258e-05,1.8151455746750888e-05,0.9999818485442532,0.0,-0.99505450152053,-0.999790999319927,1.8151455746750888e-05,0.9999818485442532,0.0
Q4,FAraw,495828,-0.00010096101390899636,-8.437706646476762e-05,1.8151455746750888e-05,0.9999818485442532,0.0,-0.9950770472054951,-0.9998183237151105,1.8151455746750888e-05,0.9999818485442532,0.0
Q4,PRG,495828,-9.814686601810028e-05,-8.012352487923584e-05,1.8151455746750888e-05,0.9999818485442532,0.0,-0.9950693973922391,-0.9998073162830088,1.8151455746750888e-05,0.9999818485442532,0.0
Q5,Uraw,495828,-0.00012901350918544075,-0.00012823726610799302,1.411779891413958e-05,0.9999858822010859,0.0,-0.9957223171116486,-0.9999089783224216,1.411779891413958e-05,0.9999858822010859,0.0
Q5,FAraw,495828,-0.00033703251014325486,-0.0002929048768095411,1.411779891413958e-05,0.9999858822010859,0.0,-0.9957765210185124,-0.9999517633227744,1.411779891413958e-05,0.9999858822010859,0.0
Q5,PRG,495828,-0.0003263035875150034,-0.0002614366860198969,1.411779891413958e-05,0.9999858822010859,0.0,-0.9957730911391274,-0.999947502904617,1.411779891413958e-05,0.9999858822010859,0.0
Raw_Correct,Uraw,1770736,-2.9209729863923945e-05,-1.0298861067488904e-05,6.776843075421746e-06,0.9999932231569246,0.0,-0.9206765036721399,-0.998159909900764,6.776843075421746e-06,0.9999932231569246,0.0
Raw_Correct,FAraw,1770736,-5.5542532365198485e-05,-5.062997316882373e-06,6.776843075421746e-06,0.9999932231569246,0.0,-0.834140271318941,-0.9962147110698243,6.776843075421746e-06,0.9999932231569246,0.0
Raw_Correct,PRG,1770736,-5.0288383404347865e-05,-4.935651686669953e-06,6.776843075421746e-06,0.9999932231569246,0.0,-0.833782611050629,-0.9961372950954275,6.776843075421746e-06,0.9999932231569246,0.0
Raw_Wrong,Uraw,708407,-8.46816434655178e-05,-7.874971538657574e-05,2.9643975850041006e-05,0.99997035602415,0.0,-0.9832140211609637,-0.9996361542296217,2.9643975850041006e-05,0.99997035602415,0.0
Raw_Wrong,FAraw,708407,-0.00018199034852477437,-0.0001256378507660678,2.9643975850041006e-05,0.99997035602415,0.0,-0.9624052920371232,-0.999615945887302,2.9643975850041006e-05,0.99997035602415,0.0
Raw_Wrong,PRG,708407,-0.00018531692995405496,-0.0001155830146367681,2.9643975850041006e-05,0.99997035602415,0.0,-0.9621189353505799,-0.9995884717127873,2.9643975850041006e-05,0.99997035602415,0.0
Deep-Win,Uraw,314730,-0.00013210788637871244,-0.00013599495577672183,6.3546531948018935e-06,0.9999936453468052,0.0,-0.9958263183545085,-0.9999139531048167,6.3546531948018935e-06,0.9999936453468052,0.0
Deep-Win,FAraw,314730,-0.00029932784803254507,-0.00025422141693659067,6.3546531948018935e-06,0.9999936453468052,0.0,-0.9957382525276518,-0.9999440853614037,6.3546531948018935e-06,0.9999936453468052,0.0
Deep-Win,PRG,314730,-0.00032198095623625476,-0.0002511128394414253,6.3546531948018935e-06,0.9999936453468052,0.0,-0.9957405188560082,-0.9999427621339783,6.3546531948018935e-06,0.9999936453468052,0.0
Shallow-Win,Uraw,182899,-9.149110858353661e-05,-8.64607547517515e-05,1.0934996910863373e-05,0.9999890650030892,0.0,-0.9921056998709212,-0.99961353402637,1.0934996910863373e-05,0.9999890650030892,0.0
Shallow-Win,FAraw,182899,-0.0002780275002236321,-0.00024805512503022544,1.0934996910863373e-05,0.9999890650030892,0.0,-0.991945126631824,-0.9996896648940141,1.0934996910863373e-05,0.9999890650030892,0.0
Shallow-Win,PRG,182899,-0.00022689052979244488,-0.0001947109047885612,1.0934996910863373e-05,0.9999890650030892,0.0,-0.9919331456722977,-0.9996802237990486,1.0934996910863373e-05,0.9999890650030892,0.0
Both-Wrong,Uraw,393677,-4.676614057337589e-05,-3.494587523821062e-05,4.826291604538746e-05,0.9999517370839546,0.0,-0.9731309624714172,-0.9990523253660655,4.826291604538746e-05,0.9999517370839546,0.0
Both-Wrong,FAraw,393677,-8.818341741099164e-05,-2.8563514584055384e-05,4.826291604538746e-05,0.9999517370839546,0.0,-0.9357568399934829,-0.9985189473218994,4.826291604538746e-05,0.9999517370839546,0.0
Both-Wrong,PRG,393677,-7.605916536075456e-05,-2.5894942163863992e-05,4.826291604538746e-05,0.9999517370839546,0.0,-0.935239740028872,-0.998427915899953,4.826291604538746e-05,0.9999517370839546,0.0
Stable-Correct,Uraw,1587837,-2.2035692549994056e-05,-6.9968760586484e-06,6.297875663559925e-06,0.9999937021243365,0.0,-0.9124487519850573,-0.9978828361994997,6.297875663559925e-06,0.9999937021243365,0.0
Stable-Correct,FAraw,1587837,-2.991504154823198e-05,-2.843607567263723e-06,6.297875663559925e-06,0.9999937021243365,0.0,-0.8159631220070961,-0.9949514929708075,6.297875663559925e-06,0.9999937021243365,0.0
Stable-Correct,PRG,1587837,-2.9946020824160746e-05,-2.775067546889534e-06,6.297875663559925e-06,0.9999937021243365,0.0,-0.8155656437978388,-0.9948416197944063,6.297875663559925e-06,0.9999937021243365,0.0
class0,Uraw,965133,-3.3098672000524665e-05,-1.0319283254133027e-05,3.1083798813220563e-06,0.9999968916201187,0.0,-0.9273947108403339,-0.9980804737817346,3.1083798813220563e-06,0.9999968916201187,0.0
class0,FAraw,965133,-7.669320334188114e-05,-5.4887519808673005e-06,3.1083798813220563e-06,0.9999968916201187,0.0,-0.8407211442361845,-0.9963639817890109,3.1083798813220563e-06,0.9999968916201187,0.0
