image_id,Uraw,FAraw,PRG,PRG_sharedhead
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+144,0.27110055088996887,0.420865923166275,0.5681162476539612,0.5681162476539612
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+145,0.18567481637001038,0.36599451303482056,0.3686775267124176,0.3686775267124176
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+146,0.2358982115983963,0.3859647214412689,0.5039669275283813,0.5039669275283813
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+147,0.21002376079559326,0.35501405596733093,0.4691919982433319,0.4691919982433319
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+148,0.18648496270179749,0.3504014015197754,0.40732458233833313,0.40732458233833313
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+149,0.15591759979724884,0.29084476828575134,0.3170776963233948,0.3170776963233948
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+15,0.12465093284845352,0.2393844574689865,0.253797709941864,0.253797709941864
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+150,0.10884711146354675,0.2172047644853592,0.2413026988506317,0.2413026988506317
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+151,0.15850405395030975,0.30122268199920654,0.3608566224575043,0.3608566224575043
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+152,0.1334252655506134,0.29820775985717773,0.24887455999851227,0.24887455999851227
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+153,0.12086614966392517,0.2905794680118561,0.23821479082107544,0.23821479082107544
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+154,0.09112682193517685,0.23451748490333557,0.23710383474826813,0.23710383474826813
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+155,0.060791078954935074,0.27099189162254333,0.20181259512901306,0.20181259512901306
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+156,0.12079153954982758,0.27803173661231995,0.2270987331867218,0.2270987331867218
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+157,0.17106536030769348,0.38521215319633484,0.4557372033596039,0.4557372033596039
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+158,0.15973125398159027,0.3346884548664093,0.2814634442329407,0.2814634442329407
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+159,0.17616310715675354,0.3611414134502411,0.4260329008102417,0.4260329008102417
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+16,0.13609977066516876,0.334500253200531,0.2729654908180237,0.2729654908180237
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+160,0.1306057721376419,0.2820861041545868,0.3347731828689575,0.3347731828689575
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+161,0.12123508751392365,0.23813879489898682,0.321575790643692,0.321575790643692
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+162,0.1807410567998886,0.35313189029693604,0.45139041543006897,0.45139041543006897
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+163,0.11371637880802155,0.24114550650119781,0.33838939666748047,0.33838939666748047
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+164,0.17038388550281525,0.3615819215774536,0.393390417098999,0.393390417098999
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+165,0.16080106794834137,0.2716662585735321,0.3736100494861603,0.3736100494861603
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+166,0.11271984130144119,0.29245471954345703,0.23536106944084167,0.23536106944084167
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+167,0.14048585295677185,0.3108147978782654,0.3137609362602234,0.3137609362602234
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+168,0.09818816184997559,0.3030065894126892,0.2118861973285675,0.2118861973285675
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+169,0.14731670916080475,0.390223890542984,0.2897197902202606,0.2897197902202606
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+17,0.10566814988851547,0.18884116411209106,0.2330942004919052,0.2330942004919052
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+170,0.08005581796169281,0.2432430535554886,0.1951795071363449,0.1951795071363449
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+171,0.13664960861206055,0.26391953229904175,0.30082276463508606,0.30082276463508606
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+172,0.1259913295507431,0.26942259073257446,0.32503050565719604,0.32503050565719604
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+173,0.14201876521110535,0.2299942970275879,0.32521286606788635,0.32521286606788635
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+174,0.10764221847057343,0.32911261916160583,0.28144705295562744,0.28144705295562744
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+175,0.10235116630792618,0.18882893025875092,0.2116602659225464,0.2116602659225464
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+176,0.09508296102285385,0.21503525972366333,0.2226097285747528,0.2226097285747528
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+177,0.08430261164903641,0.22539275884628296,0.2015526443719864,0.2015526443719864
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+178,0.11952719837427139,0.2293214052915573,0.20167385041713715,0.20167385041713715
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+179,0.07967670261859894,0.20797383785247803,0.18581832945346832,0.18581832945346832
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+18,0.11034117639064789,0.2537139654159546,0.24578838050365448,0.24578838050365448
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+180,0.1326904296875,0.3453921377658844,0.2772197425365448,0.2772197425365448
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+181,0.11590132117271423,0.24667730927467346,0.21883222460746765,0.21883222460746765
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+182,0.1295595020055771,0.34678900241851807,0.34980037808418274,0.34980037808418274
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+183,0.20638903975486755,0.4574769139289856,0.43412819504737854,0.43412819504737854
