teacher-raw_accuracy_delta,teacher_NetRepair_count,teacher_NetRepair_rate,PRG:all:mean_dm,PRG:Top20:mean_dm,PRG:class0:mean_dm,PRG:class1:mean_dm,PRG:class2:mean_dm,PRG:class3:mean_dm,PRG:Raw_Correct:harm_rate,PRG:Raw_Wrong:benefit_rate,Deep-Win:BRR,Shallow-Win:HHCR,Shallow-Win:teacher_accuracy,PRG:all:benefit_rate,PRG:all:harm_rate,PRG:Top20:benefit_rate,PRG:Top20:harm_rate,teacher-raw_mIoU_delta
0.06991540665834071,172984.0,0.06991540665834071,0.00028921885412625865,0.0009071482131551202,0.00012095945809736407,0.0003163134309818996,0.0005109286746478264,0.0007316101301643169,0.13504949538793615,0.6097571529329296,0.9999870520410838,0.9613116904046102,0.3782474117954332,0.7934390649060905,0.2065585100578371,0.7190185890579487,0.28097506943945344,0.15559871365543904
0.07102422120173026,175851.0,0.07102422120173026,0.0002856969467186098,0.0008934117755030018,0.00010755897870084922,0.0003171119182521848,0.0005087642746704219,0.0007321599816463037,0.13647260273972603,0.606016336122082,0.9999935964139919,0.961412669903989,0.3780294463291869,0.790055050021608,0.20994212275791319,0.7209522419795293,0.27903733505659667,0.15626214332505817
0.06913448441486242,171861.0,0.06913448441486242,0.00027858860174845946,0.0008554421300600753,0.0001019669171006394,0.00031524827947842013,0.0004905612855562593,0.0007239117344978523,0.1392926401642019,0.6037304653735174,1.0,0.9635711863585719,0.36734540091610285,0.7871566526971786,0.21284133595398677,0.7163505504330019,0.28364126621071734,0.1535921958220678
0.07598765284971372,188099.0,0.07598765284971372,0.00028551522730261235,0.0008785174890535965,0.00010071379178609936,0.00031586705401324305,0.0005044411979144968,0.0007381509448259419,0.14085140521802425,0.6122272890272604,0.9999969509871179,0.9621664392905867,0.3710286493860846,0.7865458721841294,0.2134517039544088,0.7275008249563377,0.2724911266891484,0.16393660882582367
0.06957915029724146,172484.0,0.06957915029724146,0.0002838287580897332,0.0008887607980492392,0.00010892465933185526,0.0003231364555809516,0.0004859565202706616,0.0007202402307908175,0.13541312713463718,0.6027766972096734,0.9999902615741192,0.9612116610653954,0.3756350278574858,0.7901955698375247,0.2098007996091911,0.7203903683327686,0.27959068992151803,0.15081467781126456
0.06650995055726595,164638.0,0.06650995055726595,0.0002772325334204788,0.0008555128854259031,0.00010321439112553656,0.0003104217794707601,0.0004896206747307386,0.0007637929451525202,0.13754716981132076,0.6014526549403573,0.9999934020400892,0.9617672734327007,0.374669942987703,0.7903331557181518,0.20966361246656587,0.708947511903177,0.2910376949785817,0.15357137218382044
0.07190526927547462,178164.0,0.07190526927547462,0.00028739861530165036,0.0009033245083882661,0.00010608143791104377,0.0003266441294005979,0.0005107225442427201,0.0007164382479921171,0.13495800673790195,0.6083160418162595,1.0,0.9627467474203679,0.3660273665320772,0.7917372949761075,0.20826028348185457,0.7238207478174379,0.27617089387879623,0.15676722860613052
0.07089557359250574,175653.0,0.07089557359250574,0.00028414082705883206,0.0008791839543311963,0.00011196851061504793,0.00030637333367148354,0.0005027845638480055,0.0007237558193045027,0.13743099445702875,0.6074242786817995,0.9999839825730394,0.962742421907676,0.3805115900235543,0.7902713480221017,0.20972582669728732,0.7196928503348337,0.2803009471275014,0.1550421570477012
0.06586083922986187,162813.0,0.06586083922986187,0.00027488966422944613,0.0008501789867109396,0.00010055197427446779,0.00030682866771403037,0.0005105756467817119,0.0007235131939613477,0.13910659913297702,0.6009530576421881,0.9999933620975772,0.9638439222199454,0.3750903227893834,0.7882290026682027,0.21176937925856648,0.7084414267485782,0.2915522355267494,0.14836838959114224
0.07332342693710887,182228.0,0.07332342693710887,0.00028857564566862583,0.0008871348297076647,0.00010870610405380931,0.00032275708044455603,0.0005001234288889749,0.0007662624965664469,0.1371934326626741,0.613582205316581,0.9999875454202953,0.9605593051650342,0.3755404604314982,0.7913069964828672,0.2086893821700158,0.7224159234655803,0.27757592069259407,0.16204154485824773
