stratum,loss,targets,benefit_rate,harm_rate,zero_rate,mean_dm,median_dm,mean_gradient_norm,active_fraction
Q5,PRG,495828,0.727703961857741,0.2722839371717612,1.2100970497833926e-05,0.0009606858154774677,0.0009931951281032525,0.0015113412537331456,1.0
Raw_Correct,Uraw,1770736,0.862226215539753,0.13777209024947817,1.6942107688554365e-06,9.806588762642672e-05,8.852617793309037e-05,0.0001692332055656596,1.0
Raw_Correct,FAraw,1770736,0.862226215539753,0.13777209024947817,1.6942107688554365e-06,2.6850432023309426e-05,2.6716161301010288e-05,0.00028269161078735153,1.0
Raw_Correct,PRG,1770736,0.862226215539753,0.13777209024947817,1.6942107688554365e-06,4.869791793383437e-05,2.60616693594784e-05,0.0002551999661797184,1.0
Raw_Wrong,Uraw,708407,0.6069420544969205,0.39305229903148897,5.646471590484001e-06,0.00031236516430677277,0.00024094980472000316,0.00040514374595924187,1.0
Raw_Wrong,FAraw,708407,0.6069448777327158,0.39305229903148897,2.8232357952420006e-06,0.000783851019452179,0.0002847355790436268,0.000839951756712492,1.0
Raw_Wrong,PRG,708407,0.6069420544969205,0.39305229903148897,5.646471590484001e-06,0.0008709307424460161,0.00025948481197701767,0.0008620984052916422,1.0
Deep-Win,Uraw,314730,1.0,0.0,0.0,0.0008105744660079908,0.000768318641348742,0.0005975251448191341,1.0
Deep-Win,FAraw,314730,1.0,0.0,0.0,0.0018314394264525738,0.001502908708062023,0.0013397496209330679,1.0
Deep-Win,PRG,314730,1.0,0.0,0.0,0.0020043314670874566,0.0014957618259359151,0.0014627533551350956,1.0
Shallow-Win,Uraw,182899,0.037720271844023205,0.9622687931590659,1.0934996910863373e-05,-0.000484512577360439,-0.0004893230652669445,0.00045656352239776925,1.0
Shallow-Win,FAraw,182899,0.037720271844023205,0.9622687931590659,1.0934996910863373e-05,-0.0014237671144242475,-0.0010686384048312902,0.0014053340263671115,1.0
Shallow-Win,PRG,182899,0.037720271844023205,0.9622687931590659,1.0934996910863373e-05,-0.0012107107868873615,-0.0008682342304382473,0.0011413141753218996,1.0
Both-Wrong,Uraw,393677,0.29270696535484675,0.707282874031249,1.0160613904292098e-05,-8.593449131045759e-05,-0.0001031345109367976,0.00025134203119517426,1.0
Both-Wrong,FAraw,393677,0.29271204566179887,0.707282874031249,5.080306952146049e-06,-5.365663107156048e-05,-3.252461465308443e-05,0.0004403821049265315,1.0
Both-Wrong,PRG,393677,0.29270696535484675,0.707282874031249,1.0160613904292098e-05,-3.518063837227058e-05,-2.9931213703093817e-05,0.00038189729533543386,1.0
Stable-Correct,Uraw,1587837,0.9571990072028804,0.04280036300955325,6.297875663559925e-07,0.0001651716539409998,0.00011385242396499962,0.00013613634006984612,1.0
Stable-Correct,FAraw,1587837,0.9571990072028804,0.04280036300955325,6.297875663559925e-07,0.00019394346400814907,4.312318560550921e-05,0.0001533772194693998,1.0
Stable-Correct,PRG,1587837,0.9571990072028804,0.04280036300955325,6.297875663559925e-07,0.00019376607839557687,4.197803900751751e-05,0.0001531306714486497,1.0
class0,Uraw,965133,0.7824486366127777,0.21754929113396806,2.072253254214704e-06,6.781634744420617e-05,5.810183210996911e-05,0.00018168182621989548,1.0
class0,FAraw,965133,0.7824486366127777,0.21754929113396806,2.072253254214704e-06,6.778239116144831e-05,1.3372561170399422e-05,0.00036460381067500094,1.0
class0,PRG,965133,0.7824486366127777,0.21754929113396806,2.072253254214704e-06,0.00010558897082842064,1.3124577435519313e-05,0.0003448073133491761,1.0
class1,Uraw,1044692,0.8069555428777094,0.1930406282425825,3.828879708086211e-06,0.00017569289479331222,0.00011918670861632563,0.00023387716197801697,1.0
class1,FAraw,1044692,0.8069574573175634,0.1930406282425825,1.9144398540431057e-06,0.0002608853786987462,4.984775569027988e-05,0.000445386873548558,1.0
class1,PRG,1044692,0.8069555428777094,0.1930406282425825,3.828879708086211e-06,0.0003173720341790585,4.8415698074677493e-05,0.0004300961832061744,1.0
