image,foreground_pixels,corrected,harmed,net_correction,class0_corrected,class0_harmed,class0_net,class1_corrected,class1_harmed,class1_net,class2_corrected,class2_harmed,class2_net,class3_corrected,class3_harmed,class3_net
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+161,50176,284,270,14,0,0,0,44,226,-182,240,44,196,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+162,50176,7053,3608,3445,7053,0,7053,0,3608,-3608,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+163,50176,577,712,-135,0,712,-712,577,0,577,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+164,50176,1126,59,1067,4,0,4,1028,59,969,94,0,94,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+165,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+166,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+167,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+168,48768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+169,42824,0,4653,-4653,0,0,0,0,4653,-4653,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+17,47772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+170,32836,289,976,-687,4,511,-507,285,465,-180,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+171,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+172,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+173,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+174,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+175,50176,192,0,192,192,0,192,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+176,50176,612,428,184,42,428,-386,570,0,570,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+177,50176,312,840,-528,159,748,-589,153,92,61,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+178,50176,2329,15268,-12939,0,15268,-15268,2329,0,2329,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+179,50176,468,472,-4,173,323,-150,295,149,146,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+18,50176,1045,870,175,880,798,82,165,72,93,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+180,50176,2749,442,2307,332,257,75,2417,185,2232,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+181,50176,192,0,192,192,0,192,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+182,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+183,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+184,49840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+19,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+2,47868,159,240,-81,0,0,0,86,240,-154,73,0,73,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+20,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+21,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+22,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+23,40481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+24,42111,3820,316,3504,0,0,0,0,316,-316,3820,0,3820,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+25,46876,506,770,-264,0,0,0,110,55,55,396,715,-319,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+26,50176,2546,649,1897,0,0,0,0,118,-118,2546,531,2015,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+27,50176,699,233,466,0,0,0,0,0,0,699,233,466,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+28,50176,237,873,-636,0,0,0,45,4,41,192,869,-677,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+29,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+3,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+30,48550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+31,48265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+32,50176,1091,1013,78,1035,978,57,56,35,21,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+33,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+34,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+35,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+36,50176,932,1257,-325,831,1257,-426,101,0,101,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+37,39113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+38,48681,576,793,-217,0,0,0,0,0,0,576,793,-217,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+39,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
