record_type,gt_class,gt_class_name,group,a0_prediction,fampr_prediction,count,fraction_of_gt_class,corrected_rate,harmed_rate,net_correction_rate
prediction_transition,2,normal,,1,1,5392297,0.2603867312260135,0.018713686031364155,0.021428425527870977,-0.0027147394965068234
prediction_transition,2,normal,,1,2,356846,0.017231610849899034,0.018713686031364155,0.021428425527870977,-0.0027147394965068234
prediction_transition,2,normal,,1,3,57766,0.002789442034814087,0.018713686031364155,0.021428425527870977,-0.0027147394965068234
prediction_transition,2,normal,,2,0,13015,0.0006284767524686726,0.018713686031364155,0.021428425527870977,-0.0027147394965068234
prediction_transition,2,normal,,2,1,430742,0.020799948775402304,0.018713686031364155,0.021428425527870977,-0.0027147394965068234
prediction_transition,2,normal,,2,2,13565657,0.6550672344574657,0.018713686031364155,0.021428425527870977,-0.0027147394965068234
prediction_transition,2,normal,,2,3,0,0.0,0.018713686031364155,0.021428425527870977,-0.0027147394965068234
prediction_transition,2,normal,,3,0,0,0.0,0.018713686031364155,0.021428425527870977,-0.0027147394965068234
prediction_transition,2,normal,,3,1,0,0.0,0.018713686031364155,0.021428425527870977,-0.0027147394965068234
prediction_transition,2,normal,,3,2,0,0.0,0.018713686031364155,0.021428425527870977,-0.0027147394965068234
prediction_transition,2,normal,,3,3,0,0.0,0.018713686031364155,0.021428425527870977,-0.0027147394965068234
correctness_group,3,necrosis,BOTH_CORRECT,,,6579307,0.7072180710884921,0.02008624884594684,0.02177224943005441,-0.0016860005841075661
correctness_group,3,necrosis,CORRECTED_BY_FAMPR,,,186864,0.02008624884594684,0.02008624884594684,0.02177224943005441,-0.0016860005841075661
correctness_group,3,necrosis,HARMED_BY_FAMPR,,,202549,0.02177224943005441,0.02008624884594684,0.02177224943005441,-0.0016860005841075661
correctness_group,3,necrosis,BOTH_WRONG,,,2334361,0.25092343063550665,0.02008624884594684,0.02177224943005441,-0.0016860005841075661
prediction_transition,3,necrosis,,0,0,1264709,0.13594517773197934,0.02008624884594684,0.02177224943005441,-0.0016860005841075661
prediction_transition,3,necrosis,,0,1,44298,0.00476164831844418,0.02008624884594684,0.02177224943005441,-0.0016860005841075661
prediction_transition,3,necrosis,,0,2,17404,0.0018707780787891666,0.02008624884594684,0.02177224943005441,-0.0016860005841075661
prediction_transition,3,necrosis,,0,3,121909,0.01310415334446728,0.02008624884594684,0.02177224943005441,-0.0016860005841075661
prediction_transition,3,necrosis,,1,0,49121,0.005280078718007507,0.02008624884594684,0.02177224943005441,-0.0016860005841075661
prediction_transition,3,necrosis,,1,1,528282,0.056785703574976934,0.02008624884594684,0.02177224943005441,-0.0016860005841075661
prediction_transition,3,necrosis,,1,2,24662,0.0026509497230003693,0.02008624884594684,0.02177224943005441,-0.0016860005841075661
prediction_transition,3,necrosis,,1,3,61166,0.006574811076029544,0.02008624884594684,0.02177224943005441,-0.0016860005841075661
prediction_transition,3,necrosis,,2,0,2401,0.00025808654143718625,0.02008624884594684,0.02177224943005441,-0.0016860005841075661
prediction_transition,3,necrosis,,2,1,14103,0.0015159493935396242,0.02008624884594684,0.02177224943005441,-0.0016860005841075661
prediction_transition,3,necrosis,,2,2,389381,0.04185505855533237,0.02008624884594684,0.02177224943005441,-0.0016860005841075661
prediction_transition,3,necrosis,,2,3,3789,0.00040728442545002026,0.02008624884594684,0.02177224943005441,-0.0016860005841075661
prediction_transition,3,necrosis,,3,0,99580,0.010703980756482719,0.02008624884594684,0.02177224943005441,-0.0016860005841075661
prediction_transition,3,necrosis,,3,1,89220,0.009590371189931593,0.02008624884594684,0.02177224943005441,-0.0016860005841075661
prediction_transition,3,necrosis,,3,2,13749,0.0014778974836400973,0.02008624884594684,0.02177224943005441,-0.0016860005841075661
prediction_transition,3,necrosis,,3,3,6579307,0.7072180710884921,0.02008624884594684,0.02177224943005441,-0.0016860005841075661
