stage,gt_class,gt_class_name,group,metric,count,mean,std,min,p10,p25,p50,p75,p90,max,quantile_method,corrected_minus_harmed_mean,cohen_d_exact_moments,welch_p_on_reservoir,mann_whitney_p_on_reservoir,statistical_warning
stage1,0,tumor,HARMED_BY_FAMPR,r_fa,1158456,0.7924513921510636,0.028780320286239048,0.5976481437683105,0.7562042117118836,0.7777061462402344,0.7969841361045837,0.8117794990539551,0.8218362927436829,1.2091493606567383,"deterministic sampled reservoir, max=20000, stride=64",0.0014256127806014929,0.04885379940556405,5.862965940621523e-06,1.1205792794913194e-10,exploratory only; reservoir approximation and spatially correlated pixels
stage1,0,tumor,HARMED_BY_FAMPR,r_mpr,1158456,0.2712278690927868,0.009850477782987367,0.20455364882946014,0.25882173180580137,0.2661811113357544,0.272779256105423,0.277843177318573,0.281285297870636,0.41384875774383545,"deterministic sampled reservoir, max=20000, stride=64",0.0004879365244048195,0.0488538080893607,5.86365624809082e-06,1.1206043997186019e-10,exploratory only; reservoir approximation and spatially correlated pixels
stage1,1,stroma,CORRECTED_BY_FAMPR,morphology,1093558,0.3839924168599943,0.04299609686893887,0.1610666960477829,0.3373484224081039,0.3612874448299408,0.384979248046875,0.4098612368106842,0.43420205712318427,0.5393269658088684,"deterministic sampled reservoir, max=20000, stride=64",-0.013227261155492331,-0.3231803961136766,6.272728406470611e-194,2.88493475459001e-181,exploratory only; reservoir approximation and spatially correlated pixels
stage1,1,stroma,CORRECTED_BY_FAMPR,dilation,1093558,4.696012125640865,0.2580000610073428,3.7640788555145264,4.3955078125,4.539713382720947,4.687337398529053,4.83349609375,4.980794429779053,6.023763179779053,"deterministic sampled reservoir, max=20000, stride=64",0.079343581263978,0.32305184176459434,8.097949881789402e-194,3.883565582082148e-181,exploratory only; reservoir approximation and spatially correlated pixels
stage1,1,stroma,CORRECTED_BY_FAMPR,band_weight_0,1093558,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,1,stroma,CORRECTED_BY_FAMPR,band_weight_1,1093558,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,1,stroma,CORRECTED_BY_FAMPR,band_weight_2,1093558,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,1,stroma,CORRECTED_BY_FAMPR,band_weight_3,1093558,1.125,0.0,1.125,1.125,1.125,1.125,1.125,1.125,1.125,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,1,stroma,CORRECTED_BY_FAMPR,high_frequency_ratio,1093558,0.40695652148423883,0.04719305434691707,0.15986670553684235,0.35510980486869814,0.38108357787132263,0.40757590532302856,0.4351043924689293,0.4628405779600144,0.5906886458396912,"deterministic sampled reservoir, max=20000, stride=64",-0.013534501652898323,-0.29869507508690923,4.805761878694704e-165,1.5764916496460795e-154,exploratory only; reservoir approximation and spatially correlated pixels
stage1,1,stroma,CORRECTED_BY_FAMPR,g_low,1093558,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
