stage,gt_class,gt_class_name,zone,metric,count,mean,std,min,p10,p25,p50,p75,p90,max,quantile_method,zone_pixels,a0_accuracy,fampr_accuracy,corrected_rate,harmed_rate,net_correction_rate
stage3,0,tumor,boundary,high_frequency_ratio,2056522,0.27473145578209385,0.044667241303001655,0.12955734133720398,0.21818414330482483,0.24207238480448723,0.2730638384819031,0.30604761838912964,0.33378603458404543,0.45712581276893616,"deterministic sampled reservoir, max=20000, stride=64",2056522,0.5608974764189247,0.5422781764551996,0.024885218830627633,0.0435045187943528,-0.018619299963725165
stage3,0,tumor,boundary,r_mpr,2056522,0.25282128252794817,0.020112306704469292,0.190163716673851,0.22538243532180785,0.2376592569053173,0.25314702093601227,0.2676331624388695,0.2789543688297272,0.4491638243198395,"deterministic sampled reservoir, max=20000, stride=64",2056522,0.5608974764189247,0.5422781764551996,0.024885218830627633,0.0435045187943528,-0.018619299963725165
stage1,0,tumor,interior,morphology,59725320,0.38447966677740786,0.030843460721168177,0.1481730192899704,0.3490702211856842,0.3656209409236908,0.38482666015625,0.40621186047792435,0.4267384767532349,0.5566813349723816,"deterministic sampled reservoir, max=20000, stride=64",59725320,0.8846160891226702,0.877944697491784,0.011227013936467816,0.017898405567354014,-0.006671391630886197
stage1,0,tumor,interior,dilation,59725320,4.693129822699805,0.1851382035523696,3.657958984375,4.4407390594482425,4.562337398529053,4.6875,4.810221195220947,4.90185546875,6.122232913970947,"deterministic sampled reservoir, max=20000, stride=64",59725320,0.8846160891226702,0.877944697491784,0.011227013936467816,0.017898405567354014,-0.006671391630886197
stage1,0,tumor,interior,high_frequency_ratio,59725320,0.40769769787980076,0.03508219256442605,0.1411915421485901,0.3670310825109482,0.3860255926847458,0.40785056352615356,0.4319564700126648,0.45576653480529794,0.6153349280357361,"deterministic sampled reservoir, max=20000, stride=64",59725320,0.8846160891226702,0.877944697491784,0.011227013936467816,0.017898405567354014,-0.006671391630886197
stage1,0,tumor,interior,r_mpr,59725320,0.27486435702202106,0.00895707664086062,0.19831176102161407,0.2665714770555496,0.2726414427161217,0.2789124548435211,0.2829858064651489,0.28549562096595765,0.44939371943473816,"deterministic sampled reservoir, max=20000, stride=64",59725320,0.8846160891226702,0.877944697491784,0.011227013936467816,0.017898405567354014,-0.006671391630886197
stage2,0,tumor,interior,morphology,59725320,0.3549736399035161,0.039717959320793965,0.1171671524643898,0.307239031791687,0.33204206079244614,0.3596585541963577,0.3860098496079445,0.40834298729896545,0.5329564213752747,"deterministic sampled reservoir, max=20000, stride=64",59725320,0.8846160891226702,0.877944697491784,0.011227013936467816,0.017898405567354014,-0.006671391630886197
stage2,0,tumor,interior,dilation,59725320,4.87015435963519,0.2383615236062049,3.7998046875,4.549397945404053,4.683461546897888,4.84222412109375,5.007894039154053,5.157031106948852,6.30810546875,"deterministic sampled reservoir, max=20000, stride=64",59725320,0.8846160891226702,0.877944697491784,0.011227013936467816,0.017898405567354014,-0.006671391630886197
stage2,0,tumor,interior,high_frequency_ratio,59725320,0.38862449203385324,0.047990070637565094,0.11609965562820435,0.3310943007469177,0.36044035851955414,0.3928323835134506,0.4249165207147598,0.45422782301902775,0.6226146817207336,"deterministic sampled reservoir, max=20000, stride=64",59725320,0.8846160891226702,0.877944697491784,0.011227013936467816,0.017898405567354014,-0.006671391630886197
stage2,0,tumor,interior,r_mpr,59725320,0.2430486488786223,0.017232752619230494,0.18333439528942108,0.21829162091016768,0.22846173495054245,0.24572660773992538,0.2571178749203682,0.2623480319976807,0.513487696647644,"deterministic sampled reservoir, max=20000, stride=64",59725320,0.8846160891226702,0.877944697491784,0.011227013936467816,0.017898405567354014,-0.006671391630886197
