stage,gt_class,gt_class_name,metric,count,mean,std,min,p10,p25,p50,p75,p90,max,quantile_method,correlation_with_morphology,correlation_with_high_frequency_ratio
stage1,2,normal,anchor_lambda,20708801,0.341796875,0.0,0.341796875,0.341796875,0.341796875,0.341796875,0.341796875,0.341796875,0.341796875,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,2,normal,gamma_context,20708801,1.1953125,0.0,1.1953125,1.1953125,1.1953125,1.1953125,1.1953125,1.1953125,1.1953125,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,2,normal,r_fa,20708801,0.7843818214594681,0.03330112954339119,0.5290336012840271,0.7510465025901795,0.7724598199129105,0.7905529141426086,0.8054392337799072,0.8162689626216889,1.3377183675765991,"deterministic sampled reservoir, max=20000, stride=64",-0.11339350251489021,-0.10806651598638607
stage1,2,normal,r_mpr,20708801,0.26846594364736315,0.011397789836914586,0.18106932938098907,0.25705642700195314,0.2643854543566704,0.2705781012773514,0.27567313611507416,0.2793797492980957,0.4578533172607422,"deterministic sampled reservoir, max=20000, stride=64",-0.11339348720502711,-0.10806650134596799
stage1,3,necrosis,morphology,9303081,0.39549512936149117,0.035722907113391954,0.1545155793428421,0.3595682680606842,0.3781941831111908,0.4003804624080658,0.4248860776424408,0.448333740234375,0.5600993037223816,"deterministic sampled reservoir, max=20000, stride=64",0.9999999999477133,0.977499860313265
stage1,3,necrosis,dilation,9303081,4.627039219044607,0.2143854072126129,3.6390788555145264,4.30859375,4.4521484375,4.600423336029053,4.728678226470947,4.842447757720947,6.0771484375,"deterministic sampled reservoir, max=20000, stride=64",-0.9996726220222806,-0.977172653188187
stage1,3,necrosis,band_weight_0,9303081,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,3,necrosis,band_weight_1,9303081,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,3,necrosis,band_weight_2,9303081,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,3,necrosis,band_weight_3,9303081,1.125,0.0,1.125,1.125,1.125,1.125,1.125,1.125,1.125,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,3,necrosis,high_frequency_ratio,9303081,0.41882413093616433,0.040430591211004126,0.15729069709777832,0.3774248123168945,0.3983290493488312,0.4234483689069748,0.450656920671463,0.47748176455497743,0.6289622187614441,"deterministic sampled reservoir, max=20000, stride=64",0.977499860313265,0.9999999999971814
stage1,3,necrosis,g_low,9303081,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,3,necrosis,g_high,9303081,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,3,necrosis,g_high_over_low,9303081,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,3,necrosis,g_low_channel_std,9303081,0.0006866455078125,0.0,0.0006866455078125,0.0006866455078125,0.0006866455078125,0.0006866455078125,0.0006866455078125,0.0006866455078125,0.0006866455078125,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,3,necrosis,g_high_channel_std,9303081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,3,necrosis,anchor_lambda,9303081,0.341796875,0.0,0.341796875,0.341796875,0.341796875,0.341796875,0.341796875,0.341796875,0.341796875,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,3,necrosis,gamma_context,9303081,1.1953125,0.0,1.1953125,1.1953125,1.1953125,1.1953125,1.1953125,1.1953125,1.1953125,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,3,necrosis,r_fa,9303081,0.8066610956416027,0.02399057981823783,0.5615556836128235,0.7740267872810364,0.7917668968439102,0.808379739522934,0.8215668052434921,0.8313047766685486,1.1883906126022339,"deterministic sampled reservoir, max=20000, stride=64",-0.19057194986355822,-0.1755389129526446
stage1,3,necrosis,r_mpr,9303081,0.27609134369985217,0.00821112017278418,0.19220049679279327,0.2649217665195465,0.27099359035491943,0.27667956054210663,0.2811930701136589,0.28452597856521605,0.40674376487731934,"deterministic sampled reservoir, max=20000, stride=64",-0.19057192645689972,-0.17553889021826838
stage2,0,tumor,morphology,61781842,0.35509844379009264,0.039775316288207185,0.1171671524643898,0.3092035919427872,0.3338247835636139,0.3616536557674408,0.38835207372903824,0.4106147855520249,0.5329564213752747,"deterministic sampled reservoir, max=20000, stride=64",0.9999999999935264,0.9749407695138916
stage2,0,tumor,dilation,61781842,4.869405119366026,0.23870601417240078,3.7998046875,4.53515625,4.669850826263428,4.830281734466553,4.996999025344849,5.144779443740845,6.30810546875,"deterministic sampled reservoir, max=20000, stride=64",-0.9997645647337651,-0.9747134951946317
stage2,0,tumor,band_weight_0,61781842,0.9921875,0.0,0.9921875,0.9921875,0.9921875,0.9921875,0.9921875,0.9921875,0.9921875,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,0,tumor,band_weight_1,61781842,1.0078125,0.0,1.0078125,1.0078125,1.0078125,1.0078125,1.0078125,1.0078125,1.0078125,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,0,tumor,band_weight_2,61781842,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,0,tumor,band_weight_3,61781842,1.2109375,0.0,1.2109375,1.2109375,1.2109375,1.2109375,1.2109375,1.2109375,1.2109375,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,0,tumor,high_frequency_ratio,61781842,0.3887581902137702,0.04804482761514366,0.11609965562820435,0.3331936538219452,0.3624524176120758,0.3947053700685501,0.427643246948719,0.45663605332374574,0.6226146817207336,"deterministic sampled reservoir, max=20000, stride=64",0.9749407695138916,0.9999999999979319
stage2,0,tumor,g_low,61781842,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
