group,targets,winner_targets,auroc,auprc,positive,negative,prevalence,image_balanced_auroc,image_balanced_auprc,auroc_eligible_images,auroc_excluded_images,hard_disagreement_prevalence,sign_accuracy,sign_balanced_accuracy,sign_macro_f1,sign_deep_win_recall,sign_shallow_win_recall,sign_image_balanced_accuracy,sign_shallow_win_count,sign_deep_win_count,sign_tn,sign_fp,sign_fn,sign_tp,sign_exact_zero_ties,shallow_accuracy,shallow_miou,shallow_dice,shallow_nll,shallow_brier,deep_accuracy,deep_miou,deep_dice,deep_nll,deep_brier,fixed_average_accuracy,fixed_average_miou,fixed_average_dice,fixed_average_nll,fixed_average_brier,anchor_accuracy,anchor_miou,anchor_dice,anchor_nll,anchor_brier,context_only_accuracy,context_only_miou,context_only_dice,context_only_nll,context_only_brier,anchor_fixed_accuracy_delta,anchor_fixed_miou_delta,SS_pixel_mean,SS_image_mean,SS_std,SD_pixel_mean,SD_image_mean,SD_std,Delta_pixel_mean,Delta_image_mean,Delta_std,wD_pixel_mean,wD_image_mean,wD_std,JS_ctx_shallow_pixel_mean,JS_ctx_shallow_image_mean,JS_ctx_shallow_std,JS_ctx_deep_pixel_mean,JS_ctx_deep_image_mean,JS_ctx_deep_std,consensus_closer_deep_fraction,consensus_js_exact_ties,deep_wrong_targets,deep_wrong_anchor_fixed_accuracy_delta
Corrected_by_CH,305318,194430,0.6750528684286644,0.9808253653303489,186024,8406,0.9567659311834593,0.8283100480721328,0.9857295820271031,2229,1189,0.7129386410234575,0.3237463354420614,0.6388700721937961,0.2828951784101679,0.293919064206769,0.9838210801808233,0.7160925077364116,8406,186024,8270,136,131348,54676,0,0.14201914069920543,0.0768438050878706,0.14230073158108975,1.604614499207652,0.9420526773116118,0.7237666957074264,0.5774616598137197,0.7218420611201161,1.5291162623449002,0.4593241095180681,0.6902671968242947,0.5436879833665569,0.6909881456123158,0.949557339971528,0.5322493071924366,0.6530895656332086,0.5011683772423328,0.6583950303646662,0.977410547253813,0.5567742032318894,0.6931134096253742,0.48566617232365394,0.6130792314959546,0.8430011048468141,0.45753853580871484,-0.03717763119108608,-0.04251960612422412,0.8089768565040707,0.7808019875609518,0.1171735897583427,0.6277975009151175,0.6704356692860587,0.18778575839798128,-0.18117935559690845,-0.11036631827554766,0.2371176767790485,0.4298512435293353,0.45403195939877455,0.09504225715240311,0.07517954369147302,0.09435938933896663,0.07676553801845705,0.2218791659755043,0.1943705152082121,0.1334995547766093,0.1817089067791614,0,,
Still_Wrong,378130,82721,0.4436232889225938,0.8362131523106016,69480,13241,0.8399318190060565,0.5573477582350755,0.8675846585362814,1921,1497,0.37603998624811574,0.24705939241546887,0.5116526011063576,0.2457709354611205,0.12246689694876223,0.9008383052639529,0.5422974281699701,13241,69480,11928,1313,60971,8509,0,0.055904054161267286,0.0237367058428822,0.04614473303726413,2.446391928733255,1.2540719949922938,0.20463332716261604,0.1220852912509072,0.2140526320259659,7.648751688075918,1.4588123571049327,0.17164731706027028,0.10375818918628374,0.18485389318387913,2.570998516448242,1.2562821148804506,0.1267553486896041,0.06153488120367962,0.11527352793171576,2.5200318465181297,1.24543982722792,0.2018432814111549,0.07849746906222277,0.13850657030120955,1.430088511779595,0.8307451574324992,-0.04489196837066617,-0.04222330798260412,0.81500795395805,0.7611659926161842,0.11794911845463503,0.6253258571257667,0.6048925275368763,0.1713657854660014,-0.18968209683104204,-0.15627346509813783,0.1766172020099883,0.42822371242076335,0.4378757525346721,0.07565578782965125,0.07313181350929587,0.10762269814959885,0.07862131296411326,0.22262458336135418,0.2334680855946625,0.1192938747239386,0.06863777007907333,0,,
Harmed_by_CH,69617,37080,0.4113214455741592,0.07269452232149476,3493,33587,0.0942017259978425,0.39765556942399105,0.35508463222828235,1138,2280,0.5626211988451096,0.7521035598705501,0.4331165680871971,0.4437316792119847,0.04008016032064128,0.8261529758537529,0.419343382115457,33587,3493,27748,5839,3353,140,0,0.8037979229211256,0.5260944689760352,0.6649053461660283,0.6651553456542986,0.3667239381040066,0.3715184509530718,0.16551338611852054,0.271293243563772,4.5581959371716705,1.1169455813398692,0.4158179754944913,0.1912017238484743,0.3057796698975923,0.9369704993987402,0.6097155604200767,0.45898271973799504,0.2132674459939002,0.3352974753533652,0.876964190751347,0.5588838785219136,0.2691440309119899,0.08493666007780426,0.1449913807319816,1.1100996697116132,0.7000698657956785,0.04316474424350375,0.022065722145425903,0.8186606471010401,0.8093846527410145,0.0950500484519978,0.6144007311313233,0.5992179322874139,0.1663565658152066,-0.20425991594264006,-0.21016672040363515,0.18371673255572504,0.42219472356679044,0.41754603903510645,0.07741853891906775,0.05989268394241313,0.06554339870802627,0.06263302706644448,0.2244243142122605,0.23505504700049806,0.11899272425467311,0.09027967306835974,0,,
Stable_Correct,1726078,183398,0.7983815226770559,0.6256117552740345,55733,127665,0.30389099117765733,0.773586282910251,0.7438466945376304,3055,363,0.1093044462648849,0.7660770564564499,0.6464249627296689,0.6599762969314165,0.3413596971273752,0.9514902283319625,0.6643375430337666,127665,55733,121472,6193,36708,19025,0,0.9560854144482462,0.8656358358105926,0.9266392798389679,0.2806626679219252,0.12733630714506983,0.9144117473254395,0.7261129819595641,0.8204498697777194,0.4337508362173829,0.1424108530350335,0.9353389591895616,0.7710622443811356,0.8544470790768739,0.20955237475121918,0.09653818884937822,0.9574845400961023,0.8725838484500094,0.930207673053835,0.20181640218120803,0.08705088817885699,0.9446322819710349,0.734937656357054,0.8257772064414048,0.4177538089195963,0.1919572765203628,0.02214558090654073,0.10152160406887378,0.8828506711491985,0.8677058034156871,0.0836757017564914,0.7861806652477203,0.7504340921721071,0.1489662365623995,-0.09667000589679688,-0.11727171122005371,0.12387340764041158,0.4670824723064171,0.4585368198781854,0.05034585054362942,0.04358372854740242,0.050705611028014345,0.04990954110554807,0.1262925766368462,0.14819408763155664,0.09440661945652959,0.04341924293108423,0,,
Q1,495830,726,0.7730417198808004,0.7561631763496173,348,378,0.4793388429752066,0.7865079365079365,0.9652144041696278,84,3334,0.0017223645200976142,0.6887052341597796,0.6825852946542601,0.6787182881266987,0.5344827586206896,0.8306878306878307,0.6859126984126985,378,348,314,64,162,186,0,0.9193372728556158,0.6184273779591921,0.6847728547500037,0.40563866371606594,0.15132188382745126,0.9192767682471815,0.6183702855045948,0.6846791718534501,1.0180217618336767,0.15414093933836293,0.9193453401367404,0.6184324293143267,0.684724920202784,0.43842624850707973,0.15245510230153758,0.9193473569570215,0.6184344457688115,0.6847260777407816,0.4366127125473368,0.1523565801768942,0.9165782627110098,0.602528060422696,0.671992289960574,0.39017582806742185,0.1788411256275668,2.0168202811143843e-06,2.0164544847212085e-06,0.8496234097165074,0.8104239884438157,0.12221394405626716,0.8272469961913755,0.7841013962980853,0.12925361141024383,-0.022376413525131776,-0.026322592145730316,0.01979204895883498,0.4926936288920906,0.49088432183151354,0.00796597905579471,0.0806390490121617,0.10372467471298057,0.07062592334945701,0.10035291943320786,0.12600221479491688,0.07535941734063845,0.03130105076336648,0,40025,0.0
Q2,495828,8527,0.7819226037898207,0.7747721593564075,4105,4422,0.4814119854579571,0.7583519541170921,0.8966034549218825,1089,2329,0.020371983833103416,0.6893397443415035,0.6813001485761316,0.670084707140373,0.4650426309378806,0.8975576662143826,0.6795065819099606,4422,4105,3969,453,2196,1909,0,0.8501254467274942,0.5557961388278252,0.6672164618496219,0.5210332458412552,0.25111143832731486,0.8494861121195253,0.5571823764640829,0.6692343778479732,1.2748641401275769,0.2643944644260681,0.8504925094992618,0.5570761233015896,0.6685765869695727,0.5358542042445364,0.2529869054866058,0.8506397379736521,0.5571908628757073,0.6686331993002994,0.5295116977765112,0.2517393139404761,0.8605585001250433,0.5438729719295947,0.6472595766393874,0.5161709779373027,0.25578991548658964,0.00014722847439030406,0.00011473957411767266,0.8722849440406036,0.8564104796176357,0.10235293585454391,0.8032083761693538,0.7821496968420305,0.12993660308690239,-0.0690765678712799,-0.07426078277565283,0.046929644216105966,0.4773918926750472,0.4750576436670005,0.01971165852836061,0.05157404622295175,0.06052746829916776,0.05873865554743677,0.11214682196350388,0.12451747387445442,0.07952735751178232,0.045372588881628304,0,74629,0.0009379731739672242
Q3,495829,31591,0.7541399254055956,0.7298733809600101,14695,16896,0.46516412902408916,0.7355757423206786,0.8272032784917948,2293,1125,0.07593747037789238,0.6704124592447216,0.6531673663416231,0.6394543802487822,0.4056481796529432,0.900686553030303,0.6704583282437819,16896,14695,15218,1678,8734,5961,0,0.7867188082988288,0.5092735320981052,0.649133011202023,0.6731477181091167,0.3423121481055292,0.7822797779073027,0.5100238087866876,0.6506956748430188,1.515384792276555,0.364287741865081,0.7892660574512584,0.5144566742828823,0.6538633021727966,0.644740828885359,0.3300977497313899,0.7901393423942529,0.5152057756168787,0.6544536088559785,0.6342150237297668,0.32560460214290693,0.8106161600067765,0.498445328164184,0.6207353242285285,0.6163113382854214,0.3187675254088362,0.0008732849429944345,0.0007491013339964159,0.8858193967124043,0.8807134338744392,0.07828396863898893,0.7752305556724209,0.7683317938520284,0.13009056163470298,-0.11058884103990815,-0.11238164002243252,0.08225701863269164,0.4636822890107846,0.46257941826447646,0.032854108657888986,0.03280770793066747,0.03527607097094095,0.043143582497544894,0.12869937607928264,0.13258582441904154,0.08187522380041048,0.053125170169554425,0,107952,0.00452052764191492
Q4,495828,83990,0.7297372470893084,0.725988872646328,43330,40660,0.5158947493749256,0.733233109102806,0.8087593267235784,2879,539,0.20545834442588962,0.6064888677223479,0.615808542274261,0.5746503240826039,0.3226402030925456,0.9089768814559764,0.656086732785034,40660,43330,36959,3701,29350,13980,0,0.6854735916487169,0.454545838081258,0.618294894893575,0.9035860148461404,0.49073227719153967,0.690858523520253,0.4659874010107603,0.6289648666169314,2.027777067337289,0.52007741344654,0.707327944367805,0.480795488188081,0.6427880537797193,0.8024920248189641,0.4306105671671303,0.7114947118758924,0.4854552515070234,0.6471616562620319,0.7837475316173205,0.41818628634197613,0.7373907887412571,0.45114462465766314,0.5923249974209773,0.7399715902336493,0.3975627427770188,0.004166767508087421,0.0046597633189424115,0.8759189049739767,0.8736788378134723,0.06440884465841615,0.7188996180556418,0.7283529347771095,0.1418836623571874,-0.1570192869172531,-0.14532590303357043,0.13232228856242884,0.446339327183504,0.4497551123446653,0.051683257455925974,0.03176773307387527,0.03371419399753497,0.03747505141993403,0.16498526274413644,0.15920622466385037,0.09203296337808552,0.07243237574320127,0,153281,0.01704059863910075
Q5,495828,372795,0.6739647181584913,0.8121685720056439,252252,120543,0.6766507061521748,0.7600184541442949,0.8521582927609026,3033,385,0.8818017538339908,0.4647916415187972,0.5880892818242383,0.4539016263086977,0.23910216767359624,0.9370763959748803,0.6506757105203003,120543,252252,112958,7585,191938,60314,0,0.3296102680768331,0.16821280476871564,0.2832000561741271,1.4207821029872687,0.7957707028278616,0.5952447219600345,0.42907081440531103,0.5949083687028047,3.088622377676739,0.7450487366745859,0.6040017909436337,0.4390382603266616,0.6055357015439069,0.9849500528524332,0.5413402308440697,0.6248376453124874,0.46015103240547617,0.6283946917473013,0.9653036215116424,0.5262727236606648,0.5818287793347693,0.36179179857583765,0.5079433886547269,0.9572345154267433,0.5308592744407857,0.020835854368853712,0.021112772078814568,0.824366178569816,0.8063196938182438,0.10850491024981748,0.5619989146989084,0.6132192599940753,0.1924673614117849,-0.26236726385588854,-0.19310043379949965,0.25445289930749454,0.39644201836584153,0.42175960877361807,0.10716393596695506,0.06540978749139471,0.0778809899708835,0.07078063695174436,0.27138161661185956,0.23759914732122053,0.13525261142127737,0.12583194172172607,0,200689,0.19952762732386928
boundary,201144,51796,0.5285647821773048,0.5032507023476379,25404,26392,0.49046258398331916,0.5305319167922461,0.6108852620677525,1838,1580,0.32577158652507654,0.5115839060931346,0.5046105794262863,0.43156067830623396,0.13903322311447017,0.8701879357381025,0.5092770811339491,26392,25404,22966,3426,21872,3532,0,0.5014467247345186,0.26198740425988953,0.40088609522307805,1.2884973665398691,0.6834667448901952,0.49653482082488165,0.29635887387275106,0.45373320866931666,4.403630562515095,0.9102140074529572,0.5023018335123096,0.2990309764111648,0.4565436555483794,1.366536372372563,0.7106408983279314,0.5100624428270294,0.2956484525482613,0.4506593015071965,1.3318971077060215,0.6922068093162971,0.48893827307799387,0.23875970192102672,0.3662095010167032,1.0389898404157991,0.6088578988516588,0.00776060931471978,-0.003382523862903497,0.8153854833341472,0.8127257131595449,0.10396151673420195,0.6490370012332196,0.6473808874792877,0.15819220970101935,-0.16634848209109315,-0.16534482563093214,0.15654902017779737,0.4381712772557699,0.43768660986375607,0.06598725114322761,0.06738897002855884,0.07129750372894048,0.06954599068888241,0.20343462130992654,0.20603105970335145,0.1078762129605549,0.0603448275862069,0,101269,0.042796907247035124
interior,2277999,445833,0.6521162559651945,0.7906368786739685,289326,156507,0.6489559992194387,0.7464410084439812,0.8423746862918438,3155,263,0.22922485918562738,0.5052788824515009,0.6040865096969221,0.4936253475301637,0.27241934703414145,0.9357536723597027,0.671483327877607,156507,289326,146452,10055,210508,78818,0,0.7330437809674192,0.45491176524487736,0.5984411363110252,0.7403647374759378,0.38177157524081556,0.7913488987484191,0.596283976749892,0.7412730696431146,1.5537061391891482,0.36538523048866606,0.7980850737862484,0.6041148803822768,0.7478160914547956,0.620786420023876,0.30890316866792883,0.8030644438386496,0.5995718273221403,0.7427129488145373,0.6114225825689973,0.3032760521562895,0.8072180892089944,0.5196634690573525,0.6379076857958454,0.6090931890342685,0.3123031659092872,0.004979370052401233,-0.0045430530601364705,0.8656834681971339,0.8613661134391819,0.09849480330427438,0.745111973785738,0.7377952364933154,0.17396240362710827,-0.12057149440875001,-0.12357087693938146,0.1579716808417933,0.4568231771223268,0.4555960250550451,0.06479988385651554,0.05111967896267774,0.05299727738063791,0.059801030204000245,0.1512817472762996,0.15544272850531513,0.11321959116857883,0.0660777287435157,0,475307,0.08179765919710838
class0,965133,132225,0.8667098402958917,0.7736885563482216,43802,88423,0.3312686708262432,0.8259125212928503,0.7909462370763976,1654,1764,0.15827766743029198,0.8079410096426546,0.7368613581592712,0.7565946691525005,0.5262316789187709,0.9474910373997716,0.7269058439237589,88423,43802,83780,4643,20752,23050,0,0.8387413962635202,0.20968534906588004,0.22807486631016044,0.48028540216355525,0.24856309515081507,0.792508390035363,0.19812709750884075,0.2210612777158963,1.5703553195917739,0.364463619115726,0.8096241657885493,0.20240604144713734,0.2236995341614907,0.49265221413978155,0.2610002887054403,0.827660021986607,0.20691500549665176,0.22642614382049225,0.4642031775807558,0.2413805048087801,0.9165109886409438,0.22912774716023596,0.2391092443698613,0.4095068084068542,0.195147010030483,0.018035856198057698,0.0045089640495144245,0.885069517942691,0.8589362131833562,0.08980809951210818,0.7928025913767098,0.7533331083237655,0.15783042676635892,-0.09226692655946181,-0.10560310481217487,0.13065844977280233,0.4680588132988461,0.462439254094118,0.05300512803399066,0.043211333687002605,0.05596650508656624,0.05312377454927814,0.12216164525511589,0.14491854777264188,0.10002899591855458,0.06432274101082441,0,200257,0.08647388106283427
