group,targets,winner_targets,auroc,auprc,positive,negative,prevalence,image_balanced_auroc,image_balanced_auprc,auroc_eligible_images,auroc_excluded_images,hard_disagreement_prevalence
Q3,495829,31591,0.7541399254055956,0.7298733809600101,14695,16896,0.46516412902408916,0.7355757423206786,0.8272032784917948,2293,1125,0.07593747037789238
Q4,495828,83990,0.7297372470893084,0.725988872646328,43330,40660,0.5158947493749256,0.733233109102806,0.8087593267235784,2879,539,0.20545834442588962
Q5,495828,372795,0.6739647181584913,0.8121685720056439,252252,120543,0.6766507061521748,0.7600184541442949,0.8521582927609026,3033,385,0.8818017538339908
boundary,201144,51796,0.5285647821773048,0.5032507023476379,25404,26392,0.49046258398331916,0.5305319167922461,0.6108852620677525,1838,1580,0.32577158652507654
interior,2277999,445833,0.6521162559651945,0.7906368786739685,289326,156507,0.6489559992194387,0.7464410084439812,0.8423746862918438,3155,263,0.22922485918562738
class0,965133,132225,0.8667098402958917,0.7736885563482216,43802,88423,0.3312686708262432,0.8259125212928503,0.7909462370763976,1654,1764,0.15827766743029198
class1,1044692,204051,0.8278215950387913,0.8631794370542314,121742,82309,0.5966253534655552,0.7816740523146933,0.8387213049575234,2204,1214,0.21981406960137534
class2,323515,86599,0.31992072379218106,0.801854901060016,74850,11749,0.8643286873982379,0.27545820587409536,0.7469853616365524,723,2695,0.36033877872741604
class3,145803,74754,0.05169245113870655,0.9796444550396655,74336,418,0.9944083259758675,0.07167241339580452,0.9618835297861983,107,3311,0.608554007805052
Strength1,495830,36852,0.5519895158669679,0.8010675494336633,28507,8345,0.7735536741560838,0.5502259819696036,0.8495448237608326,1820,1598,0.08605772139644637
Strength2,495828,47962,0.6115380687035262,0.8132513109001495,35692,12270,0.7441724698719819,0.6112901963196055,0.8461786466754051,2175,1243,0.1117121259791702
Strength3,495829,65927,0.6254450231863066,0.7994543029135923,46692,19235,0.7082378994948959,0.6375075801674546,0.8306040147056319,2531,887,0.1539805053758453
Strength4,495828,101249,0.6308978203199348,0.7748810482243899,65881,35368,0.6506829697083428,0.6767835113065503,0.8166321206859654,2891,527,0.23899416733222004
Strength5,495828,245639,0.5502267235510299,0.6407672274898211,137958,107681,0.5616290572751069,0.7466662839599667,0.7984948607055045,2837,581,0.5945468993279928
DW__all,576576,182899,nan,nan,0,182899,0.0,nan,nan,0,3418,0.47343455155955155
DW__Top20,196453,103341,nan,nan,0,103341,0.0,nan,nan,0,3418,0.8248537818205881
DW__Bottom80,380123,79558,nan,nan,0,79558,0.0,nan,nan,0,3418,0.2918160700615327
DW__hard_disagreement,272971,182899,nan,nan,0,182899,0.0,nan,nan,0,3418,1.0
DW__Q1,40025,378,nan,nan,0,378,0.0,nan,nan,0,3418,0.0126420986883198
DW__Q2,74629,4422,nan,nan,0,4422,0.0,nan,nan,0,3418,0.08034410215867827
DW__Q3,107952,16896,nan,nan,0,16896,0.0,nan,nan,0,3418,0.21265933007262486
DW__Q4,153281,40660,nan,nan,0,40660,0.0,nan,nan,0,3418,0.38192600518002884
DW__Q5,200689,120543,nan,nan,0,120543,0.0,nan,nan,0,3418,0.9216748302099268
DW__boundary,101269,26392,nan,nan,0,26392,0.0,nan,nan,0,3418,0.39620219415615837
DW__interior,475307,156507,nan,nan,0,156507,0.0,nan,nan,0,3418,0.48988969234620994
DW__class0,200257,88423,nan,nan,0,88423,0.0,nan,nan,0,3418,0.5440858496831571
DW__class1,215891,82309,nan,nan,0,82309,0.0,nan,nan,0,3418,0.4997707176306562
DW__class2,113319,11749,nan,nan,0,11749,0.0,nan,nan,0,3418,0.3682083322302527
DW__class3,47109,418,nan,nan,0,418,0.0,nan,nan,0,3418,0.30552548345326797
