group,targets,SS_pixel_mean,SS_image_mean,SS_std,SD_pixel_mean,SD_image_mean,SD_std,Delta_pixel_mean,Delta_image_mean,Delta_std,wD_pixel_mean,wD_image_mean,wD_std,JS_ctx_shallow_pixel_mean,JS_ctx_shallow_image_mean,JS_ctx_shallow_std,JS_ctx_deep_pixel_mean,JS_ctx_deep_image_mean,JS_ctx_deep_std,consensus_closer_deep_fraction,consensus_js_exact_ties
class2,323515,0.7900357550580858,0.7732208143283265,0.10864375487978221,0.653672252298705,0.6251786101431185,0.1439465950065315,-0.13636350276212136,-0.14804220420106445,0.14828865723904128,0.4494712413151638,0.44249705230347686,0.059845802557857486,0.08074222661031404,0.09233229781822089,0.07541030028258006,0.19570242812444458,0.21558834799731955,0.09806655433168515,0.0966137582492311,0
class3,145803,0.8657083726515565,0.8391420649192923,0.09362206249647036,0.5080334841998091,0.5198631796155935,0.17620981767576305,-0.35767488845312706,-0.3192788853066898,0.1988549574627762,0.36170126954194054,0.3722786917914395,0.08372354485488932,0.04970009804602923,0.06288885671907939,0.05905585774853862,0.31316516447492737,0.30187514408421795,0.1262944566072048,0.02703648073084916,0
Strength1,495830,0.8765643480850591,0.836543692507316,0.10173006528536244,0.8670128172784584,0.8276166883889263,0.10110571025725479,-0.009551530806600737,-0.008927004118389682,0.011927526797234357,0.49722709121714537,0.4972490268609696,0.003586645626203973,0.05857735336701078,0.0798973119482307,0.059612027377733814,0.07263495050422829,0.09269898954033634,0.05871366582399809,0.07330133311820583,0
Strength2,495828,0.874729118360562,0.848351535135264,0.09887160077276515,0.8386643779423697,0.8131610879670133,0.09664797341955113,-0.036064740418192305,-0.03519044716825074,0.028610838186885684,0.48935987884310017,0.48923082008667934,0.008969827134353627,0.051387267524200565,0.066321337021591,0.05891273290811734,0.09008388332762435,0.10288819926350122,0.05656601262632507,0.0757258565470284,0
Strength3,495829,0.8621210687645966,0.853052921223522,0.0974104977154825,0.7868344942903206,0.7818777138890372,0.09429961087350566,-0.07528657447427597,-0.07117520733448478,0.05038061395507951,0.4768965160087042,0.47778086565021216,0.016554748561337613,0.05089537364509585,0.05671985549607337,0.059241073893294784,0.12175002744546816,0.12399892248376065,0.055928902032622935,0.0776013504655839,0
Strength4,495828,0.8451666747105411,0.836471704248311,0.09725532283751716,0.7029248225145136,0.7211265850428118,0.09671134775932506,-0.14224185219598243,-0.11534511920533223,0.08430324346669453,0.45332111207938736,0.4615601912725236,0.02978981676740087,0.05255232378746787,0.06085443737520269,0.06133958499818496,0.1737215818017047,0.16283741929645493,0.05927712576889239,0.06376606403833587,0
Strength5,495828,0.8494315632175102,0.8082683647923767,0.1000572268769866,0.4911477649572091,0.5312227654330762,0.15328174113631451,-0.3582837982442002,-0.2770455993289776,0.19063984505233794,0.35974451304167115,0.38818101262942967,0.08610384789178373,0.048786057916867034,0.07530065267741691,0.06434241470005456,0.3193756795733834,0.29044282696176493,0.10893568392085892,0.037668304331340705,0
DW__all,576576,0.8238977127318661,0.8101132556612198,0.11195202670087895,0.6048489312396591,0.5835530770078312,0.18525188434152232,-0.2190487814781283,-0.22656017859601651,0.1926115776412746,0.41505536026185696,0.4095294163290594,0.08575713795149403,0.06646723700196698,0.07674032740918117,0.07354914091635285,0.23581701320616302,0.24968661868320058,0.13114895490479478,0.06509289321789322,0
DW__Top20,196453,0.8357125543082229,0.8187057533092144,0.09951301756337431,0.49187069192679594,0.5014827923714831,0.1901413620139863,-0.34384186234414615,-0.31722296090812097,0.22749422770405398,0.3592582590872169,0.3686015395207694,0.10615329821666229,0.05653693002499948,0.06722232435375584,0.06402924970334575,0.31733790015501656,0.3082767702055295,0.13892081792133765,0.05887413274421872,0
DW__Bottom80,380123,0.8177916337200724,0.8037562174353609,0.11740215550268239,0.6632377002637115,0.6326485178304699,0.15285205686211023,-0.1545539334542734,-0.17110769955053703,0.1315960420294569,0.4438920997305593,0.43525803863157775,0.053766063405137066,0.07159936159465459,0.08201072803825835,0.07751813799227505,0.1936858535453082,0.21397878580953383,0.10443026061046184,0.06830683752364367,0
DW__hard_disagreement,272971,0.847818677569678,0.8409685542570842,0.09443935832677748,0.5655831512103987,0.5730572279309667,0.20371442851321253,-0.2822355263282865,-0.2679113262807061,0.22789818495683892,0.38834668430170616,0.39357458689993313,0.10312250598025054,0.050261188457833464,0.054437580830539886,0.05954910877370463,0.2630919982751127,0.25652442758920707,0.14904860921182952,0.07771887856219159,0
DW__Q1,40025,0.6828149199076253,0.6598848471960199,0.15905310365666606,0.6507930339138482,0.6257374395490585,0.16573383189025098,-0.03202188599377703,-0.034147407646961545,0.029851758807945928,0.48636863872157565,0.48424622396828715,0.01487868316953715,0.17515058404664224,0.18949479420374263,0.1002305212687699,0.2010472487286293,0.21670271568693764,0.10517576959826323,0.0799000624609619,0
DW__Q2,74629,0.7785093267810336,0.7491911424176564,0.12816577402283058,0.6927567663607136,0.6627893496543724,0.15879347537761349,-0.08575256042051961,-0.08640179276760925,0.06605265758911709,0.4669201079680696,0.46397485442043285,0.03097977378056485,0.10241831235623268,0.12097633625692115,0.08226669259410603,0.17171699048711578,0.1901093941164076,0.10685080153646766,0.0926985488215037,0
DW__Q3,107952,0.8340547846963432,0.8111612398282315,0.09578602745875299,0.6920424428979925,0.665895850439058,0.14704800937336085,-0.14201234179924788,-0.1452653893786811,0.09942315658577633,0.44883704498204274,0.4444118233084641,0.043767390438576664,0.05926682752352062,0.0740441958383981,0.059520398891975974,0.17282184301015757,0.18865401850891136,0.10120301339210347,0.0724303394101082,0
DW__Q4,153281,0.8583233665570832,0.8464563797353214,0.07566712534716381,0.6423193680577836,0.6241968181964643,0.14276649990643903,-0.21600399850284796,-0.2222595615377435,0.1324789776482399,0.4227987177436055,0.41758990107719535,0.05705484883635113,0.03962836794707888,0.04800679154550859,0.04566146853914063,0.20930979101504343,0.22034530676423997,0.09959495211414782,0.051872051982959404,0
DW__Q5,200689,0.8371563056852543,0.8283029302769883,0.09835430918500636,0.4874752509022068,0.4944367772329113,0.18522726874803638,-0.3496810547393329,-0.33386615295777605,0.22850775878402405,0.3574605830992293,0.36327659539608786,0.10592279153153665,0.055794721435807,0.06142413230298689,0.0632029118491834,0.32071896875125644,0.3142386649395447,0.13501761468534848,0.05802510351837918,0
DW__boundary,101269,0.8162669007318771,0.8110112242932395,0.10424238098912197,0.6333394668159671,0.6345560336659035,0.16856497452694286,-0.1829274338989516,-0.1764551905671848,0.1706244744154589,0.43055426231457106,0.4324402997344802,0.0739221307431036,0.06580695633037599,0.07075204783153714,0.06981010158635981,0.2139945299328521,0.21385192812898218,0.11677725961491235,0.06559756687633926,0
DW__interior,475307,0.8255235349907994,0.809151796613018,0.11346070505848513,0.5987787323002849,0.5788306963327425,0.18805956748593208,-0.22674480267704952,-0.23032110022654934,0.19612141005202868,0.4117531612368556,0.407740789086512,0.08772025996598123,0.06660791652768687,0.0777460675551202,0.07432071864386468,0.2404665156511195,0.2527474196347881,0.1335519593212432,0.06498536735204825,0
DW__class0,200257,0.8319659774924446,0.812721713873057,0.11143916561907943,0.5861209385268765,0.5768169433622108,0.17554297759536308,-0.24584503893355306,-0.23590477045293817,0.1783631272193157,0.40573789981561814,0.4066758403351281,0.07979512449417879,0.06190434487331304,0.07376585663100398,0.07274874821092615,0.24897105271715284,0.2529867716013713,0.12429281414837177,0.043933545394168494,0
DW__class1,215891,0.8258553531877905,0.8095429477425152,0.11588766105219998,0.5711030534609857,0.5685106169242452,0.2079109960653421,-0.2547522997190053,-0.24103233075886832,0.2161794702344738,0.39740659742900014,0.40155829133789345,0.0987554526131126,0.06610548524867955,0.07537929920755711,0.07556773516009384,0.25951113608923404,0.25895151787977266,0.14740631138687796,0.05641272679268705,0
DW__class2,113319,0.8045405752378344,0.777587556745932,0.10353080143259513,0.6738381022171311,0.6696458390693587,0.13819460988490503,-0.13070247301629812,-0.10794171767386346,0.15071956156210095,0.4526802541748064,0.45996668184490563,0.06232121682793741,0.0747007056866811,0.09004168140733834,0.07106728060992114,0.18627484092501376,0.1855824870867297,0.10023257617000407,0.11558520636433431,0
