min_area,predicted_class,purity_stratum,n_regions_total,region_weighted_mean_purity,median_purity,pixel_weighted_purity,stratum_region_count,stratum_region_fraction,stratum_pixel_mass,stratum_pixel_fraction
8,1,0.80-0.95,3477,0.8487919415256245,0.9304668794892259,0.831205234285996,636,0.182916307161346,17060473,0.21788205232306465
8,1,0.60-0.80,3477,0.8487919415256245,0.9304668794892259,0.831205234285996,708,0.20362381363244175,17626662,0.22511294336124066
8,1,<0.60,3477,0.8487919415256245,0.9304668794892259,0.831205234285996,480,0.13805004314063848,11960815,0.15275349749426623
8,2,>=0.95,1673,0.8906349384653202,0.9952367665816326,0.8385669140444516,973,0.5815899581589958,7425142,0.3842200505422108
8,2,0.80-0.95,1673,0.8906349384653202,0.9952367665816326,0.8385669140444516,292,0.17453676031081888,4748035,0.24569095751652775
8,2,0.60-0.80,1673,0.8906349384653202,0.9952367665816326,0.8385669140444516,269,0.1607890017931859,4733522,0.2449399704521027
8,2,<0.60,1673,0.8906349384653202,0.9952367665816326,0.8385669140444516,139,0.0830842797369994,2418534,0.12514902148915877
8,3,>=0.95,304,0.8514375958770429,0.9476115627658752,0.8610004725805039,150,0.4934210526315789,4503689,0.5029195692995981
8,3,0.80-0.95,304,0.8514375958770429,0.9476115627658752,0.8610004725805039,55,0.18092105263157895,1704699,0.190360943410048
8,3,0.60-0.80,304,0.8514375958770429,0.9476115627658752,0.8610004725805039,59,0.19407894736842105,1726122,0.19275321470877785
8,3,<0.60,304,0.8514375958770429,0.9476115627658752,0.8610004725805039,40,0.13157894736842105,1020578,0.11396627258157598
32,all,>=0.95,8227,0.8741147405802392,0.9753167490729295,0.8553090888597618,4410,0.5360398687249301,78955998,0.4603919016481682
32,all,0.80-0.95,8227,0.8741147405802392,0.9753167490729295,0.8553090888597618,1533,0.18633766865199952,38034190,0.22177711010312023
32,all,0.60-0.80,8227,0.8741147405802392,0.9753167490729295,0.8553090888597618,1406,0.17090069284064666,34117157,0.19893691661093452
32,all,<0.60,8227,0.8741147405802392,0.9753167490729295,0.8553090888597618,878,0.10672176978242373,20390020,0.11889407163777706
32,0,>=0.95,2910,0.9023434787143135,0.9961037149234694,0.8885855132304656,1763,0.6058419243986254,35375949,0.5449324200259379
32,0,0.80-0.95,2910,0.9023434787143135,0.9961037149234694,0.8885855132304656,553,0.19003436426116838,14521051,0.22368280389453485
32,0,0.60-0.80,2910,0.9023434787143135,0.9961037149234694,0.8885855132304656,372,0.12783505154639174,10030878,0.15451601379018667
32,0,<0.60,2910,0.9023434787143135,0.9961037149234694,0.8885855132304656,222,0.07628865979381444,4990170,0.07686876228934056
32,1,>=0.95,3392,0.8455970623412119,0.9192685847979277,0.8312025553244129,1574,0.46403301886792453,31652067,0.40424156705625686
32,1,0.80-0.95,3392,0.8455970623412119,0.9192685847979277,0.8312025553244129,634,0.18691037735849056,17060434,0.21788582005781312
32,1,0.60-0.80,3392,0.8455970623412119,0.9192685847979277,0.8312025553244129,707,0.2084316037735849,17626643,0.22511710809474783
32,1,<0.60,3392,0.8455970623412119,0.9192685847979277,0.8312025553244129,477,0.140625,11960738,0.1527555047911822
32,2,>=0.95,1625,0.8876431895919772,0.991182953710507,0.8385602991947384,927,0.5704615384615385,7424350,0.38419554879933165
