step,flip_dimension,flip_type,eq_before,eq_after,delta,improved,harmed,neutral,semantic_eq_before,semantic_eq_after,input_batch_sha256
48,2,vertical,0.09367536753416061,0.09650131314992905,0.0028259456157684326,False,True,False,0.06508015841245651,0.07757388800382614,457d5716ec5329ca2501e501ef8e3abd11003a25f00c2213914a355c17430db6
52,3,horizontal,0.08195848017930984,0.08117504417896271,-0.0007834360003471375,True,False,False,0.05685562267899513,0.058108244091272354,c7ad632dae45c6b9b86c03901164ba644a2177493bcb7d10e0bddebc9c72c9e0
56,2,vertical,0.0948757529258728,0.09634090960025787,0.0014651566743850708,False,True,False,0.06477400660514832,0.06128891929984093,073cd011d0e8e1e2e3097f022d7f93c0953f56fae7ca3a29d0666d1622e161ff
60,3,horizontal,0.07601819187402725,0.08044437319040298,0.004426181316375732,False,True,False,0.05611634626984596,0.05191095173358917,2f8ebe89278b29510ceda404650b36ba29883cf2934f794c307483219717f93b
64,2,vertical,0.09345725178718567,0.09554389864206314,0.002086646854877472,False,True,False,0.06583546102046967,0.06603405624628067,27f10055f9214bd60939d83a6bc008b93ae359034bca113ab335ca9c7d44afd6
68,3,horizontal,0.0798691064119339,0.07743743062019348,-0.0024316757917404175,True,False,False,0.053748637437820435,0.05376628786325455,417005178b483cdc082cd9915b3b28690893a31df686d1ecdfad55a2dc7bf81b
72,2,vertical,0.09542050957679749,0.09520868957042694,-0.00021182000637054443,True,False,False,0.06029075011610985,0.06052794307470322,a8fbea723a660b93d89aeaa200713ed9334418e319fca67511ea79551f19199c
76,3,horizontal,0.07747307419776917,0.07706636935472488,-0.000406704843044281,True,False,False,0.047779861837625504,0.04591752216219902,c8ec85547c7db0f32d2501033966e2d33a90e6db299336aa435ea50d456c7d08
80,2,vertical,0.09172481298446655,0.09053712338209152,-0.0011876896023750305,True,False,False,0.0655699074268341,0.06364461779594421,dffbeb85e8f486b78d0dbd5fb898fc2c3bec1a77071c68861e5b65800b1d94e4
84,3,horizontal,0.07377710193395615,0.07441149652004242,0.0006343945860862732,False,True,False,0.05031560733914375,0.04924391210079193,a60c498927f845ef043f8acc4e151b95867d6ca3325f33e12abb7bcb7bfec3ab
88,2,vertical,0.0869838148355484,0.08671332895755768,-0.00027048587799072266,True,False,False,0.06260301172733307,0.06612346321344376,aa09de53314704f92a5f3d4155a304cc47c4e88402ad220035e665eb14ff3c82
92,3,horizontal,0.08450406789779663,0.08061420172452927,-0.0038898661732673645,True,False,False,0.059087540954351425,0.05706558749079704,c52090fab69f0bf372c1722de1dc4af34201981280c687dcb67ff2f8876db7de
96,2,vertical,0.09769409894943237,0.09527327120304108,-0.0024208277463912964,True,False,False,0.06718271970748901,0.07315550744533539,e809831601e5d3060b44d7b6d47ace82221005bb425658a0ca22f87584b991cd
100,3,horizontal,0.07439302653074265,0.07536527514457703,0.0009722486138343811,False,True,False,0.05442206561565399,0.04643088951706886,a7aed85955b98c6b1aa1f3f62e52c934ccc29fc53b4920b881573a1f1850ad31
104,2,vertical,0.08156240731477737,0.08317714929580688,0.0016147419810295105,False,True,False,0.06528491526842117,0.059387508779764175,6b42d08cf956a34742e8756099752c9c7b394e974cf6b8ee0427a31183900086
108,3,horizontal,0.06449933350086212,0.0716056227684021,0.007106289267539978,False,True,False,0.052534811198711395,0.046153660863637924,1f38b97ab60bbcad38f82bbc885d587a06732747021a9e6a59470e123be4cbf5
112,2,vertical,0.08408286422491074,0.09033612906932831,0.006253264844417572,False,True,False,0.06026329845190048,0.06395656615495682,9ad2af2fccbcbdeb18655dfbf40c49e034159a8a9759d75c1d5141ff9e7ba37d
116,3,horizontal,0.05573852360248566,0.05595139414072037,0.0002128705382347107,False,True,False,0.050360891968011856,0.04765592887997627,6cfb270217cc4af808033aff4e20d33643ba1db868d5e645dd83d96b5b8a3001
120,2,vertical,0.07293649017810822,0.0739893689751625,0.0010528787970542908,False,True,False,0.06311311572790146,0.06601911038160324,d71a90c5ffa9cb66e353b29a866526abbf5ac2dde3f679ccd568837f104c80e8
