step,state,loss_total,loss_sshr,loss_sem_pres,loss_eq,loss_orth,loss_rec,equivariance_scheduled,finite
33,training_pre_update,0.4307975172996521,0.4189336895942688,0.2220730185508728,,0.010331942699849606,0.0024358630180358887,False,True
34,training_pre_update,0.2531183660030365,0.25107088685035706,0.02507716417312622,,0.011927532032132149,0.001972377300262451,False,True
35,training_pre_update,0.19465579092502594,0.193250834941864,0.013187527656555176,,0.010264859534800053,0.002323448657989502,False,True
36,training_pre_update,0.21418237686157227,0.20645546913146973,0.0671454668045044,0.07211863994598389,0.010659812018275261,0.002307116985321045,True,True
37,training_pre_update,0.246465802192688,0.24335187673568726,0.045124709606170654,,0.01224672794342041,0.0024536848068237305,False,True
38,training_pre_update,0.2020033895969391,0.19937385618686676,0.036206185817718506,,0.011553486809134483,0.0024155378341674805,False,True
39,training_pre_update,0.18186557292938232,0.17936870455741882,0.032910823822021484,,0.01293724775314331,0.0020447373390197754,False,True
40,training_pre_update,0.17217347025871277,0.16313403844833374,0.07537686824798584,0.0901673287153244,0.01036116573959589,0.0024417638778686523,True,True
41,training_pre_update,0.20042994618415833,0.19684292376041412,0.05622655153274536,,0.010519633069634438,0.002497076988220215,False,True
42,training_pre_update,0.16033369302749634,0.1572781801223755,0.0429767370223999,,0.013340572826564312,0.00239640474319458,False,True
43,training_pre_update,0.12486447393894196,0.1218256875872612,0.04147791862487793,,0.014043262228369713,0.002627253532409668,False,True
44,training_pre_update,0.27716559171676636,0.26674050092697144,0.12271833419799805,0.06799394637346268,0.012564314529299736,0.002612769603729248,True,True
45,training_pre_update,0.14649029076099396,0.14128842949867249,0.08660143613815308,,0.013087263330817223,0.002174198627471924,False,True
46,training_pre_update,0.2165946364402771,0.21290376782417297,0.05836886167526245,,0.011468321084976196,0.001990199089050293,False,True
47,training_pre_update,0.30571091175079346,0.303531676530838,0.024766981601715088,,0.013954579830169678,0.0024316906929016113,False,True
48,training_pre_update,0.31151121854782104,0.30361485481262207,0.04793727397918701,0.0936751589179039,0.01208764873445034,0.002113521099090576,True,True
49,training_pre_update,0.15136592090129852,0.14793232083320618,0.0521998405456543,,0.012552151456475258,0.00195997953414917,False,True
50,training_pre_update,0.2932346761226654,0.28976741433143616,0.05272191762924194,,0.012188608758151531,0.0022173523902893066,False,True
